# SAPT0 interaction energy decomposition
# Individual components and total interaction energy, in kcal/mol
system	SAPT0_elst	SAPT0_exch	SAPT0_ind	SAPT0_disp	SAPT0_interaction_energy
1.01.01	-0.081	0.151	-0.001	-0.056	0.012
1.02.01	-0.195	0.491	-0.055	-0.384	-0.143
1.02.02	-0.218	0.792	-0.093	-0.583	-0.102
1.02.03	-0.245	0.885	-0.107	-0.686	-0.153
1.02.04	-0.266	0.952	-0.117	-0.769	-0.200
1.02.05	-0.201	0.612	-0.068	-0.417	-0.074
1.02.06	-0.499	1.000	-0.152	-0.654	-0.305
1.02.07	-0.691	1.272	-0.214	-0.680	-0.313
1.02.08	-0.864	1.630	-0.271	-1.132	-0.638
1.02.09	-0.660	1.287	-0.240	-0.827	-0.440
1.02.10	-0.717	1.365	-0.232	-0.894	-0.478
1.02.11	-0.760	1.409	-0.228	-1.165	-0.745
1.02.12	-0.838	1.513	-0.254	-1.283	-0.862
1.02.13	-0.669	1.435	-0.213	-1.405	-0.852
1.02.14	-0.238	0.840	-0.095	-0.668	-0.161
1.02.15	-0.214	0.609	-0.068	-0.549	-0.222
1.02.16	-0.184	0.477	-0.058	-0.378	-0.142
1.02.17	-0.190	0.483	-0.055	-0.383	-0.145
1.02.18	-0.347	0.744	-0.116	-0.498	-0.217
1.03.01	-0.765	1.408	-0.179	-1.029	-0.564
1.03.02	-0.813	1.330	-0.155	-0.792	-0.430
1.03.03	-0.128	0.348	-0.038	-0.229	-0.048
1.03.04	-0.720	1.364	-0.179	-0.736	-0.272
1.04.01	-0.975	1.386	-0.242	-0.836	-0.666
1.05.01	-0.364	1.002	-0.117	-0.860	-0.340
1.05.02	-0.365	0.809	-0.117	-0.661	-0.334
1.05.03	-0.575	1.237	-0.153	-0.847	-0.338
1.05.04	-0.170	0.525	-0.062	-0.339	-0.046
1.06.01	-3.255	8.150	-0.897	-8.425	-4.427
1.06.02	-1.507	3.217	-0.429	-3.205	-1.924
1.06.03	-4.128	8.610	-1.523	-7.362	-4.403
1.06.04	-3.953	9.507	-1.023	-10.111	-5.581
1.06.05	-2.205	4.477	-0.565	-5.173	-3.467
1.06.06	-1.698	4.152	-0.530	-3.682	-1.758
1.06.07	-0.686	2.122	-0.205	-2.000	-0.769
1.06.08	-1.838	4.652	-0.484	-4.814	-2.484
1.06.09	-0.747	1.938	-0.185	-1.771	-0.765
1.06.10	-1.658	4.436	-0.452	-4.229	-1.903
1.06.11	-1.426	3.996	-0.406	-3.955	-1.792
1.06.12	-1.900	5.001	-0.672	-4.591	-2.162
1.06.13	-1.994	4.937	-0.542	-5.023	-2.622
1.06.14	-1.662	4.365	-0.425	-4.039	-1.761
1.06.15	-0.826	2.352	-0.227	-2.244	-0.945
1.06.16	-2.528	4.519	-0.581	-3.799	-2.389
1.06.17	-2.176	3.804	-0.497	-3.132	-2.001
1.06.18	-2.134	5.117	-0.638	-5.617	-3.272
1.06.19	-1.059	2.108	-0.202	-1.616	-0.769
1.06.20	-2.153	4.098	-0.523	-3.668	-2.246
1.06.21	-1.887	5.261	-0.653	-5.426	-2.705
1.06.22	-2.912	6.449	-1.012	-6.686	-4.161
1.06.23	-2.964	3.974	-0.933	-3.513	-3.436
1.06.24	-2.380	2.910	-0.756	-2.698	-2.923
1.06.25	-2.997	5.451	-0.696	-5.880	-4.122
1.06.26	-0.787	1.850	-0.284	-1.587	-0.808
1.06.27	-1.409	3.671	-0.384	-3.669	-1.791
1.06.28	-1.256	3.237	-0.356	-3.121	-1.496
1.06.29	-1.216	3.174	-0.359	-2.628	-1.030
1.06.30	-1.028	3.093	-0.311	-3.291	-1.537
1.06.31	-0.836	2.292	-0.269	-2.052	-0.865
1.06.32	-1.249	3.376	-0.350	-3.375	-1.598
1.06.33	-1.162	2.802	-0.309	-2.229	-0.898
1.06.34	-1.484	3.942	-0.430	-3.649	-1.620
1.06.35	-1.224	3.192	-0.362	-2.740	-1.133
1.06.36	-1.936	3.898	-0.556	-4.246	-2.840
1.06.37	-3.508	7.279	-0.876	-7.422	-4.526
1.06.38	-2.365	5.834	-0.598	-6.926	-4.055
1.06.39	-2.544	6.556	-0.695	-7.214	-3.897
1.06.40	-1.581	4.531	-0.469	-4.964	-2.482
1.06.41	-1.506	5.057	-0.462	-5.292	-2.204
1.06.42	-0.810	2.610	-0.233	-2.667	-1.099
1.06.43	-2.070	5.267	-0.582	-5.859	-3.243
1.06.44	-2.151	5.381	-0.586	-5.652	-3.008
1.06.45	-1.187	3.786	-0.343	-4.125	-1.869
1.06.46	-1.135	3.630	-0.334	-3.764	-1.603
1.06.47	-1.144	3.770	-0.369	-3.680	-1.422
1.06.48	-1.547	4.901	-0.486	-4.945	-2.077
1.06.49	-1.573	4.848	-0.461	-5.078	-2.264
1.06.50	-0.707	2.386	-0.210	-2.301	-0.831
1.06.51	-1.172	3.897	-0.347	-4.098	-1.719
1.06.52	-0.817	3.168	-0.341	-3.120	-1.110
1.06.53	-1.108	3.755	-0.336	-3.962	-1.650
1.06.54	-1.038	3.698	-0.365	-3.781	-1.486
1.06.55	-1.812	4.477	-0.528	-4.630	-2.493
1.06.56	-1.206	4.035	-0.408	-4.029	-1.608
1.06.57	-1.519	3.961	-0.413	-3.986	-1.957
1.06.58	-1.636	3.981	-0.464	-3.615	-1.734
1.06.59	-0.476	1.011	-0.190	-0.915	-0.570
1.06.60	-1.186	2.984	-0.319	-2.849	-1.369
1.06.61	-1.505	5.167	-0.536	-4.886	-1.760
1.06.62	-2.485	4.633	-0.651	-3.888	-2.391
1.06.63	-1.600	3.251	-0.417	-2.798	-1.563
1.06.64	-1.599	2.130	-0.602	-1.543	-1.613
1.07.01	-1.449	3.584	-0.271	-3.887	-2.022
1.07.02	-1.758	4.582	-0.381	-5.322	-2.879
1.07.03	-1.312	3.289	-0.251	-3.457	-1.730
1.07.04	-1.533	3.730	-0.282	-4.134	-2.219
1.07.05	-2.017	5.393	-0.495	-5.887	-3.006
1.07.06	-2.842	3.741	-0.697	-2.478	-2.276
1.07.07	-3.908	5.717	-1.031	-4.597	-3.819
1.07.08	-4.201	7.862	-0.866	-6.801	-4.006
1.07.09	-3.401	5.147	-1.047	-4.041	-3.342
