# SQM interaction energies (kcal/mol)
system	PM6	PM6-D3	PM6-D3H4	PM6-D3H4X	PM7	DFTB3	DFTB3-D3	DFTB3-D3H4	DFTB3-D3H4X	DFTB3-D3H5	DFTB3-D3H5X	GFN2-XTB
1.01.01	-0.017	-0.118	-0.118	-0.116	-0.054	-0.022	-0.110	-0.147	-0.147	-0.147	-0.147	-0.152
1.02.01	-0.055	-0.333	-0.333	-0.331	-0.259	-0.055	-0.378	-0.384	-0.384	-0.384	-0.384	-0.329
1.02.02	-0.083	-0.452	-0.452	-0.449	-0.343	-0.119	-0.597	-0.596	-0.596	-0.596	-0.596	-0.351
1.02.03	-0.078	-0.481	-0.481	-0.477	-0.413	-0.131	-0.690	-0.673	-0.673	-0.673	-0.673	-0.401
1.02.04	-0.079	-0.509	-0.509	-0.504	-0.484	-0.140	-0.761	-0.714	-0.714	-0.714	-0.714	-0.446
1.02.05	-0.073	-0.393	-0.393	-0.389	-0.246	-0.069	-0.432	-0.451	-0.451	-0.451	-0.451	-0.291
1.02.06	-0.076	-0.558	-0.558	-0.554	-0.364	-0.072	-0.571	-0.674	-0.674	-0.674	-0.674	-0.603
1.02.07	-0.080	-0.560	-0.560	-0.556	-0.290	-0.075	-0.567	-0.679	-0.679	-0.679	-0.679	-0.594
1.02.08	-0.076	-0.664	-0.664	-0.664	-0.364	-0.067	-0.747	-0.841	-0.841	-0.841	-0.841	-0.657
1.02.09	-0.100	-0.542	-0.542	-0.553	-0.349	-0.160	-0.648	-0.782	-0.782	-0.782	-0.782	-0.649
1.02.10	-0.103	-0.702	-0.702	-0.703	-0.502	-0.132	-0.771	-0.911	-0.911	-0.911	-0.911	-0.872
1.02.11	-0.102	-0.763	-0.763	-0.761	-0.469	-0.100	-0.842	-0.928	-0.928	-0.928	-0.928	-0.811
1.02.12	-0.105	-0.805	-0.805	-0.803	-0.546	-0.106	-0.915	-0.997	-0.997	-0.997	-0.997	-0.878
1.02.13	-0.097	-0.865	-0.865	-0.866	-0.678	-0.091	-0.986	-1.064	-1.064	-1.064	-1.064	-0.864
