# This file contains the metadata for categorization of the systems in the data set.
# The second column is the name of the group the complex belongs to
# The third column provides additional tags, including element and atomtype combinations the system represents, assignment of the systems into the smaller subsets obtained by clustering etc.
system	group	tags
1.01.01	HBCNO	H-H,equilibrium,cluster100,cluster200,D442
1.02.01	HBCNO	H-C,H-C1,equilibrium,cluster100,cluster200,D442
1.02.02	HBCNO	H-C,H-C1,equilibrium
1.02.03	HBCNO	H-C,H-C1,equilibrium
1.02.04	HBCNO	H-C,H-C1,equilibrium
1.02.05	HBCNO	H-C,H-C1,equilibrium
1.02.06	HBCNO	H-C,H-C2,equilibrium
1.02.07	HBCNO	H-C,H-C2,equilibrium
1.02.08	HBCNO	H-C,H-C2,equilibrium
1.02.09	HBCNO	H-C,H-C2,equilibrium
1.02.10	HBCNO	H-C,H-C2,equilibrium,cluster200,D442
1.02.11	HBCNO	H-C,H-C0,equilibrium
1.02.12	HBCNO	H-C,H-C0,equilibrium
1.02.13	HBCNO	H-C,H-C0,equilibrium,cluster200,D442
1.02.14	HBCNO	H-C,H-C1c,equilibrium,D442
1.02.15	HBCNO	H-C,H-C1c,equilibrium
1.02.16	HBCNO	H-C,H-C1n,equilibrium
1.02.17	HBCNO	H-C,H-C1n,equilibrium,D442
1.02.18	HBCNO	H-C,H-C3,equilibrium,cluster020,cluster050,D442
1.03.01	HBCNO	H-N,H-N2,equilibrium,cluster200,D442
1.03.02	HBCNO	H-N,H-N2,equilibrium
1.03.03	HBCNO	H-N,H-N3,equilibrium,cluster100,cluster200,D442
1.03.04	HBCNO	H-N,H-N3,equilibrium
1.04.01	HBCNO	H-O,H-O1,equilibrium,cluster200,D442
1.05.01	HBCNO	H-B,H-B0,equilibrium,cluster100,cluster200,D442
1.05.02	HBCNO	H-B,equilibrium,D442
1.05.03	HBCNO	H-B,equilibrium
1.05.04	HBCNO	H-B,equilibrium
1.06.01	HBCNO	C-C,C0-C2,equilibrium,cluster200,D442
1.06.02	HBCNO	C-C,C0-C2,equilibrium
1.06.03	HBCNO	C-C,C0-C2,equilibrium
1.06.04	HBCNO	C-C,C0-C2,equilibrium
1.06.05	HBCNO	C-C,C0-C2,equilibrium
1.06.06	HBCNO	C-C,C1-C2,equilibrium
1.06.07	HBCNO	C-C,C1-C2,equilibrium
1.06.08	HBCNO	C-C,C1-C2,equilibrium,D442
1.06.09	HBCNO	C-C,C1-C2,equilibrium
1.06.10	HBCNO	C-C,C1-C2,equilibrium
1.06.11	HBCNO	C-C,C1c-C2,equilibrium
1.06.12	HBCNO	C-C,C1c-C2,equilibrium
1.06.13	HBCNO	C-C,C1c-C2,equilibrium
1.06.14	HBCNO	C-C,C1c-C2,equilibrium
1.06.15	HBCNO	C-C,C1c-C2,equilibrium,D442
1.06.16	HBCNO	C-C,C2-C2,equilibrium
1.06.17	HBCNO	C-C,C2-C2,equilibrium,cluster200,D442
1.06.18	HBCNO	C-C,C2-C2,equilibrium
1.06.19	HBCNO	C-C,C2-C2,equilibrium
1.06.20	HBCNO	C-C,C2-C2,equilibrium
1.06.21	HBCNO	C-C,C0-C3,equilibrium
1.06.22	HBCNO	C-C,C0-C3,equilibrium,D442
1.06.23	HBCNO	C-C,C0-C3,equilibrium
1.06.24	HBCNO	C-C,C0-C3,equilibrium
1.06.25	HBCNO	C-C,C0-C3,equilibrium
1.06.26	HBCNO	C-C,C1c-C3,equilibrium
1.06.27	HBCNO	C-C,C1c-C3,equilibrium
1.06.28	HBCNO	C-C,C1c-C3,equilibrium
1.06.29	HBCNO	C-C,C1c-C3,equilibrium,D442
1.06.30	HBCNO	C-C,C1c-C3,equilibrium
1.06.31	HBCNO	C-C,C1-C3,equilibrium
1.06.32	HBCNO	C-C,C1-C3,equilibrium
1.06.33	HBCNO	C-C,C1-C3,equilibrium
1.06.34	HBCNO	C-C,C1-C3,equilibrium,D442
1.06.35	HBCNO	C-C,C1-C3,equilibrium
1.06.36	HBCNO	C-C,C0-C0,equilibrium
1.06.37	HBCNO	C-C,C0-C0,equilibrium,cluster020,D442
1.06.38	HBCNO	C-C,C0-C1,equilibrium
1.06.39	HBCNO	C-C,C0-C1,equilibrium
1.06.40	HBCNO	C-C,C0-C1,equilibrium,cluster200,D442
1.06.41	HBCNO	C-C,C1-C1,equilibrium,D442
1.06.42	HBCNO	C-C,C1-C1,equilibrium
1.06.43	HBCNO	C-C,C0-C1c,equilibrium,cluster050,D442
1.06.44	HBCNO	C-C,C0-C1c,equilibrium
1.06.45	HBCNO	C-C,C1-C1c,equilibrium
1.06.46	HBCNO	C-C,C1-C1c,equilibrium,D442
1.06.47	HBCNO	C-C,C1-C1c,equilibrium
1.06.48	HBCNO	C-C,C1c-C1c,equilibrium,D442
1.06.49	HBCNO	C-C,C1c-C1c,equilibrium
1.06.50	HBCNO	C-C,C1-C1n,equilibrium,cluster200,D442
1.06.51	HBCNO	C-C,C1-C1n,equilibrium
1.06.52	HBCNO	C-C,C1n-C1n,equilibrium,D442
1.06.53	HBCNO	C-C,C1n-C1n,equilibrium
1.06.54	HBCNO	C-C,C1n-C1n,equilibrium
1.06.55	HBCNO	C-C,C0-C1n,equilibrium,D442
1.06.56	HBCNO	C-C,C1c-C1n,equilibrium,D442
1.06.57	HBCNO	C-C,C1n-C2,equilibrium,D442
1.06.58	HBCNO	C-C,C1n-C3,equilibrium,cluster020,cluster050,cluster100,D442
1.06.59	HBCNO	C-C,C1n-C3,equilibrium
1.06.60	HBCNO	C-C,C1n-C3,equilibrium
1.06.61	HBCNO	C-C,C2-C3,equilibrium
1.06.62	HBCNO	C-C,C2-C3,equilibrium
1.06.63	HBCNO	C-C,C2-C3,equilibrium,D442
1.06.64	HBCNO	C-C,C3-C3,equilibrium,cluster200,D442
1.07.01	HBCNO	C-N,C1-N0,equilibrium
1.07.02	HBCNO	C-N,C1-N0,equilibrium
1.07.03	HBCNO	C-N,C1-N0,equilibrium
1.07.04	HBCNO	C-N,C1-N0,equilibrium,D442
1.07.05	HBCNO	C-N,C1-N0,equilibrium
1.07.06	HBCNO	C-N,C2-N0,equilibrium,D442
1.07.07	HBCNO	C-N,C2-N0,equilibrium
1.07.08	HBCNO	C-N,C2-N0,equilibrium
1.07.09	HBCNO	C-N,C2-N0,equilibrium
1.07.10	HBCNO	C-N,C2-N0,equilibrium
1.07.11	HBCNO	C-N,C0-N1,equilibrium
1.07.12	HBCNO	C-N,C0-N1,equilibrium
1.07.13	HBCNO	C-N,C0-N1,equilibrium,cluster200,D442
1.07.14	HBCNO	C-N,C0-N1,equilibrium
1.07.15	HBCNO	C-N,C0-N1,equilibrium
1.07.16	HBCNO	C-N,C1-N1,equilibrium,D442
1.07.17	HBCNO	C-N,C1-N1,equilibrium
1.07.18	HBCNO	C-N,C1-N1,equilibrium
1.07.19	HBCNO	C-N,C1-N1,equilibrium
1.07.20	HBCNO	C-N,C1-N1,equilibrium
1.07.21	HBCNO	C-N,C1c-N1,equilibrium,cluster100,cluster200,D442
1.07.22	HBCNO	C-N,C1c-N1,equilibrium
1.07.23	HBCNO	C-N,C1c-N1,equilibrium
1.07.24	HBCNO	C-N,C1c-N1,equilibrium
1.07.25	HBCNO	C-N,C1c-N1,equilibrium
1.07.26	HBCNO	C-N,C1c-N2,equilibrium
1.07.27	HBCNO	C-N,C1c-N2,equilibrium,D442
1.07.28	HBCNO	C-N,C1c-N2,equilibrium
1.07.29	HBCNO	C-N,C1c-N2,equilibrium
1.07.30	HBCNO	C-N,C1c-N2,equilibrium
1.07.31	HBCNO	C-N,C1n-N2,equilibrium
1.07.32	HBCNO	C-N,C1n-N2,equilibrium,cluster200,D442
1.07.33	HBCNO	C-N,C1n-N2,equilibrium
1.07.34	HBCNO	C-N,C1n-N2,equilibrium
1.07.35	HBCNO	C-N,C1n-N2,equilibrium
