# system names
1.01.01_100	hydrogen ... hydrogen
1.02.01_100	hydrogen ... 23dimethylbutane
1.02.02_100	hydrogen ... propane
1.02.03_100	hydrogen ... butane
1.02.04_100	hydrogen ... pentane
1.02.05_100	hydrogen ... ethane
1.02.06_100	hydrogen ... butadinene
1.02.07_100	hydrogen ... propene
1.02.08_100	hydrogen ... cyclopentadiene
1.02.09_100	hydrogen ... cyclobutadiene
1.02.10_100	hydrogen ... nonbornadiene
1.02.11_100	hydrogen ... benzene
1.02.12_100	hydrogen ... toluene
1.02.13_100	hydrogen ... naphthalene
1.02.14_100	hydrogen ... cyclohexane
1.02.15_100	hydrogen ... cyclopentane
1.02.16_100	hydrogen ... neopentane
1.02.17_100	hydrogen ... neohexane
1.02.18_100	hydrogen ... butadyine
1.03.01_100	hydrogen ... 124triazole
1.03.02_100	hydrogen ... methylazide
1.03.03_100	hydrogen ... nitrogen
1.03.04_100	hydrogen ... diazomethane
1.04.01_100	hydrogen ... diacetonediperoxide
1.05.01_100	hydrogen ... borazine
1.05.02_100	hydrogen ... nidopentaborane
1.05.03_100	hydrogen ... arachnopentaborane
1.05.04_100	hydrogen ... diborane
1.06.01_100	naphthalene ... butadinene
1.06.02_100	benzene ... ethene
1.06.03_100	toluene ... cyclobutadiene
1.06.04_100	naphthalene ... nonbornadiene
1.06.05_100	naphthalene ... ethene
1.06.06_100	propane ... cyclobutadiene
1.06.07_100	propane ... ethene
1.06.08_100	23dimethylbutane ... cyclopentadiene
1.06.09_100	23dimethylbutane ... ethene
1.06.10_100	isopentane ... butadinene
1.06.11_100	cyclohexane ... butadinene
1.06.12_100	cyclohexane ... cyclobutadiene
1.06.13_100	cyclohexane ... cyclopentadiene
1.06.14_100	cyclopentane ... propene
1.06.15_100	cyclohexane ... ethene
1.06.16_100	propene ... cyclopentadiene
1.06.17_100	ethene ... cyclopentadiene
1.06.18_100	nonbornadiene ... nonbornadiene
1.06.19_100	ethene ... ethene
1.06.20_100	cyclobutadiene ... nonbornadiene
1.06.21_100	toluene ... butadyine
1.06.22_100	naphthalene ... butadyine
1.06.23_100	toluene ... ethyne
1.06.24_100	benzene ... ethyne
1.06.25_100	naphthalene ... propyne
1.06.26_100	cyclohexane ... ethyne
1.06.27_100	cyclopentane ... butadyine
1.06.28_100	cyclohexane ... propyne
1.06.29_100	cyclopentane ... ethyne
1.06.30_100	cyclohexane ... butadyine
1.06.31_100	ethane ... propyne
1.06.32_100	isopentane ... butadyine
1.06.33_100	butane ... ethyne
1.06.34_100	pentane ... propyne
1.06.35_100	hexane ... ethyne
1.06.36_100	benzene ... benzene
1.06.37_100	benzene ... toluene
1.06.38_100	naphthalene ... propane
1.06.39_100	toluene ... pentane
1.06.40_100	toluene ... 23dimethylbutane
1.06.41_100	hexane ... butane
1.06.42_100	propane ... propane
1.06.43_100	toluene ... cyclohexane
1.06.44_100	benzene ... cyclopentane
1.06.45_100	pentane ... cyclohexane
1.06.46_100	propane ... cyclopentane
1.06.47_100	propane ... cyclohexane
1.06.48_100	cyclohexane ... cyclopentane
1.06.49_100	cyclopentane ... cyclopentane
1.06.50_100	ethane ... neopentane
1.06.51_100	isopentane ... neohexane
1.06.52_100	neopentane ... neopentane
1.06.53_100	neohexane ... neohexane
1.06.54_100	neohexane ... neopentane
1.06.55_100	benzene ... neopentane
