# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
1.01.01_0.80	0.669	0.652	0.663	0.649	0.649	-0.322	-0.416	-0.336	-0.436	-0.443	-0.452	-0.449	-0.158	-0.165	-0.218	-0.197	-0.173	-0.163	-0.233	-0.203	-0.238	-0.204	-0.244	-0.207	-0.244	-0.205	-0.359	-0.326	-0.360	-0.326
1.01.01_0.85	0.395	0.382	~~~	0.381	~~~	-0.248	-0.314	~~~	-0.329	~~~	-0.340	~~~	-0.122	-0.126	-0.164	-0.150	~~~	~~~	-0.174	-0.154	~~~	~~~	-0.182	-0.157	~~~	~~~	-0.278	-0.253	~~~	~~~
1.01.01_0.90	0.228	0.219	~~~	0.218	~~~	-0.191	-0.237	~~~	-0.248	~~~	-0.256	~~~	-0.094	-0.097	-0.123	-0.114	~~~	~~~	-0.131	-0.117	~~~	~~~	-0.136	-0.120	~~~	~~~	-0.215	-0.196	~~~	~~~
1.01.01_0.95	0.128	0.121	~~~	0.120	~~~	-0.147	-0.180	~~~	-0.188	~~~	-0.193	~~~	-0.072	-0.075	-0.092	-0.087	~~~	~~~	-0.098	-0.090	~~~	~~~	-0.102	-0.092	~~~	~~~	-0.167	-0.151	~~~	~~~
1.01.01_1.00	0.068	0.063	0.068	0.062	0.062	-0.114	-0.137	-0.097	-0.142	-0.144	-0.147	-0.146	-0.056	-0.058	-0.070	-0.067	-0.048	-0.049	-0.074	-0.069	-0.075	-0.069	-0.076	-0.070	-0.076	-0.070	-0.129	-0.117	-0.104	-0.094
1.01.01_1.05	0.034	0.030	~~~	0.029	~~~	-0.088	-0.104	~~~	-0.109	~~~	-0.112	~~~	-0.043	-0.045	-0.053	-0.052	~~~	~~~	-0.056	-0.053	~~~	~~~	-0.058	-0.054	~~~	~~~	-0.101	-0.091	~~~	~~~
1.01.01_1.10	0.014	0.011	~~~	0.010	~~~	-0.069	-0.080	~~~	-0.083	~~~	-0.086	~~~	-0.034	-0.035	-0.040	-0.040	~~~	~~~	-0.042	-0.041	~~~	~~~	-0.044	-0.042	~~~	~~~	-0.079	-0.071	~~~	~~~
1.01.01_1.25	-0.005	-0.007	~~~	-0.007	~~~	-0.034	-0.038	~~~	-0.039	~~~	-0.040	~~~	-0.016	-0.018	-0.019	-0.019	~~~	~~~	-0.020	-0.020	~~~	~~~	-0.020	-0.020	~~~	~~~	-0.039	-0.035	~~~	~~~
1.01.01_1.50	-0.005	-0.006	~~~	-0.006	~~~	-0.012	-0.013	~~~	-0.013	~~~	-0.013	~~~	-0.006	-0.006	-0.006	-0.007	~~~	~~~	-0.006	-0.007	~~~	~~~	-0.006	-0.007	~~~	~~~	-0.013	-0.012	~~~	~~~
1.01.01_2.00	-0.001	-0.002	~~~	-0.002	~~~	-0.002	-0.002	~~~	-0.002	~~~	-0.002	~~~	-0.001	-0.001	-0.001	-0.001	~~~	~~~	-0.001	-0.001	~~~	~~~	-0.001	-0.001	~~~	~~~	-0.002	-0.002	~~~	~~~
1.02.01_0.80	1.855	1.794	1.798	1.792	1.792	-1.176	-1.380	-1.319	-1.427	-1.443	-1.462	-1.459	-0.574	-0.602	-0.708	-0.672	-0.671	-0.648	-0.744	-0.683	-0.757	-0.686	-0.771	-0.691	-0.771	-0.688	-1.234	-1.088	-1.381	-1.210
1.02.01_0.85	1.146	1.106	~~~	1.104	~~~	-0.943	-1.090	~~~	-1.123	~~~	-1.148	~~~	-0.462	-0.481	-0.558	-0.532	~~~	~~~	-0.583	-0.540	~~~	~~~	-0.602	-0.546	~~~	~~~	-1.000	-0.881	~~~	~~~
1.02.01_0.90	0.695	0.671	~~~	0.670	~~~	-0.757	-0.862	~~~	-0.886	~~~	-0.903	~~~	-0.373	-0.384	-0.440	-0.422	~~~	~~~	-0.458	-0.428	~~~	~~~	-0.471	-0.432	~~~	~~~	-0.810	-0.713	~~~	~~~
1.02.01_0.95	0.413	0.399	~~~	0.398	~~~	-0.610	-0.683	~~~	-0.700	~~~	-0.713	~~~	-0.301	-0.309	-0.347	-0.336	~~~	~~~	-0.360	-0.340	~~~	~~~	-0.369	-0.344	~~~	~~~	-0.656	-0.577	~~~	~~~
1.02.01_1.00	0.239	0.230	0.233	0.229	0.229	-0.492	-0.543	-0.510	-0.556	-0.560	-0.565	-0.564	-0.243	-0.249	-0.275	-0.268	-0.256	-0.253	-0.284	-0.272	-0.287	-0.272	-0.291	-0.274	-0.291	-0.273	-0.532	-0.467	-0.545	-0.475
1.02.01_1.05	0.133	0.127	~~~	0.126	~~~	-0.398	-0.434	~~~	-0.443	~~~	-0.450	~~~	-0.197	-0.201	-0.219	-0.215	~~~	~~~	-0.225	-0.218	~~~	~~~	-0.230	-0.220	~~~	~~~	-0.432	-0.379	~~~	~~~
1.02.01_1.10	0.069	0.065	~~~	0.065	~~~	-0.323	-0.348	~~~	-0.355	~~~	-0.359	~~~	-0.160	-0.163	-0.175	-0.173	~~~	~~~	-0.179	-0.175	~~~	~~~	-0.183	-0.177	~~~	~~~	-0.351	-0.308	~~~	~~~
1.02.01_1.25	-0.002	-0.004	~~~	-0.004	~~~	-0.177	-0.185	~~~	-0.188	~~~	-0.190	~~~	-0.087	-0.090	-0.092	-0.093	~~~	~~~	-0.094	-0.094	~~~	~~~	-0.095	-0.095	~~~	~~~	-0.192	-0.168	~~~	~~~
1.02.01_1.50	-0.012	-0.013	~~~	-0.012	~~~	-0.071	-0.073	~~~	-0.073	~~~	-0.074	~~~	-0.034	-0.036	-0.036	-0.037	~~~	~~~	-0.036	-0.037	~~~	~~~	-0.036	-0.037	~~~	~~~	-0.076	-0.067	~~~	~~~
1.02.01_2.00	-0.004	-0.004	~~~	-0.004	~~~	-0.016	-0.016	~~~	-0.016	~~~	-0.016	~~~	-0.008	-0.008	-0.008	-0.008	~~~	~~~	-0.008	-0.008	~~~	~~~	-0.008	-0.008	~~~	~~~	-0.017	-0.015	~~~	~~~
1.02.10_0.80	3.294	3.299	3.309	3.288	3.288	-2.436	-2.816	-2.732	-2.914	-2.950	-2.986	-2.987	-1.214	-1.222	-1.469	-1.347	-1.418	-1.314	-1.544	-1.370	-1.573	-1.377	-1.598	-1.388	-1.603	-1.384	-2.242	-1.973	-2.530	-2.213
1.02.10_0.85	2.091	2.105	~~~	2.097	~~~	-1.957	-2.244	~~~	-2.318	~~~	-2.372	~~~	-0.973	-0.984	-1.164	-1.080	~~~	~~~	-1.220	-1.098	~~~	~~~	-1.261	-1.111	~~~	~~~	-1.812	-1.592	~~~	~~~
1.02.10_0.90	1.286	1.302	~~~	1.296	~~~	-1.571	-1.786	~~~	-1.843	~~~	-1.884	~~~	-0.778	-0.794	-0.921	-0.866	~~~	~~~	-0.963	-0.880	~~~	~~~	-0.994	-0.890	~~~	~~~	-1.461	-1.281	~~~	~~~
1.02.10_0.95	0.756	0.771	~~~	0.767	~~~	-1.261	-1.423	~~~	-1.465	~~~	-1.496	~~~	-0.621	-0.640	-0.728	-0.695	~~~	~~~	-0.759	-0.706	~~~	~~~	-0.782	-0.713	~~~	~~~	-1.178	-1.030	~~~	~~~
1.02.10_1.00	0.415	0.425	0.427	0.423	0.423	-1.014	-1.134	-1.082	-1.166	-1.176	-1.189	-1.187	-0.496	-0.518	-0.576	-0.559	-0.546	-0.537	-0.599	-0.567	-0.607	-0.569	-0.616	-0.573	-0.616	-0.571	-0.948	-0.827	-1.010	-0.876
1.02.10_1.05	0.200	0.205	~~~	0.205	~~~	-0.816	-0.906	~~~	-0.929	~~~	-0.946	~~~	-0.396	-0.419	-0.456	-0.450	~~~	~~~	-0.473	-0.456	~~~	~~~	-0.486	-0.461	~~~	~~~	-0.764	-0.665	~~~	~~~
1.02.10_1.10	0.068	0.069	~~~	0.069	~~~	-0.657	-0.725	~~~	-0.742	~~~	-0.755	~~~	-0.317	-0.340	-0.361	-0.364	~~~	~~~	-0.374	-0.368	~~~	~~~	-0.383	-0.372	~~~	~~~	-0.616	-0.534	~~~	~~~
1.02.10_1.25	-0.078	-0.082	~~~	-0.080	~~~	-0.350	-0.379	~~~	-0.386	~~~	-0.391	~~~	-0.165	-0.185	-0.184	-0.196	~~~	~~~	-0.189	-0.198	~~~	~~~	-0.193	-0.199	~~~	~~~	-0.326	-0.281	~~~	~~~
1.02.10_1.50	-0.071	-0.075	~~~	-0.074	~~~	-0.132	-0.140	~~~	-0.142	~~~	-0.144	~~~	-0.060	-0.072	-0.065	-0.075	~~~	~~~	-0.066	-0.076	~~~	~~~	-0.068	-0.076	~~~	~~~	-0.121	-0.103	~~~	~~~
1.02.10_2.00	-0.022	-0.023	~~~	-0.023	~~~	-0.026	-0.027	~~~	-0.028	~~~	-0.028	~~~	-0.011	-0.015	-0.012	-0.015	~~~	~~~	-0.012	-0.015	~~~	~~~	-0.012	-0.016	~~~	~~~	-0.023	-0.020	~~~	~~~
1.02.13_0.80	4.636	4.570	4.577	4.559	4.558	-3.894	-4.365	-4.270	-4.490	-4.536	-4.581	-4.584	-1.936	-1.958	-2.238	-2.127	-2.180	-2.090	-2.330	-2.160	-2.367	-2.169	-2.398	-2.184	-2.405	-2.179	-3.312	-2.906	-3.672	-3.200
1.02.13_0.85	2.884	2.860	~~~	2.849	~~~	-3.145	-3.501	~~~	-3.596	~~~	-3.665	~~~	-1.560	-1.585	-1.786	-1.715	~~~	~~~	-1.855	-1.740	~~~	~~~	-1.906	-1.759	~~~	~~~	-2.691	-2.358	~~~	~~~
1.02.13_0.90	1.747	1.750	~~~	1.741	~~~	-2.538	-2.806	~~~	-2.878	~~~	-2.931	~~~	-1.256	-1.282	-1.425	-1.382	~~~	~~~	-1.477	-1.402	~~~	~~~	-1.515	-1.416	~~~	~~~	-2.182	-1.910	~~~	~~~
1.02.13_0.95	1.021	1.038	~~~	1.030	~~~	-2.047	-2.250	~~~	-2.304	~~~	-2.344	~~~	-1.010	-1.037	-1.137	-1.113	~~~	~~~	-1.176	-1.129	~~~	~~~	-1.204	-1.140	~~~	~~~	-1.766	-1.543	~~~	~~~
1.02.13_1.00	0.564	0.585	0.585	0.580	0.580	-1.651	-1.806	-1.746	-1.846	-1.859	-1.875	-1.873	-0.812	-0.839	-0.908	-0.898	-0.874	-0.872	-0.937	-0.909	-0.947	-0.912	-0.958	-0.918	-0.958	-0.916	-1.428	-1.246	-1.515	-1.313
1.02.13_1.05	0.282	0.302	~~~	0.300	~~~	-1.333	-1.451	~~~	-1.481	~~~	-1.502	~~~	-0.653	-0.679	-0.726	-0.725	~~~	~~~	-0.747	-0.733	~~~	~~~	-0.763	-0.740	~~~	~~~	-1.155	-1.006	~~~	~~~
1.02.13_1.10	0.111	0.129	~~~	0.128	~~~	-1.078	-1.168	~~~	-1.190	~~~	-1.206	~~~	-0.526	-0.551	-0.582	-0.586	~~~	~~~	-0.598	-0.593	~~~	~~~	-0.609	-0.597	~~~	~~~	-0.935	-0.812	~~~	~~~
1.02.13_1.25	-0.075	-0.066	~~~	-0.065	~~~	-0.577	-0.619	~~~	-0.628	~~~	-0.634	~~~	-0.278	-0.299	-0.304	-0.315	~~~	~~~	-0.311	-0.317	~~~	~~~	-0.315	-0.319	~~~	~~~	-0.500	-0.432	~~~	~~~
1.02.13_1.50	-0.076	-0.075	~~~	-0.074	~~~	-0.218	-0.231	~~~	-0.233	~~~	-0.235	~~~	-0.103	-0.115	-0.111	-0.120	~~~	~~~	-0.113	-0.120	~~~	~~~	-0.114	-0.121	~~~	~~~	-0.187	-0.161	~~~	~~~
1.02.13_2.00	-0.024	-0.025	~~~	-0.025	~~~	-0.042	-0.044	~~~	-0.044	~~~	-0.045	~~~	-0.019	-0.023	-0.020	-0.024	~~~	~~~	-0.021	-0.024	~~~	~~~	-0.021	-0.024	~~~	~~~	-0.036	-0.030	~~~	~~~
1.02.14_0.80	2.336	2.298	2.304	2.293	2.292	-1.842	-2.109	-2.012	-2.172	-2.192	-2.218	-2.214	-0.897	-0.946	-1.072	-1.037	-1.014	-0.998	-1.119	-1.053	-1.136	-1.056	-1.154	-1.064	-1.154	-1.060	-1.846	-1.632	-2.016	-1.769
1.02.14_0.85	1.603	1.579	~~~	1.575	~~~	-1.527	-1.730	~~~	-1.778	~~~	-1.813	~~~	-0.748	-0.779	-0.879	-0.851	~~~	~~~	-0.915	-0.863	~~~	~~~	-0.941	-0.872	~~~	~~~	-1.544	-1.363	~~~	~~~
1.02.14_0.90	1.092	1.077	~~~	1.074	~~~	-1.265	-1.418	~~~	-1.454	~~~	-1.481	~~~	-0.622	-0.642	-0.720	-0.698	~~~	~~~	-0.747	-0.707	~~~	~~~	-0.767	-0.714	~~~	~~~	-1.289	-1.137	~~~	~~~
1.02.14_0.95	0.739	0.730	~~~	0.728	~~~	-1.047	-1.163	~~~	-1.190	~~~	-1.210	~~~	-0.518	-0.530	-0.590	-0.572	~~~	~~~	-0.610	-0.580	~~~	~~~	-0.625	-0.585	~~~	~~~	-1.074	-0.948	~~~	~~~
1.02.14_1.00	0.497	0.492	0.493	0.490	0.490	-0.868	-0.954	-0.895	-0.975	-0.981	-0.990	-0.988	-0.430	-0.437	-0.484	-0.470	-0.451	-0.444	-0.499	-0.476	-0.504	-0.477	-0.510	-0.480	-0.509	-0.478	-0.895	-0.789	-0.914	-0.799
1.02.14_1.05	0.332	0.329	~~~	0.328	~~~	-0.719	-0.784	~~~	-0.799	~~~	-0.810	~~~	-0.358	-0.361	-0.398	-0.386	~~~	~~~	-0.408	-0.391	~~~	~~~	-0.416	-0.394	~~~	~~~	-0.746	-0.657	~~~	~~~
1.02.14_1.10	0.220	0.219	~~~	0.218	~~~	-0.597	-0.646	~~~	-0.657	~~~	-0.665	~~~	-0.298	-0.299	-0.327	-0.319	~~~	~~~	-0.335	-0.322	~~~	~~~	-0.341	-0.324	~~~	~~~	-0.622	-0.547	~~~	~~~
1.02.14_1.25	0.063	0.063	~~~	0.063	~~~	-0.346	-0.366	~~~	-0.371	~~~	-0.374	~~~	-0.173	-0.173	-0.185	-0.181	~~~	~~~	-0.188	-0.183	~~~	~~~	-0.190	-0.184	~~~	~~~	-0.363	-0.319	~~~	~~~
1.02.14_1.50	0.008	0.008	~~~	0.008	~~~	-0.148	-0.153	~~~	-0.154	~~~	-0.155	~~~	-0.074	-0.074	-0.077	-0.076	~~~	~~~	-0.077	-0.076	~~~	~~~	-0.078	-0.077	~~~	~~~	-0.155	-0.136	~~~	~~~
1.02.14_2.00	0.001	0.001	~~~	0.001	~~~	-0.035	-0.036	~~~	-0.036	~~~	-0.036	~~~	-0.018	-0.018	-0.018	-0.018	~~~	~~~	-0.018	-0.018	~~~	~~~	-0.018	-0.018	~~~	~~~	-0.036	-0.032	~~~	~~~
1.02.17_0.80	1.837	1.778	1.783	1.776	1.775	-1.157	-1.358	-1.299	-1.404	-1.419	-1.437	-1.435	-0.566	-0.591	-0.698	-0.659	-0.663	-0.636	-0.734	-0.670	-0.746	-0.673	-0.759	-0.678	-0.760	-0.675	-1.219	-1.075	-1.366	-1.197
