# DFT-SAPT benchmark energies with the asymptotically corrected B3LYP potential for D442x10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
1.01.01_080      -0.307       1.053      -0.038      -0.099      -0.615      -0.007
1.01.01_085      -0.196       0.628      -0.022      -0.058      -0.454      -0.101
1.01.01_090      -0.127       0.372      -0.013      -0.033      -0.336      -0.137
1.01.01_095      -0.084       0.220      -0.007      -0.019      -0.251      -0.141
1.01.01_100      -0.057       0.129      -0.004      -0.011      -0.188      -0.131
1.01.01_105      -0.040       0.076      -0.003      -0.006      -0.142      -0.115
1.01.01_110      -0.029       0.044      -0.002      -0.003      -0.108      -0.098
1.01.01_125      -0.013       0.009      -0.000      -0.001      -0.050      -0.056
1.01.01_150      -0.005       0.001      -0.000      -0.000      -0.017      -0.021
1.01.01_200      -0.001       0.000      -0.000      -0.000      -0.003      -0.004
1.02.01_080      -1.081       3.582      -0.121      -0.280      -1.974       0.126
1.02.01_085      -0.703       2.271      -0.074      -0.175      -1.527      -0.208
1.02.01_090      -0.460       1.433      -0.046      -0.108      -1.185      -0.366
1.02.01_095      -0.305       0.900      -0.029      -0.066      -0.923      -0.423
1.02.01_100      -0.205       0.564      -0.019      -0.040      -0.722      -0.422
1.02.01_105      -0.140       0.352      -0.012      -0.024      -0.569      -0.393
1.02.01_110      -0.098       0.220      -0.008      -0.015      -0.450      -0.351
1.02.01_125      -0.039       0.052      -0.002      -0.003      -0.231      -0.223
1.02.01_150      -0.013       0.005      -0.000      -0.000      -0.087      -0.096
1.02.01_200      -0.003       0.000      -0.000      -0.000      -0.019      -0.022
1.02.10_080      -2.262       6.706      -0.268      -0.784      -3.475      -0.083
1.02.10_085      -1.573       4.489      -0.177      -0.547      -2.734      -0.543
1.02.10_090      -1.105       2.982      -0.121      -0.372      -2.153      -0.769
1.02.10_095      -0.787       1.967      -0.084      -0.249      -1.696      -0.849
1.02.10_100      -0.570       1.291      -0.059      -0.164      -1.338      -0.842
1.02.10_105      -0.421       0.843      -0.043      -0.107      -1.059      -0.786
1.02.10_110      -0.317       0.549      -0.031      -0.070      -0.840      -0.708
1.02.10_125      -0.154       0.148      -0.013      -0.018      -0.427      -0.465
1.02.10_150      -0.063       0.016      -0.003      -0.002      -0.154      -0.206
1.02.10_200      -0.017       0.000      -0.000      -0.000      -0.029      -0.046
1.02.13_080      -2.608       8.350      -0.321      -0.643      -4.610       0.169
1.02.13_085      -1.720       5.432      -0.198      -0.458      -3.667      -0.610
1.02.13_090      -1.144       3.516      -0.128      -0.313      -2.921      -0.989
1.02.13_095      -0.772       2.266      -0.086      -0.208      -2.328      -1.129
1.02.13_100      -0.531       1.456      -0.060      -0.137      -1.857      -1.129
1.02.13_105      -0.374       0.932      -0.044      -0.089      -1.483      -1.058
1.02.13_110      -0.270       0.595      -0.032      -0.058      -1.187      -0.952
1.02.13_125      -0.123       0.152      -0.015      -0.015      -0.619      -0.619
1.02.13_150      -0.052       0.015      -0.005      -0.002      -0.227      -0.271
1.02.13_200      -0.016       0.000      -0.001      -0.000      -0.043      -0.060
1.02.14_080      -1.198       4.205      -0.145      -0.319      -2.722      -0.179
1.02.14_085      -0.819       2.898      -0.097      -0.223      -2.205      -0.446
1.02.14_090      -0.556       1.983      -0.066      -0.154      -1.786      -0.578
1.02.14_095      -0.375       1.347      -0.045      -0.104      -1.447      -0.623
1.02.14_100      -0.252       0.909      -0.030      -0.070      -1.173      -0.616
1.02.14_105      -0.168       0.610      -0.021      -0.046      -0.953      -0.578
1.02.14_110      -0.111       0.408      -0.014      -0.030      -0.776      -0.525
1.02.14_125      -0.031       0.119      -0.005      -0.008      -0.428      -0.354
1.02.14_150      -0.003       0.014      -0.001      -0.001      -0.172      -0.162
1.02.14_200       0.001       0.000      -0.000      -0.000      -0.038      -0.038
1.02.17_080      -1.057       3.534      -0.119      -0.280      -1.950       0.127
1.02.17_085      -0.685       2.235      -0.073      -0.175      -1.504      -0.202
1.02.17_090      -0.448       1.407      -0.046      -0.108      -1.165      -0.359
1.02.17_095      -0.296       0.883      -0.029      -0.066      -0.906      -0.414
1.02.17_100      -0.199       0.553      -0.019      -0.040      -0.708      -0.413
