# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for D442x10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
1.01.01_080      -0.312       1.071      -0.039      -0.099      -0.613       0.008
1.01.01_085      -0.199       0.641      -0.022      -0.058      -0.453      -0.091
1.01.01_090      -0.130       0.381      -0.013      -0.033      -0.336      -0.130
1.01.01_095      -0.086       0.226      -0.008      -0.019      -0.250      -0.137
1.01.01_100      -0.059       0.133      -0.005      -0.011      -0.188      -0.129
1.01.01_105      -0.041       0.078      -0.003      -0.006      -0.142      -0.114
1.01.01_110      -0.030       0.046      -0.002      -0.003      -0.108      -0.098
1.01.01_125      -0.013       0.009      -0.000      -0.001      -0.050      -0.056
1.01.01_150      -0.005       0.001      -0.000      -0.000      -0.017      -0.022
1.01.01_200      -0.001       0.000      -0.000      -0.000      -0.003      -0.004
1.02.01_080      -1.094       3.544      -0.121      -0.280      -1.958       0.091
1.02.01_085      -0.714       2.248      -0.075      -0.175      -1.514      -0.229
1.02.01_090      -0.470       1.419      -0.047      -0.108      -1.174      -0.380
1.02.01_095      -0.313       0.891      -0.030      -0.066      -0.915      -0.432
1.02.01_100      -0.211       0.558      -0.019      -0.040      -0.716      -0.429
1.02.01_105      -0.146       0.349      -0.012      -0.024      -0.564      -0.397
1.02.01_110      -0.102       0.217      -0.008      -0.015      -0.446      -0.354
1.02.01_125      -0.041       0.052      -0.003      -0.003      -0.229      -0.225
1.02.01_150      -0.014       0.005      -0.000      -0.000      -0.086      -0.097
1.02.01_200      -0.004       0.000      -0.000      -0.000      -0.019      -0.022
1.02.10_080      -2.252       6.498      -0.270      -0.784      -3.422      -0.229
1.02.10_085      -1.570       4.344      -0.180      -0.547      -2.690      -0.643
1.02.10_090      -1.108       2.882      -0.124      -0.372      -2.116      -0.837
1.02.10_095      -0.793       1.899      -0.087      -0.249      -1.666      -0.896
1.02.10_100      -0.578       1.245      -0.062      -0.164      -1.315      -0.875
1.02.10_105      -0.430       0.812      -0.045      -0.107      -1.040      -0.810
1.02.10_110      -0.326       0.527      -0.033      -0.070      -0.824      -0.725
1.02.10_125      -0.161       0.141      -0.013      -0.018      -0.420      -0.472
1.02.10_150      -0.067       0.015      -0.004      -0.002      -0.151      -0.209
1.02.10_200      -0.018       0.000      -0.000      -0.000      -0.029      -0.047
1.02.13_080      -2.610       8.156      -0.315      -0.643      -4.546       0.041
1.02.13_085      -1.726       5.299      -0.197      -0.458      -3.613      -0.695
1.02.13_090      -1.154       3.426      -0.129      -0.313      -2.875      -1.046
1.02.13_095      -0.784       2.205      -0.089      -0.208      -2.290      -1.167
1.02.13_100      -0.543       1.414      -0.063      -0.137      -1.826      -1.155
1.02.13_105      -0.386       0.903      -0.046      -0.089      -1.458      -1.076
1.02.13_110      -0.281       0.575      -0.035      -0.058      -1.167      -0.965
1.02.13_125      -0.131       0.146      -0.017      -0.015      -0.608      -0.625
1.02.13_150      -0.057       0.014      -0.006      -0.002      -0.223      -0.274
1.02.13_200      -0.017       0.000      -0.001      -0.000      -0.043      -0.061
1.02.14_080      -1.212       4.136      -0.145      -0.319      -2.696      -0.235
1.02.14_085      -0.831       2.851      -0.098      -0.223      -2.183      -0.484
1.02.14_090      -0.567       1.951      -0.066      -0.154      -1.767      -0.603
1.02.14_095      -0.384       1.325      -0.045      -0.104      -1.432      -0.640
1.02.14_100      -0.259       0.894      -0.030      -0.070      -1.161      -0.626
1.02.14_105      -0.174       0.600      -0.021      -0.046      -0.943      -0.585
1.02.14_110      -0.117       0.401      -0.014      -0.030      -0.768      -0.529
1.02.14_125      -0.035       0.116      -0.005      -0.008      -0.424      -0.355
1.02.14_150      -0.004       0.014      -0.001      -0.001      -0.170      -0.162
1.02.14_200       0.000       0.000      -0.000      -0.000      -0.038      -0.038
1.02.17_080      -1.070       3.496      -0.120      -0.280      -1.933       0.094
1.02.17_085      -0.696       2.212      -0.073      -0.175      -1.491      -0.223
1.02.17_090      -0.457       1.393      -0.046      -0.108      -1.154      -0.372
1.02.17_095      -0.303       0.874      -0.029      -0.066      -0.898      -0.422
1.02.17_100      -0.205       0.547      -0.019      -0.040      -0.702      -0.419
1.02.17_105      -0.141       0.341      -0.012      -0.024      -0.551      -0.388
1.02.17_110      -0.099       0.212      -0.008      -0.015      -0.436      -0.346
1.02.17_125      -0.041       0.051      -0.003      -0.003      -0.223      -0.219
1.02.17_150      -0.014       0.005      -0.001      -0.000      -0.084      -0.095
1.02.17_200      -0.004       0.000      -0.000      -0.000      -0.018      -0.022
1.02.18_080      -1.377       4.489      -0.185      -0.461      -2.341       0.125
1.02.18_085      -0.906       2.820      -0.115      -0.298      -1.802      -0.301
1.02.18_090      -0.605       1.761      -0.074      -0.189      -1.390      -0.498
1.02.18_095      -0.412       1.094      -0.049      -0.119      -1.076      -0.562
1.02.18_100      -0.288       0.677      -0.034      -0.074      -0.836      -0.555
1.02.18_105      -0.207       0.417      -0.024      -0.046      -0.652      -0.512
1.02.18_110      -0.154       0.256      -0.017      -0.028      -0.510      -0.454
1.02.18_125      -0.074       0.058      -0.007      -0.007      -0.254      -0.283
1.02.18_150      -0.034       0.005      -0.002      -0.001      -0.089      -0.121
1.02.18_200      -0.010       0.000      -0.000      -0.000      -0.017      -0.028
1.03.01_080      -3.607       9.234      -0.367      -0.557      -4.465       0.238
1.03.01_085      -2.331       5.857      -0.216      -0.400      -3.461      -0.551
