# This file contains the metadata for categorization of the systems in the data set.
# The second column is the name of the group the complex belongs to
# The third column provides additional tags, including element and atomtype combinations the system represents, assignment of the systems into the smaller subsets obtained by clustering etc.
system	group	tags
1.01.01_080	HBCNO	H-H,scaling=0.80,cluster100,cluster200
1.01.01_085	HBCNO	H-H,scaling=0.85,cluster100,cluster200
1.01.01_090	HBCNO	H-H,scaling=0.90,cluster100,cluster200
1.01.01_095	HBCNO	H-H,scaling=0.95,cluster100,cluster200
1.01.01_100	HBCNO	H-H,scaling=1.00,equilibrium,cluster100,cluster200
1.01.01_105	HBCNO	H-H,scaling=1.05,cluster100,cluster200
1.01.01_110	HBCNO	H-H,scaling=1.10,cluster100,cluster200
1.01.01_125	HBCNO	H-H,scaling=1.25,cluster100,cluster200
1.01.01_150	HBCNO	H-H,scaling=1.50,cluster100,cluster200
1.01.01_200	HBCNO	H-H,scaling=2.00,cluster100,cluster200
1.02.01_080	HBCNO	H-C,H-C1,scaling=0.80,cluster100,cluster200
1.02.01_085	HBCNO	H-C,H-C1,scaling=0.85,cluster100,cluster200
1.02.01_090	HBCNO	H-C,H-C1,scaling=0.90,cluster100,cluster200
1.02.01_095	HBCNO	H-C,H-C1,scaling=0.95,cluster100,cluster200
1.02.01_100	HBCNO	H-C,H-C1,scaling=1.00,equilibrium,cluster100,cluster200
1.02.01_105	HBCNO	H-C,H-C1,scaling=1.05,cluster100,cluster200
1.02.01_110	HBCNO	H-C,H-C1,scaling=1.10,cluster100,cluster200
1.02.01_125	HBCNO	H-C,H-C1,scaling=1.25,cluster100,cluster200
1.02.01_150	HBCNO	H-C,H-C1,scaling=1.50,cluster100,cluster200
1.02.01_200	HBCNO	H-C,H-C1,scaling=2.00,cluster100,cluster200
1.02.10_080	HBCNO	H-C,H-C2,scaling=0.80,cluster200
1.02.10_085	HBCNO	H-C,H-C2,scaling=0.85,cluster200
1.02.10_090	HBCNO	H-C,H-C2,scaling=0.90,cluster200
1.02.10_095	HBCNO	H-C,H-C2,scaling=0.95,cluster200
1.02.10_100	HBCNO	H-C,H-C2,scaling=1.00,equilibrium,cluster200
1.02.10_105	HBCNO	H-C,H-C2,scaling=1.05,cluster200
1.02.10_110	HBCNO	H-C,H-C2,scaling=1.10,cluster200
1.02.10_125	HBCNO	H-C,H-C2,scaling=1.25,cluster200
1.02.10_150	HBCNO	H-C,H-C2,scaling=1.50,cluster200
1.02.10_200	HBCNO	H-C,H-C2,scaling=2.00,cluster200
1.02.13_080	HBCNO	H-C,H-C0,scaling=0.80,cluster200
1.02.13_085	HBCNO	H-C,H-C0,scaling=0.85,cluster200
1.02.13_090	HBCNO	H-C,H-C0,scaling=0.90,cluster200
1.02.13_095	HBCNO	H-C,H-C0,scaling=0.95,cluster200
1.02.13_100	HBCNO	H-C,H-C0,scaling=1.00,equilibrium,cluster200
1.02.13_105	HBCNO	H-C,H-C0,scaling=1.05,cluster200
1.02.13_110	HBCNO	H-C,H-C0,scaling=1.10,cluster200
1.02.13_125	HBCNO	H-C,H-C0,scaling=1.25,cluster200
1.02.13_150	HBCNO	H-C,H-C0,scaling=1.50,cluster200
1.02.13_200	HBCNO	H-C,H-C0,scaling=2.00,cluster200
1.02.14_080	HBCNO	H-C,H-C1c,scaling=0.80
1.02.14_085	HBCNO	H-C,H-C1c,scaling=0.85
1.02.14_090	HBCNO	H-C,H-C1c,scaling=0.90
1.02.14_095	HBCNO	H-C,H-C1c,scaling=0.95
1.02.14_100	HBCNO	H-C,H-C1c,scaling=1.00,equilibrium
1.02.14_105	HBCNO	H-C,H-C1c,scaling=1.05
1.02.14_110	HBCNO	H-C,H-C1c,scaling=1.10
1.02.14_125	HBCNO	H-C,H-C1c,scaling=1.25
1.02.14_150	HBCNO	H-C,H-C1c,scaling=1.50
1.02.14_200	HBCNO	H-C,H-C1c,scaling=2.00
1.02.17_080	HBCNO	H-C,H-C1n,scaling=0.80
1.02.17_085	HBCNO	H-C,H-C1n,scaling=0.85
1.02.17_090	HBCNO	H-C,H-C1n,scaling=0.90
1.02.17_095	HBCNO	H-C,H-C1n,scaling=0.95
1.02.17_100	HBCNO	H-C,H-C1n,scaling=1.00,equilibrium
1.02.17_105	HBCNO	H-C,H-C1n,scaling=1.05
1.02.17_110	HBCNO	H-C,H-C1n,scaling=1.10
1.02.17_125	HBCNO	H-C,H-C1n,scaling=1.25
1.02.17_150	HBCNO	H-C,H-C1n,scaling=1.50
1.02.17_200	HBCNO	H-C,H-C1n,scaling=2.00
