# SQM interaction energies (kcal/mol)
system	"PM6"	"PM6-D3H4"	"PM6-D3H4X"	"PM6-D3H4'X"	"PM7"	"DFTB3"	"DFTB3-D3"	"DFTB3-D3H4"	"DFTB3-D3H5"	"DFTB3-D3H5'"	"GFN-XTB2"
1.01_080	-0.929	-1.207	-1.207	-1.207	-6.431	-0.867	-1.491	-1.220	-2.275	-2.275	-2.511
1.01_085	-1.376	-1.712	-1.712	-1.712	-6.330	-0.992	-1.572	-1.349	-1.958	-1.958	-2.478
1.01_090	-1.521	-1.881	-1.880	-1.880	-5.911	-0.889	-1.425	-1.276	-1.563	-1.563	-2.294
1.01_095	-1.489	-1.842	-1.842	-1.842	-5.356	-0.718	-1.211	-1.132	-1.246	-1.246	-2.052
1.01_100	-1.368	-1.696	-1.696	-1.696	-4.775	-0.551	-1.001	-0.943	-0.981	-0.981	-1.801
1.01_105	-1.214	-1.516	-1.516	-1.516	-4.227	-0.415	-0.823	-0.757	-0.768	-0.768	-1.566
1.01_110	-1.061	-1.340	-1.340	-1.340	-3.738	-0.314	-0.682	-0.609	-0.612	-0.612	-1.359
1.01_125	-0.714	-0.913	-0.912	-0.912	-2.626	-0.158	-0.419	-0.371	-0.371	-0.371	-0.899
1.01_150	-0.432	-0.518	-0.518	-0.518	-1.508	-0.078	-0.213	-0.166	-0.166	-0.166	-0.486
1.01_200	-0.210	-0.231	-0.231	-0.231	-0.358	-0.030	-0.064	-0.049	-0.049	-0.049	-0.178
1.02_080	2.707	2.375	2.375	2.375	-0.078	1.087	-0.157	0.427	-0.565	-0.565	-1.744
1.02_085	0.614	0.183	0.183	0.183	-2.478	0.168	-1.015	-0.668	-1.262	-1.262	-2.321
1.02_090	-0.631	-1.128	-1.128	-1.128	-3.844	-0.219	-1.338	-1.112	-1.413	-1.413	-2.496
1.02_095	-1.285	-1.833	-1.833	-1.833	-4.515	-0.340	-1.394	-1.216	-1.356	-1.356	-2.448
