# DFT-SAPT benchmark energies with the asymptotically corrected B3LYP potential for HB300SPXx10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst         Exch          Ind        deltaHF        Disp           Total     
1.01_080        -6.041        12.996        -1.282        -1.464        -4.020         0.189
1.01_085        -4.218         8.778        -0.930        -1.007        -3.161        -0.538
1.01_090        -2.972         5.903        -0.695        -0.676        -2.496        -0.936
1.01_095        -2.119         3.952        -0.531        -0.446        -1.977        -1.121
1.01_100        -1.535         2.636        -0.411        -0.291        -1.572        -1.172
1.01_105        -1.132         1.754        -0.321        -0.188        -1.253        -1.141
1.01_110        -0.852         1.164        -0.254        -0.121        -1.003        -1.066
1.01_125        -0.416         0.336        -0.130        -0.031        -0.524        -0.766
1.01_150        -0.186         0.041        -0.047        -0.003        -0.193        -0.389
1.01_200        -0.071         0.001        -0.009        -0.000        -0.038        -0.118
1.02_080        -7.732        18.266        -1.352        -1.654        -7.148         0.381
1.02_085        -5.295        12.246        -0.920        -1.163        -5.663        -0.794
1.02_090        -3.651         8.169        -0.653        -0.789        -4.501        -1.426
1.02_095        -2.542         5.425        -0.479        -0.524        -3.588        -1.708
1.02_100        -1.793         3.588        -0.359        -0.342        -2.869        -1.775
1.02_105        -1.287         2.366        -0.274        -0.221        -2.300        -1.716
1.02_110        -0.942         1.555        -0.212        -0.142        -1.850        -1.590
1.02_125        -0.426         0.435        -0.104        -0.037        -0.983        -1.114
1.02_150        -0.179         0.050        -0.036        -0.004        -0.373        -0.542
1.02_200        -0.067         0.001        -0.007        -0.000        -0.076        -0.149
1.03_080        -7.849        18.282        -1.416        -1.652        -6.797         0.568
1.03_085        -5.460        12.290        -0.975        -1.152        -5.419        -0.715
1.03_090        -3.838         8.223        -0.699        -0.777        -4.336        -1.427
1.03_095        -2.735         5.480        -0.517        -0.512        -3.482        -1.767
1.03_100        -1.983         3.640        -0.391        -0.333        -2.806        -1.873
1.03_105        -1.467         2.411        -0.300        -0.214        -2.268        -1.839
1.03_110        -1.110         1.593        -0.233        -0.137        -1.840        -1.728
1.03_125        -0.555         0.453        -0.116        -0.035        -1.004        -1.257
1.03_150        -0.257         0.054        -0.042        -0.004        -0.400        -0.648
1.03_200        -0.099         0.001        -0.009        -0.000        -0.090        -0.197
1.04_080       -10.157        22.991        -1.639        -2.225        -8.698         0.271
1.04_085        -7.129        15.949        -1.066        -1.660        -7.045        -0.951
1.04_090        -5.022        11.010        -0.728        -1.185        -5.725        -1.651
1.04_095        -3.560         7.568        -0.517        -0.822        -4.665        -1.996
1.04_100        -2.544         5.183        -0.379        -0.560        -3.811        -2.110
