# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for HB300SPXx10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst         Exch          Ind        deltaHF        Disp           Total     
1.01_080        -6.021        12.405        -1.281        -1.464        -3.911        -0.271
1.01_085        -4.237         8.376        -0.930        -1.007        -3.072        -0.870
1.01_090        -3.016         5.633        -0.696        -0.676        -2.423        -1.178
1.01_095        -2.176         3.772        -0.531        -0.446        -1.918        -1.299
1.01_100        -1.597         2.516        -0.411        -0.291        -1.523        -1.306
1.01_105        -1.195         1.674        -0.321        -0.188        -1.214        -1.244
1.01_110        -0.913         1.111        -0.253        -0.121        -0.971        -1.147
1.01_125        -0.463         0.320        -0.129        -0.031        -0.508        -0.811
1.01_150        -0.213         0.039        -0.047        -0.003        -0.188        -0.412
1.01_200        -0.081         0.001        -0.009        -0.000        -0.037        -0.127
1.02_080        -7.703        17.597        -1.345        -1.654        -7.036        -0.140
1.02_085        -5.304        11.784        -0.919        -1.163        -5.568        -1.170
1.02_090        -3.684         7.852        -0.655        -0.789        -4.421        -1.698
1.02_095        -2.588         5.208        -0.481        -0.524        -3.521        -1.906
1.02_100        -1.846         3.441        -0.361        -0.342        -2.813        -1.921
1.02_105        -1.341         2.266        -0.276        -0.221        -2.254        -1.825
1.02_110        -0.994         1.487        -0.213        -0.142        -1.812        -1.673
1.02_125        -0.467         0.414        -0.104        -0.037        -0.962        -1.155
1.02_150        -0.203         0.047        -0.036        -0.004        -0.365        -0.560
1.02_200        -0.075         0.001        -0.007        -0.000        -0.075        -0.156
1.03_080        -7.796        17.556        -1.400        -1.652        -6.670         0.037
1.03_085        -5.455        11.790        -0.967        -1.152        -5.312        -1.096
1.03_090        -3.864         7.882        -0.695        -0.777        -4.247        -1.700
1.03_095        -2.779         5.248        -0.514        -0.512        -3.408        -1.965
1.03_100        -2.036         3.483        -0.388        -0.333        -2.744        -2.018
1.03_105        -1.523         2.304        -0.297        -0.214        -2.217        -1.948
1.03_110        -1.165         1.520        -0.231        -0.137        -1.797        -1.810
1.03_125        -0.599         0.430        -0.114        -0.035        -0.981        -1.298
1.03_150        -0.282         0.051        -0.041        -0.004        -0.391        -0.667
1.03_200        -0.108         0.001        -0.008        -0.000        -0.089        -0.204
1.04_080       -10.025        21.983        -1.639        -2.225        -8.550        -0.457
1.04_085        -7.065        15.221        -1.076        -1.660        -6.918        -1.498
1.04_090        -5.005        10.489        -0.741        -1.185        -5.616        -2.058
1.04_095        -3.573         7.198        -0.530        -0.822        -4.572        -2.299
1.04_100        -2.577         4.922        -0.390        -0.560        -3.732        -2.337
1.04_105        -1.882         3.355        -0.293        -0.377        -3.054        -2.250
1.04_110        -1.395         2.281        -0.223        -0.251        -2.505        -2.094
1.04_125        -0.633         0.707        -0.105        -0.072        -1.408        -1.511
1.04_150        -0.246         0.097        -0.034        -0.009        -0.578        -0.769
1.04_200        -0.080         0.002        -0.005        -0.000        -0.131        -0.214
1.05_080       -15.257        27.535        -3.619        -3.645        -6.814        -1.799
1.05_085       -11.584        19.820        -2.546        -2.813        -5.516        -2.639
1.05_090        -8.864        14.204        -1.855        -2.092        -4.485        -3.092
1.05_095        -6.847        10.141        -1.391        -1.518        -3.661        -3.276
1.05_100        -5.349         7.217        -1.066        -1.083        -2.997        -3.278
1.05_105        -4.231         5.121        -0.829        -0.764        -2.461        -3.164
1.05_110        -3.390         3.625        -0.653        -0.535        -2.026        -2.979
1.05_125        -1.892         1.267        -0.335        -0.178        -1.147        -2.285
1.05_150        -0.909         0.213        -0.124        -0.028        -0.469        -1.318
1.05_200        -0.347         0.006        -0.025        -0.001        -0.101        -0.467
1.06_080       -18.926        35.620        -4.398        -4.290       -10.243        -2.237
1.06_085       -14.348        25.894        -3.021        -3.428        -8.408        -3.311
1.06_090       -10.938        18.743        -2.153        -2.619        -6.929        -3.895
1.06_095        -8.400        13.518        -1.583        -1.943        -5.729        -4.138
1.06_100        -6.509         9.719        -1.195        -1.414        -4.751        -4.149
1.06_105        -5.095         6.970        -0.920        -1.015        -3.949        -4.010
1.06_110        -4.035         4.987        -0.719        -0.722        -3.291        -3.781
1.06_125        -2.159         1.804        -0.364        -0.252        -1.931        -2.902
1.06_150        -0.971         0.323        -0.133        -0.042        -0.834        -1.658
1.06_200        -0.348         0.010        -0.025        -0.002        -0.195        -0.561
1.07_080       -17.557        33.238        -3.618        -3.579       -10.417        -1.932
1.07_085       -13.233        23.905        -2.466        -2.796        -8.619        -3.210
1.07_090       -10.047        17.118        -1.750        -2.089        -7.160        -3.928
1.07_095        -7.699        12.215        -1.286        -1.517        -5.968        -4.255
1.07_100        -5.964         8.689        -0.972        -1.081        -4.988        -4.315
1.07_105        -4.677         6.165        -0.750        -0.761        -4.180        -4.202
1.07_110        -3.717         4.364        -0.588        -0.531        -3.510        -3.982
1.07_125        -2.032         1.531        -0.303        -0.176        -2.107        -3.088
1.07_150        -0.964         0.259        -0.116        -0.028        -0.946        -1.795
1.07_200        -0.379         0.007        -0.025        -0.001        -0.239        -0.638
1.08_080       -24.356        45.640        -6.345        -5.483       -12.622        -3.166
1.08_085       -18.665        34.017        -4.244        -4.724       -10.523        -4.139
1.08_090       -14.338        25.239        -2.936        -3.823        -8.811        -4.669
1.08_095       -11.060        18.657        -2.098        -2.977        -7.405        -4.884
1.08_100        -8.580        13.752        -1.545        -2.260        -6.244        -4.877
1.08_105        -6.702        10.111        -1.166        -1.687        -5.279        -4.723
1.08_110        -5.277         7.418        -0.898        -1.243        -4.474        -4.475
1.08_125        -2.727         2.903        -0.445        -0.478        -2.760        -3.507
1.08_150        -1.120         0.596        -0.160        -0.093        -1.285        -2.062
1.08_200        -0.349         0.024        -0.028        -0.004        -0.337        -0.694
1.09_080       -18.081        31.903        -4.612        -4.351        -7.207        -2.349
1.09_085       -13.980        23.249        -3.231        -3.441        -5.835        -3.238
1.09_090       -10.890        16.862        -2.340        -2.614        -4.744        -3.726
1.09_095        -8.561        12.180        -1.741        -1.934        -3.871        -3.928
1.09_100        -6.802         8.767        -1.324        -1.406        -3.170        -3.934
1.09_105        -5.467         6.293        -1.024        -1.009        -2.602        -3.810
1.09_110        -4.447         4.504        -0.802        -0.718        -2.142        -3.605
1.09_125        -2.575         1.628        -0.406        -0.251        -1.210        -2.815
1.09_150        -1.278         0.289        -0.148        -0.043        -0.490        -1.669
1.09_200        -0.489         0.008        -0.028        -0.002        -0.101        -0.611
1.10_080       -22.477        40.571        -6.193        -5.329        -9.683        -3.111
1.10_085       -17.453        30.075        -4.263        -4.435        -7.950        -4.026
1.10_090       -13.622        22.183        -3.031        -3.503        -6.555        -4.529
1.10_095       -10.707        16.295        -2.219        -2.678        -5.425        -4.734
1.10_100        -8.486        11.929        -1.666        -2.002        -4.504        -4.729
1.10_105        -6.790         8.707        -1.276        -1.474        -3.750        -4.584
1.10_110        -5.491         6.339        -0.993        -1.074        -3.130        -4.348
1.10_125        -3.102         2.416        -0.499        -0.400        -1.843        -3.427
1.10_150        -1.472         0.470        -0.180        -0.074        -0.795        -2.051
1.10_200        -0.535         0.017        -0.033        -0.003        -0.182        -0.736
1.11_080       -11.820        23.776        -2.477        -3.099        -7.375        -0.995
1.11_085        -8.848        16.712        -1.652        -2.294        -5.981        -2.063
1.11_090        -6.687        11.696        -1.139        -1.647        -4.873        -2.650
1.11_095        -5.111         8.155        -0.808        -1.158        -3.986        -2.908
1.11_100        -3.959         5.668        -0.586        -0.804        -3.272        -2.952
1.11_105        -3.110         3.929        -0.433        -0.552        -2.694        -2.861
1.11_110        -2.481         2.716        -0.325        -0.378        -2.224        -2.691
1.11_125        -1.378         0.887        -0.147        -0.119        -1.273        -2.029
1.11_150        -0.659         0.134        -0.047        -0.018        -0.535        -1.125
1.11_200        -0.240         0.003        -0.008        -0.001        -0.124        -0.370
1.12_080       -12.767        23.316        -2.386        -2.272        -8.112        -2.221
1.12_085        -9.851        16.565        -1.725        -1.740        -6.661        -3.412
1.12_090        -7.716        11.759        -1.296        -1.287        -5.486        -4.027
1.12_095        -6.139         8.341        -1.001        -0.933        -4.529        -4.261
1.12_100        -4.961         5.914        -0.789        -0.668        -3.746        -4.251
1.12_105        -4.073         4.193        -0.631        -0.475        -3.105        -4.090
1.12_110        -3.393         2.973        -0.510        -0.336        -2.578        -3.844
1.12_125        -2.116         1.058        -0.279        -0.119        -1.493        -2.950
1.12_150        -1.147         0.187        -0.112        -0.022        -0.631        -1.725
1.12_200        -0.455         0.005        -0.024        -0.001        -0.141        -0.615
1.13_080       -21.237        38.621        -5.683        -4.833        -9.378        -2.509
1.13_085       -16.460        28.448        -3.902        -3.944        -7.718        -3.576
1.13_090       -12.835        20.855        -2.769        -3.063        -6.384        -4.196
1.13_095       -10.087        15.229        -2.025        -2.305        -5.302        -4.490
1.13_100        -8.002        11.086        -1.520        -1.699        -4.420        -4.554
1.13_105        -6.416         8.049        -1.164        -1.234        -3.696        -4.460
1.13_110        -5.202         5.831        -0.907        -0.887        -3.099        -4.265
1.13_125        -2.978         2.194        -0.460        -0.320        -1.853        -3.417
1.13_150        -1.454         0.420        -0.171        -0.057        -0.825        -2.088
1.13_200        -0.555         0.015        -0.034        -0.003        -0.203        -0.781
1.14_080       -28.984        52.798        -8.886        -6.706       -12.470        -4.249
1.14_085       -22.692        40.050        -6.012        -6.008       -10.397        -5.059
1.14_090       -17.802        30.225        -4.181        -5.017        -8.709        -5.485
1.14_095       -14.019        22.715        -2.991        -4.015        -7.324        -5.634
1.14_100       -11.097        17.013        -2.197        -3.125        -6.181        -5.587
1.14_105        -8.841        12.706        -1.652        -2.386        -5.231        -5.404
1.14_110        -7.096         9.467        -1.267        -1.798        -4.438        -5.131
1.14_125        -3.864         3.875        -0.621        -0.733        -2.744        -4.087
1.14_150        -1.687         0.855        -0.221        -0.155        -1.276        -2.484
1.14_200        -0.541         0.040        -0.038        -0.008        -0.326        -0.873
1.15_080       -40.145        69.217       -18.348       -10.660        -9.719        -9.655
1.15_085       -34.670        53.368       -13.788        -8.839        -8.125       -12.054
1.15_090       -29.892        41.079       -10.542        -7.159        -6.813       -13.327
1.15_095       -25.783        31.561        -8.188        -5.706        -5.728       -13.844
1.15_100       -22.286        24.214        -6.452        -4.497        -4.826       -13.847
1.15_105       -19.323        18.554        -5.148        -3.516        -4.074       -13.507
1.15_110       -16.818        14.200        -4.151        -2.734        -3.445       -12.948
1.15_125       -11.383         6.327        -2.281        -1.262        -2.102       -10.701
1.15_150        -6.475         1.621        -0.922        -0.343        -0.946        -7.066
1.15_200        -2.684         0.102        -0.184        -0.028        -0.213        -3.007
1.16_080       -44.664        78.242       -21.605       -12.199       -11.090       -11.316
1.16_085       -38.722        60.920       -16.305       -10.320        -9.346       -13.773
1.16_090       -33.478        47.349       -12.511        -8.510        -7.900       -15.049
1.16_095       -28.932        36.747        -9.749        -6.896        -6.695       -15.526
1.16_100       -25.034        28.482        -7.705        -5.521        -5.687       -15.465
1.16_105       -21.713        22.051        -6.166        -4.382        -4.841       -15.050
1.16_110       -18.892        17.058        -4.988        -3.456        -4.128       -14.407
1.16_125       -12.738         7.867        -2.775        -1.661        -2.585       -11.893
1.16_150        -7.167         2.147        -1.156        -0.481        -1.216        -7.873
1.16_200        -2.901         0.157        -0.244        -0.043        -0.298        -3.329
1.17_080       -22.953        48.659       -12.720        -7.948        -8.425        -3.387
1.17_085       -19.325        36.362        -9.473        -6.280        -6.994        -5.710
1.17_090       -16.258        27.110        -7.182        -4.867        -5.823        -7.021
1.17_095       -13.701        20.173        -5.532        -3.723        -4.861        -7.645
1.17_100       -11.588        14.984        -4.318        -2.823        -4.068        -7.813
1.17_105        -9.847        11.114        -3.410        -2.128        -3.411        -7.682
1.17_110        -8.415         8.233        -2.719        -1.598        -2.867        -7.365
1.17_125        -5.440         3.319        -1.441        -0.671        -1.720        -5.953
1.17_150        -2.946         0.727        -0.557        -0.160        -0.768        -3.704
1.17_200        -1.150         0.033        -0.112        -0.011        -0.182        -1.422
1.18_080       -24.265        44.830       -11.365        -6.636        -7.365        -4.801
1.18_085       -20.791        33.225        -8.448        -5.119        -6.053        -7.186
1.18_090       -17.852        24.557        -6.397        -3.879        -4.991        -8.562
1.18_095       -15.397        18.105        -4.923        -2.903        -4.128        -9.246
1.18_100       -13.358        13.319        -3.841        -2.155        -3.423        -9.459
1.18_105       -11.667         9.781        -3.033        -1.592        -2.846        -9.356
1.18_110       -10.261         7.171        -2.420        -1.172        -2.371        -9.052
1.18_125        -7.268         2.799        -1.289        -0.465        -1.389        -7.611
1.18_150        -4.557         0.571        -0.509        -0.104        -0.596        -5.194
1.18_200        -2.260         0.022        -0.112        -0.007        -0.135        -2.492
1.19_080       -24.648        51.846       -12.994        -8.052        -9.399        -3.247
1.19_085       -20.432        38.985        -9.706        -6.439        -7.884        -5.476
1.19_090       -16.908        29.259        -7.386        -5.047        -6.632        -6.713
1.19_095       -13.998        21.923        -5.713        -3.901        -5.592        -7.281
1.19_100       -11.613        16.406        -4.482        -2.987        -4.726        -7.402
1.19_105        -9.663        12.263        -3.558        -2.273        -4.002        -7.232
