# This file contains the metadata for categorization of the systems in the data set.
# The second column is the name of the group the complex belongs to (groups by elements involved in the HB)
# The third column provides additional tags, including assignment of the systems into the smaller subsets obtained by clustering.
system	group	tags
1.01_080	XH-N	"PH-N,scaling0.80,cluster050,cluster100,cluster200"
1.01_085	XH-N	"PH-N,scaling0.85,cluster050,cluster100,cluster200"
1.01_090	XH-N	"PH-N,scaling0.90,cluster050,cluster100,cluster200"
1.01_095	XH-N	"PH-N,scaling0.95,cluster050,cluster100,cluster200"
1.01_100	XH-N	"PH-N,scaling1.00,minimum,cluster050,cluster100,cluster200"
1.01_105	XH-N	"PH-N,scaling1.05,cluster050,cluster100,cluster200"
1.01_110	XH-N	"PH-N,scaling1.10,cluster050,cluster100,cluster200"
1.01_125	XH-N	"PH-N,scaling1.25,cluster050,cluster100,cluster200"
1.01_150	XH-N	"PH-N,scaling1.50,cluster050,cluster100,cluster200"
1.01_200	XH-N	"PH-N,scaling2.00,cluster050,cluster100,cluster200"
1.02_080	XH-N	"PH-N,scaling0.80,cluster200"
1.02_085	XH-N	"PH-N,scaling0.85,cluster200"
1.02_090	XH-N	"PH-N,scaling0.90,cluster200"
1.02_095	XH-N	"PH-N,scaling0.95,cluster200"
1.02_100	XH-N	"PH-N,scaling1.00,minimum,cluster200"
1.02_105	XH-N	"PH-N,scaling1.05,cluster200"
1.02_110	XH-N	"PH-N,scaling1.10,cluster200"
1.02_125	XH-N	"PH-N,scaling1.25,cluster200"
1.02_150	XH-N	"PH-N,scaling1.50,cluster200"
1.02_200	XH-N	"PH-N,scaling2.00,cluster200"
1.03_080	XH-N	"PH-N,scaling0.80,cluster200"
1.03_085	XH-N	"PH-N,scaling0.85,cluster200"
1.03_090	XH-N	"PH-N,scaling0.90,cluster200"
1.03_095	XH-N	"PH-N,scaling0.95,cluster200"
1.03_100	XH-N	"PH-N,scaling1.00,minimum,cluster200"
1.03_105	XH-N	"PH-N,scaling1.05,cluster200"
1.03_110	XH-N	"PH-N,scaling1.10,cluster200"
1.03_125	XH-N	"PH-N,scaling1.25,cluster200"
1.03_150	XH-N	"PH-N,scaling1.50,cluster200"
1.03_200	XH-N	"PH-N,scaling2.00,cluster200"
1.04_080	XH-N	"PH-N,scaling0.80,cluster020,cluster050,cluster100"
1.04_085	XH-N	"PH-N,scaling0.85,cluster020,cluster050,cluster100"
1.04_090	XH-N	"PH-N,scaling0.90,cluster020,cluster050,cluster100"
1.04_095	XH-N	"PH-N,scaling0.95,cluster020,cluster050,cluster100"
1.04_100	XH-N	"PH-N,scaling1.00,minimum,cluster020,cluster050,cluster100"
1.04_105	XH-N	"PH-N,scaling1.05,cluster020,cluster050,cluster100"
1.04_110	XH-N	"PH-N,scaling1.10,cluster020,cluster050,cluster100"
1.04_125	XH-N	"PH-N,scaling1.25,cluster020,cluster050,cluster100"
1.04_150	XH-N	"PH-N,scaling1.50,cluster020,cluster050,cluster100"
1.04_200	XH-N	"PH-N,scaling2.00,cluster020,cluster050,cluster100"
1.05_080	XH-N	"SH-N,scaling0.80,cluster200"
1.05_085	XH-N	"SH-N,scaling0.85,cluster200"
1.05_090	XH-N	"SH-N,scaling0.90,cluster200"
1.05_095	XH-N	"SH-N,scaling0.95,cluster200"
1.05_100	XH-N	"SH-N,scaling1.00,minimum,cluster200"
1.05_105	XH-N	"SH-N,scaling1.05,cluster200"
1.05_110	XH-N	"SH-N,scaling1.10,cluster200"
1.05_125	XH-N	"SH-N,scaling1.25,cluster200"
1.05_150	XH-N	"SH-N,scaling1.50,cluster200"
1.05_200	XH-N	"SH-N,scaling2.00,cluster200"
1.06_080	XH-N	"SH-N,scaling0.80,cluster050,cluster100,cluster200"
1.06_085	XH-N	"SH-N,scaling0.85,cluster050,cluster100,cluster200"
1.06_090	XH-N	"SH-N,scaling0.90,cluster050,cluster100,cluster200"
1.06_095	XH-N	"SH-N,scaling0.95,cluster050,cluster100,cluster200"
1.06_100	XH-N	"SH-N,scaling1.00,minimum,cluster050,cluster100,cluster200"
1.06_105	XH-N	"SH-N,scaling1.05,cluster050,cluster100,cluster200"
1.06_110	XH-N	"SH-N,scaling1.10,cluster050,cluster100,cluster200"
1.06_125	XH-N	"SH-N,scaling1.25,cluster050,cluster100,cluster200"
1.06_150	XH-N	"SH-N,scaling1.50,cluster050,cluster100,cluster200"
1.06_200	XH-N	"SH-N,scaling2.00,cluster050,cluster100,cluster200"
1.07_080	XH-N	"SH-N,scaling0.80,cluster100,cluster200"
1.07_085	XH-N	"SH-N,scaling0.85,cluster100,cluster200"
1.07_090	XH-N	"SH-N,scaling0.90,cluster100,cluster200"
1.07_095	XH-N	"SH-N,scaling0.95,cluster100,cluster200"
1.07_100	XH-N	"SH-N,scaling1.00,minimum,cluster100,cluster200"
1.07_105	XH-N	"SH-N,scaling1.05,cluster100,cluster200"
1.07_110	XH-N	"SH-N,scaling1.10,cluster100,cluster200"
1.07_125	XH-N	"SH-N,scaling1.25,cluster100,cluster200"
1.07_150	XH-N	"SH-N,scaling1.50,cluster100,cluster200"
1.07_200	XH-N	"SH-N,scaling2.00,cluster100,cluster200"
1.08_080	XH-N	"SH-N,scaling0.80,cluster200"
1.08_085	XH-N	"SH-N,scaling0.85,cluster200"
1.08_090	XH-N	"SH-N,scaling0.90,cluster200"
1.08_095	XH-N	"SH-N,scaling0.95,cluster200"
1.08_100	XH-N	"SH-N,scaling1.00,minimum,cluster200"
1.08_105	XH-N	"SH-N,scaling1.05,cluster200"
1.08_110	XH-N	"SH-N,scaling1.10,cluster200"
1.08_125	XH-N	"SH-N,scaling1.25,cluster200"
1.08_150	XH-N	"SH-N,scaling1.50,cluster200"
1.08_200	XH-N	"SH-N,scaling2.00,cluster200"
1.09_080	XH-N	"SH-N,scaling0.80"
1.09_085	XH-N	"SH-N,scaling0.85"
1.09_090	XH-N	"SH-N,scaling0.90"
1.09_095	XH-N	"SH-N,scaling0.95"
1.09_100	XH-N	"SH-N,scaling1.00,minimum"
1.09_105	XH-N	"SH-N,scaling1.05"
1.09_110	XH-N	"SH-N,scaling1.10"
1.09_125	XH-N	"SH-N,scaling1.25"
1.09_150	XH-N	"SH-N,scaling1.50"
1.09_200	XH-N	"SH-N,scaling2.00"
1.10_080	XH-N	"SH-N,scaling0.80"
1.10_085	XH-N	"SH-N,scaling0.85"
1.10_090	XH-N	"SH-N,scaling0.90"
1.10_095	XH-N	"SH-N,scaling0.95"
1.10_100	XH-N	"SH-N,scaling1.00,minimum"
1.10_105	XH-N	"SH-N,scaling1.05"
1.10_110	XH-N	"SH-N,scaling1.10"
1.10_125	XH-N	"SH-N,scaling1.25"
1.10_150	XH-N	"SH-N,scaling1.50"
1.10_200	XH-N	"SH-N,scaling2.00"
1.11_080	XH-N	"SH-N,scaling0.80,cluster100,cluster200"
1.11_085	XH-N	"SH-N,scaling0.85,cluster100,cluster200"
1.11_090	XH-N	"SH-N,scaling0.90,cluster100,cluster200"
1.11_095	XH-N	"SH-N,scaling0.95,cluster100,cluster200"
1.11_100	XH-N	"SH-N,scaling1.00,minimum,cluster100,cluster200"
1.11_105	XH-N	"SH-N,scaling1.05,cluster100,cluster200"
1.11_110	XH-N	"SH-N,scaling1.10,cluster100,cluster200"
1.11_125	XH-N	"SH-N,scaling1.25,cluster100,cluster200"
1.11_150	XH-N	"SH-N,scaling1.50,cluster100,cluster200"
1.11_200	XH-N	"SH-N,scaling2.00,cluster100,cluster200"
1.12_080	XH-N	"SH-N,scaling0.80"
1.12_085	XH-N	"SH-N,scaling0.85"
1.12_090	XH-N	"SH-N,scaling0.90"
1.12_095	XH-N	"SH-N,scaling0.95"
1.12_100	XH-N	"SH-N,scaling1.00,minimum"
1.12_105	XH-N	"SH-N,scaling1.05"
1.12_110	XH-N	"SH-N,scaling1.10"
1.12_125	XH-N	"SH-N,scaling1.25"
1.12_150	XH-N	"SH-N,scaling1.50"
1.12_200	XH-N	"SH-N,scaling2.00"
1.13_080	XH-N	"SH-N,scaling0.80,cluster200"
1.13_085	XH-N	"SH-N,scaling0.85,cluster200"
1.13_090	XH-N	"SH-N,scaling0.90,cluster200"
1.13_095	XH-N	"SH-N,scaling0.95,cluster200"
1.13_100	XH-N	"SH-N,scaling1.00,minimum,cluster200"
1.13_105	XH-N	"SH-N,scaling1.05,cluster200"
1.13_110	XH-N	"SH-N,scaling1.10,cluster200"
1.13_125	XH-N	"SH-N,scaling1.25,cluster200"
1.13_150	XH-N	"SH-N,scaling1.50,cluster200"
1.13_200	XH-N	"SH-N,scaling2.00,cluster200"
1.14_080	XH-N	"SH-N,scaling0.80"
1.14_085	XH-N	"SH-N,scaling0.85"
1.14_090	XH-N	"SH-N,scaling0.90"
1.14_095	XH-N	"SH-N,scaling0.95"
1.14_100	XH-N	"SH-N,scaling1.00,minimum"
1.14_105	XH-N	"SH-N,scaling1.05"
1.14_110	XH-N	"SH-N,scaling1.10"
1.14_125	XH-N	"SH-N,scaling1.25"
1.14_150	XH-N	"SH-N,scaling1.50"
1.14_200	XH-N	"SH-N,scaling2.00"
1.15_080	XH-N	"FH-N,scaling0.80"
1.15_085	XH-N	"FH-N,scaling0.85"
1.15_090	XH-N	"FH-N,scaling0.90"
1.15_095	XH-N	"FH-N,scaling0.95"
1.15_100	XH-N	"FH-N,scaling1.00,minimum"
1.15_105	XH-N	"FH-N,scaling1.05"
1.15_110	XH-N	"FH-N,scaling1.10"
1.15_125	XH-N	"FH-N,scaling1.25"
1.15_150	XH-N	"FH-N,scaling1.50"
1.15_200	XH-N	"FH-N,scaling2.00"
1.16_080	XH-N	"FH-N,scaling0.80,cluster200"
1.16_085	XH-N	"FH-N,scaling0.85,cluster200"
1.16_090	XH-N	"FH-N,scaling0.90,cluster200"
1.16_095	XH-N	"FH-N,scaling0.95,cluster200"
1.16_100	XH-N	"FH-N,scaling1.00,minimum,cluster200"
1.16_105	XH-N	"FH-N,scaling1.05,cluster200"
1.16_110	XH-N	"FH-N,scaling1.10,cluster200"
1.16_125	XH-N	"FH-N,scaling1.25,cluster200"
1.16_150	XH-N	"FH-N,scaling1.50,cluster200"
1.16_200	XH-N	"FH-N,scaling2.00,cluster200"
1.17_080	XH-N	"FH-N,scaling0.80,cluster200"
1.17_085	XH-N	"FH-N,scaling0.85,cluster200"
1.17_090	XH-N	"FH-N,scaling0.90,cluster200"
1.17_095	XH-N	"FH-N,scaling0.95,cluster200"
1.17_100	XH-N	"FH-N,scaling1.00,minimum,cluster200"
1.17_105	XH-N	"FH-N,scaling1.05,cluster200"
1.17_110	XH-N	"FH-N,scaling1.10,cluster200"
1.17_125	XH-N	"FH-N,scaling1.25,cluster200"
1.17_150	XH-N	"FH-N,scaling1.50,cluster200"
1.17_200	XH-N	"FH-N,scaling2.00,cluster200"
1.18_080	XH-N	"FH-N,scaling0.80"
1.18_085	XH-N	"FH-N,scaling0.85"
1.18_090	XH-N	"FH-N,scaling0.90"
1.18_095	XH-N	"FH-N,scaling0.95"
1.18_100	XH-N	"FH-N,scaling1.00,minimum"
1.18_105	XH-N	"FH-N,scaling1.05"
1.18_110	XH-N	"FH-N,scaling1.10"
1.18_125	XH-N	"FH-N,scaling1.25"
1.18_150	XH-N	"FH-N,scaling1.50"
1.18_200	XH-N	"FH-N,scaling2.00"
1.19_080	XH-N	"FH-N,scaling0.80"
1.19_085	XH-N	"FH-N,scaling0.85"
1.19_090	XH-N	"FH-N,scaling0.90"
1.19_095	XH-N	"FH-N,scaling0.95"
1.19_100	XH-N	"FH-N,scaling1.00,minimum"
1.19_105	XH-N	"FH-N,scaling1.05"
1.19_110	XH-N	"FH-N,scaling1.10"
1.19_125	XH-N	"FH-N,scaling1.25"
1.19_150	XH-N	"FH-N,scaling1.50"
1.19_200	XH-N	"FH-N,scaling2.00"
1.20_080	XH-N	"FH-N,scaling0.80"
1.20_085	XH-N	"FH-N,scaling0.85"
1.20_090	XH-N	"FH-N,scaling0.90"
1.20_095	XH-N	"FH-N,scaling0.95"
1.20_100	XH-N	"FH-N,scaling1.00,minimum"
1.20_105	XH-N	"FH-N,scaling1.05"
1.20_110	XH-N	"FH-N,scaling1.10"
1.20_125	XH-N	"FH-N,scaling1.25"
1.20_150	XH-N	"FH-N,scaling1.50"
1.20_200	XH-N	"FH-N,scaling2.00"
1.21_080	XH-N	"FH-N,scaling0.80"
1.21_085	XH-N	"FH-N,scaling0.85"
1.21_090	XH-N	"FH-N,scaling0.90"
1.21_095	XH-N	"FH-N,scaling0.95"
1.21_100	XH-N	"FH-N,scaling1.00,minimum"
1.21_105	XH-N	"FH-N,scaling1.05"
1.21_110	XH-N	"FH-N,scaling1.10"
1.21_125	XH-N	"FH-N,scaling1.25"
1.21_150	XH-N	"FH-N,scaling1.50"
1.21_200	XH-N	"FH-N,scaling2.00"
1.22_080	XH-N	"ClH-N,scaling0.80,cluster050,cluster100,cluster200"
1.22_085	XH-N	"ClH-N,scaling0.85,cluster050,cluster100,cluster200"
1.22_090	XH-N	"ClH-N,scaling0.90,cluster050,cluster100,cluster200"
1.22_095	XH-N	"ClH-N,scaling0.95,cluster050,cluster100,cluster200"
1.22_100	XH-N	"ClH-N,scaling1.00,minimum,cluster050,cluster100,cluster200"
1.22_105	XH-N	"ClH-N,scaling1.05,cluster050,cluster100,cluster200"
1.22_110	XH-N	"ClH-N,scaling1.10,cluster050,cluster100,cluster200"
1.22_125	XH-N	"ClH-N,scaling1.25,cluster050,cluster100,cluster200"
1.22_150	XH-N	"ClH-N,scaling1.50,cluster050,cluster100,cluster200"
1.22_200	XH-N	"ClH-N,scaling2.00,cluster050,cluster100,cluster200"
1.23_080	XH-N	"ClH-N,scaling0.80,cluster200"
1.23_085	XH-N	"ClH-N,scaling0.85,cluster200"
1.23_090	XH-N	"ClH-N,scaling0.90,cluster200"
1.23_095	XH-N	"ClH-N,scaling0.95,cluster200"
1.23_100	XH-N	"ClH-N,scaling1.00,minimum,cluster200"
1.23_105	XH-N	"ClH-N,scaling1.05,cluster200"
1.23_110	XH-N	"ClH-N,scaling1.10,cluster200"
1.23_125	XH-N	"ClH-N,scaling1.25,cluster200"
1.23_150	XH-N	"ClH-N,scaling1.50,cluster200"
1.23_200	XH-N	"ClH-N,scaling2.00,cluster200"
1.24_080	XH-N	"ClH-N,scaling0.80,cluster100,cluster200"
1.24_085	XH-N	"ClH-N,scaling0.85,cluster100,cluster200"
1.24_090	XH-N	"ClH-N,scaling0.90,cluster100,cluster200"
1.24_095	XH-N	"ClH-N,scaling0.95,cluster100,cluster200"
1.24_100	XH-N	"ClH-N,scaling1.00,minimum,cluster100,cluster200"
1.24_105	XH-N	"ClH-N,scaling1.05,cluster100,cluster200"
1.24_110	XH-N	"ClH-N,scaling1.10,cluster100,cluster200"
1.24_125	XH-N	"ClH-N,scaling1.25,cluster100,cluster200"
1.24_150	XH-N	"ClH-N,scaling1.50,cluster100,cluster200"
1.24_200	XH-N	"ClH-N,scaling2.00,cluster100,cluster200"
1.25_080	XH-N	"ClH-N,scaling0.80,cluster200"
1.25_085	XH-N	"ClH-N,scaling0.85,cluster200"
1.25_090	XH-N	"ClH-N,scaling0.90,cluster200"
1.25_095	XH-N	"ClH-N,scaling0.95,cluster200"
1.25_100	XH-N	"ClH-N,scaling1.00,minimum,cluster200"
1.25_105	XH-N	"ClH-N,scaling1.05,cluster200"
1.25_110	XH-N	"ClH-N,scaling1.10,cluster200"
