# SAPT0 interaction energy decomposition
# Equilibrium geometries only - the HB375 data set, not HB375x10
# Individual components and total interaction energy, in kcal/mol
system  SAPT0_elst      SAPT0_exch      SAPT0_ind       SAPT0_disp      SAPT0_interaction_energy
1.001_100	-18.037    17.152    -7.116    -3.833    -11.833    
1.002_100	-32.975    33.204    -14.912    -6.098    -20.781    
1.003_100	-17.602    16.884    -6.822    -3.981    -11.522    
1.004_100	-18.668    17.539    -6.745    -5.350    -13.225    
1.005_100	-17.355    18.335    -7.093    -4.648    -10.761    
1.006_100	-13.807    13.441    -5.037    -3.572    -8.976    
1.007_100	-11.253    10.409    -3.700    -3.330    -7.874    
1.008_100	-23.780    24.541    -8.390    -4.546    -12.175    
1.009_100	-17.794    17.209    -6.888    -4.150    -11.623    
1.010_100	-9.602    8.620    -2.833    -2.879    -6.693    
1.011_100	-13.822    11.840    -4.498    -3.990    -10.470    
1.012_100	-11.247    10.992    -3.892    -2.985    -7.132    
1.013_100	-22.067    21.672    -9.352    -4.850    -14.597    
1.014_100	-22.377    22.432    -7.501    -3.849    -11.294    
1.015_100	-10.987    9.968    -3.102    -2.619    -6.740    
1.016_100	-13.288    12.430    -4.078    -3.176    -8.111    
1.017_100	-11.135    10.100    -3.083    -2.678    -6.796    
1.018_100	-11.912    10.992    -3.527    -2.829    -7.276    
1.019_100	-11.274    9.581    -3.038    -2.823    -7.553    
1.020_100	-9.654    9.505    -2.983    -2.768    -5.900    
1.021_100	-8.184    8.329    -2.259    -3.017    -5.130    
1.022_100	-4.994    5.196    -1.218    -2.867    -3.883    
1.023_100	-10.001    9.036    -2.841    -2.090    -5.896    
1.024_100	-10.668    9.228    -2.952    -2.769    -7.162    
1.025_100	-10.334    8.812    -2.454    -2.620    -6.596    
1.026_100	-8.003    7.526    -2.044    -2.172    -4.693    
1.027_100	-13.230    11.649    -4.086    -3.188    -8.855    
1.028_100	-7.639    7.576    -1.957    -3.043    -5.064    
1.029_100	-8.928    7.657    -2.308    -1.510    -5.088    
1.030_100	-12.882    12.604    -4.091    -4.332    -8.702    
1.031_100	-21.553    21.021    -7.462    -5.224    -13.219    
1.032_100	-14.705    14.647    -4.885    -5.010    -9.953    
1.033_100	-12.302    13.461    -3.723    -7.256    -9.821    
1.034_100	-13.745    13.223    -4.694    -3.980    -9.196    
1.035_100	-11.255    11.859    -3.636    -4.581    -7.615    
1.036_100	-7.391    8.044    -2.399    -4.368    -6.113    
1.037_100	-13.002    12.139    -4.127    -3.486    -8.476    
1.038_100	-13.278    12.657    -4.233    -4.761    -9.615    
1.039_100	-11.307    11.288    -3.263    -4.756    -8.039    
1.040_100	-8.641    9.162    -2.448    -3.804    -5.731    
1.041_100	-17.197    16.696    -6.120    -5.648    -12.268    
1.042_100	-9.667    10.267    -3.111    -4.782    -7.292    
1.043_100	-11.354    9.659    -3.312    -2.152    -7.160    
1.044_100	-10.842    9.487    -2.980    -2.261    -6.596    
1.045_100	-13.577    11.771    -4.004    -2.650    -8.459    
1.046_100	-10.992    9.567    -2.968    -2.313    -6.706    
1.047_100	-11.770    10.424    -3.380    -2.439    -7.165    
1.048_100	-11.045    8.816    -2.827    -2.383    -7.439    
1.049_100	-10.452    9.457    -3.062    -2.163    -6.220    
1.050_100	-8.087    7.547    -2.197    -2.123    -4.860    
1.051_100	-5.790    4.949    -1.416    -1.645    -3.901    
1.052_100	-10.103    8.796    -2.768    -1.791    -5.865    
1.053_100	-10.544    8.683    -2.799    -2.356    -7.016    
1.054_100	-10.036    8.279    -2.345    -2.247    -6.348    
1.055_100	-7.804    7.118    -1.972    -1.860    -4.518    
1.056_100	-13.033    10.918    -3.817    -2.702    -8.634    
1.057_100	-7.695    6.906    -1.985    -1.994    -4.768    
1.058_100	-9.056    7.459    -2.240    -1.312    -5.149    
1.059_100	-36.806    39.674    -18.489    -6.810    -22.431    
1.060_100	-21.994    22.830    -7.767    -5.098    -12.029    
2.001_100	-9.125    7.990    -2.448    -2.701    -6.284    
2.002_100	-15.052    13.853    -4.360    -4.253    -9.812    
2.003_100	-9.926    9.069    -2.634    -3.273    -6.764    
2.004_100	-8.314    7.930    -1.717    -4.920    -7.020    
2.005_100	-10.091    8.796    -2.651    -3.639    -7.584    
2.006_100	-9.842    8.473    -2.932    -2.651    -6.952    
2.007_100	-7.831    7.305    -2.048    -3.437    -6.010    
2.008_100	-9.191    7.602    -2.505    -2.343    -6.436    
2.009_100	-10.421    9.528    -2.899    -3.339    -7.131    
2.010_100	-6.429    4.730    -1.540    -2.137    -5.376    
2.011_100	-12.523    11.159    -3.841    -4.055    -9.261    
2.012_100	-6.891    6.822    -1.794    -3.620    -5.483    
2.013_100	-8.075    6.189    -2.032    -1.547    -5.465    
2.014_100	-6.677    6.076    -1.485    -1.861    -3.947    
2.015_100	-8.130    7.395    -1.979    -2.212    -4.927    
2.016_100	-7.009    6.365    -1.543    -1.956    -4.142    
2.017_100	-6.968    6.439    -1.632    -1.985    -4.147    
2.018_100	-7.380    6.643    -1.663    -2.151    -4.552    
