# Interaction energies and their componets, in kcal/mol
# Prefix "corr_" denotes the correlation enegy term only
# Suffixes "_os" and "_ss" denote the other-spin and same-spin components of the correlation energy
"name"	"HF/aDZ"	"HF/aTZ"	"HF/haTZ"	"HF/aQZ"	"HF/a5Z"	"corr_MP2/aDZ"	"corr_MP2/aTZ"	"corr_MP2/haTZ"	"corr_MP2/aQZ"	"corr_MP2/a5Z"	"corr_MP2/CBS(aTQZ)"	"corr_MP2/CBS(aQ5Z)"	"corr_MP2_os/aDZ"	"corr_MP2_ss/aDZ"	"corr_MP2_os/aTZ"	"corr_MP2_ss/aTZ"	"corr_MP2_os/haTZ"	"corr_MP2_ss/haTZ"	"corr_MP2_os/aQZ"	"corr_MP2_ss/aQZ"	"corr_MP2_os/a5Z"	"corr_MP2_ss/a5Z"	"corr_MP2_os/CBS(aTQZ)"	"corr_MP2_ss/CBS(aTQZ)"	"corr_MP2_os/CBS(aQ5Z)"	"corr_MP2_ss/CBS(aQ5Z)"	"corr_CCSD(T)/aDZ"	"corr_CCSD/aDZ"	"corr_CCSD_os/aDZ"	"corr_CCSD_ss/aDZ"	"corr_CCSD(T)/haTZ"	"corr_CCSD/haTZ"	"corr_CCSD_os/haTZ"	"corr_CCSD_ss/haTZ"	"B3LYP/def2-QZVP"	"BLYP/def2-QZVP"	"BHLYP/def2-QZVP"	"BP/def2-QZVP"	"PBE/def2-QZVP"	"PBE0/def2-QZVP"	"TPSS/def2-QZVP"
1.001_aceticacid--acetaldehyde_0.80	0.476	0.073	0.083	-0.004	-0.022	-1.623	-3.285	-3.229	-3.941	-4.185	-4.420	-4.442	1.032	-2.656	-0.128	-3.158	-0.092	-3.137	-0.668	-3.273	-0.881	-3.304	-1.062	-3.358	-1.106	-3.336	-1.454	-0.799	2.639	-3.438	-3.356	-2.569	1.282	-3.851	-2.444	-0.364	-4.524	-2.385	-3.498	-4.621	-2.502
1.001_aceticacid--acetaldehyde_0.85	-3.429	-3.717	~~~	-3.781	~~~	-1.495	-2.869	~~~	-3.412	~~~	-3.808	~~~	0.809	-2.304	-0.142	-2.727	~~~	~~~	-0.589	-2.823	~~~	~~~	-0.915	-2.893	~~~	~~~	-1.436	-0.827	2.175	-3.002	~~~	~~~	~~~	~~~	-5.793	-3.980	-7.647	-5.567	-6.679	-7.594	-5.819
1.001_aceticacid--acetaldehyde_0.90	-5.900	-6.091	~~~	-6.147	~~~	-1.333	-2.470	~~~	-2.919	~~~	-3.247	~~~	0.651	-1.984	-0.130	-2.340	~~~	~~~	-0.499	-2.420	~~~	~~~	-0.769	-2.478	~~~	~~~	-1.363	-0.806	1.804	-2.610	~~~	~~~	~~~	~~~	-7.768	-6.188	-9.424	-7.401	-8.517	-9.255	-7.726
1.001_aceticacid--acetaldehyde_0.95	-7.359	-7.474	~~~	-7.528	~~~	-1.160	-2.100	~~~	-2.472	~~~	-2.744	~~~	0.540	-1.700	-0.101	-1.999	~~~	~~~	-0.407	-2.065	~~~	~~~	-0.630	-2.114	~~~	~~~	-1.256	-0.753	1.509	-2.262	~~~	~~~	~~~	~~~	-8.799	-7.419	-10.280	-8.315	-9.439	-10.030	-8.675
1.001_aceticacid--acetaldehyde_1.00	-8.116	-8.175	-8.164	-8.229	-8.233	-0.988	-1.766	-1.718	-2.074	-2.187	-2.298	-2.306	0.462	-1.450	-0.065	-1.701	-0.036	-1.682	-0.318	-1.756	-0.417	-1.771	-0.502	-1.796	-0.520	-1.786	-1.131	-0.682	1.273	-1.955	-1.989	-1.474	0.672	-2.146	-9.190	-7.983	-10.517	-8.615	-9.747	-10.217	-8.994
1.001_aceticacid--acetaldehyde_1.05	-8.396	-8.414	~~~	-8.467	~~~	-0.825	-1.470	~~~	-1.725	~~~	-1.910	~~~	0.407	-1.232	-0.027	-1.443	~~~	~~~	-0.236	-1.489	~~~	~~~	-0.388	-1.522	~~~	~~~	-0.998	-0.602	1.085	-1.687	~~~	~~~	~~~	~~~	-9.159	-8.098	-10.348	-8.515	-9.654	-10.025	-8.907
1.001_aceticacid--acetaldehyde_1.10	-8.361	-8.347	~~~	-8.396	~~~	-0.675	-1.210	~~~	-1.422	~~~	-1.576	~~~	0.369	-1.044	0.011	-1.221	~~~	~~~	-0.162	-1.259	~~~	~~~	-0.289	-1.287	~~~	~~~	-0.866	-0.519	0.935	-1.454	~~~	~~~	~~~	~~~	-8.858	-7.924	-9.925	-8.166	-9.309	-9.600	-8.573
1.001_aceticacid--acetaldehyde_1.25	-7.323	-7.260	~~~	-7.287	~~~	-0.322	-0.628	~~~	-0.751	~~~	-0.841	~~~	0.308	-0.630	0.105	-0.733	~~~	~~~	0.004	-0.755	~~~	~~~	-0.070	-0.771	~~~	~~~	-0.512	-0.288	0.640	-0.928	~~~	~~~	~~~	~~~	-7.256	-6.602	-8.029	-6.521	-7.638	-7.778	-7.005
1.001_aceticacid--acetaldehyde_1.50	-5.014	-4.962	~~~	-4.963	~~~	0.004	-0.120	~~~	-0.176	~~~	-0.217	~~~	0.268	-0.263	0.186	-0.306	~~~	~~~	0.139	-0.315	~~~	~~~	0.105	-0.322	~~~	~~~	-0.124	-0.027	0.417	-0.444	~~~	~~~	~~~	~~~	-4.589	-4.205	-5.044	-3.976	-4.912	-4.959	-4.569
1.001_aceticacid--acetaldehyde_2.00	-2.238	-2.225	-2.226	-2.218	-2.218	0.166	0.137	0.141	0.117	0.110	0.103	0.103	0.199	-0.032	0.179	-0.042	0.180	-0.039	0.162	-0.044	0.156	-0.045	0.149	-0.046	0.149	-0.046	0.124	0.133	0.243	-0.110	0.092	0.099	0.213	-0.114	-1.876	-1.713	-2.051	-1.607	-2.013	-2.053	-1.975
