# DFT-SAPT benchmark energies with the asymptotically corrected B3LYP potential for HB375x10
# All energy units have been converted to kcal/mol
# The DFT-SAPT calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst         Exch          Ind        deltaHF        Disp           Total     
1.001_080       -36.964        67.663       -12.470        -9.655       -12.769        -4.195
1.001_085       -30.427        50.755        -9.264        -7.378       -10.752        -7.066
1.001_090       -25.153        38.013        -7.036        -5.559        -9.082        -8.817
1.001_095       -20.911        28.432        -5.445        -4.148        -7.692        -9.764
1.001_100       -17.503        21.245        -4.279        -3.075        -6.530       -10.142
1.001_105       -14.758        15.863        -3.406        -2.270        -5.555       -10.126
1.001_110       -12.539        11.841        -2.738        -1.672        -4.736        -9.844
1.001_125        -8.051         4.916        -1.483        -0.665        -2.968        -8.251
1.001_150        -4.400         1.126        -0.586        -0.147        -1.411        -5.417
1.001_200        -1.806         0.059        -0.120        -0.009        -0.379        -2.254
1.002_080       -62.690       115.598       -24.867       -18.717       -18.755        -9.431
1.002_085       -53.028        89.094       -18.695       -14.802       -15.907       -13.337
1.002_090       -44.942        68.599       -14.338       -11.530       -13.540       -15.751
1.002_095       -38.222        52.786       -11.197        -8.886       -11.561       -17.082
1.002_100       -32.654        40.605        -8.882        -6.799        -9.900       -17.630
1.002_105       -28.039        31.232        -7.138        -5.175        -8.500       -17.620
1.002_110       -24.208        24.027        -5.799        -3.926        -7.314       -17.220
1.002_125       -16.117        10.962        -3.259        -1.700        -4.718       -14.831
1.002_150        -9.066         2.986        -1.367        -0.426        -2.354       -10.228
1.002_200        -3.759         0.228        -0.298        -0.033        -0.672        -4.533
1.003_080       -35.673        65.829       -12.014        -9.331       -12.793        -3.983
1.003_085       -29.572        49.573        -8.942        -7.119       -10.793        -6.853
1.003_090       -24.617        37.296        -6.806        -5.359        -9.137        -8.623
1.003_095       -20.608        28.044        -5.281        -3.998        -7.759        -9.602
1.003_100       -17.366        21.082        -4.163        -2.965        -6.608       -10.020
1.003_105       -14.737        15.848        -3.325        -2.191        -5.641       -10.046
1.003_110       -12.598        11.915        -2.684        -1.616        -4.827        -9.810
1.003_125        -8.219         5.067        -1.476        -0.647        -3.064        -8.339
1.003_150        -4.576         1.227        -0.601        -0.146        -1.498        -5.595
