# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for HB375x10
# All energy units have been converted to kcal/mol
# The DFT-SAPT calculations have been performed by E. Masumian and A. D. Boese (reference)

System             Elst         Exch          Ind        deltaHF        Disp           Total     
1.001_080       -36.226        64.903       -12.252        -9.655       -12.514        -5.745
1.001_085       -29.858        48.597        -9.109        -7.378       -10.524        -8.271
1.001_090       -24.719        36.347        -6.919        -5.559        -8.879        -9.729
1.001_095       -20.585        27.162        -5.354        -4.148        -7.513       -10.439
1.001_100       -17.261        20.286        -4.208        -3.075        -6.374       -10.632
1.001_105       -14.584        15.146        -3.349        -2.270        -5.420       -10.477
1.001_110       -12.417        11.302        -2.692        -1.672        -4.617       -10.096
1.001_125        -8.019         4.683        -1.459        -0.665        -2.886        -8.346
1.001_150        -4.412         1.071        -0.577        -0.147        -1.371        -5.436
1.001_200        -1.819         0.056        -0.119        -0.009        -0.368        -2.259
1.002_080       -61.498       110.817       -24.410       -18.716       -18.368       -12.175
1.002_085       -52.092        85.211       -18.374       -14.802       -15.558       -15.615
1.002_090       -44.213        65.474       -14.101       -11.529       -13.224       -17.594
1.002_095       -37.666        50.314       -11.014        -8.886       -11.280       -18.533
1.002_100       -32.230        38.657        -8.734        -6.799        -9.648       -18.753
1.002_105       -27.725        29.713        -7.017        -5.175        -8.276       -18.479
1.002_110       -23.978        22.839        -5.697        -3.926        -7.113       -17.876
1.002_125       -16.042        10.410        -3.199        -1.700        -4.580       -15.111
1.002_150        -9.089         2.833        -1.346        -0.426        -2.281       -10.309
1.002_200        -3.789         0.216        -0.294        -0.033        -0.650        -4.551
1.003_080       -34.961        63.019       -11.810        -9.331       -12.520        -5.602
1.003_085       -29.033        47.374        -8.798        -7.119       -10.549        -8.125
1.003_090       -24.215        35.584        -6.699        -5.359        -8.919        -9.608
1.003_095       -20.312        26.723        -5.198        -3.998        -7.566       -10.351
1.003_100       -17.152        20.074        -4.098        -2.965        -6.438       -10.579
1.003_105       -14.587        15.083        -3.273        -2.191        -5.494       -10.461
1.003_110       -12.500        11.336        -2.642        -1.615        -4.699       -10.120
1.003_125        -8.212         4.825        -1.455        -0.647        -2.981        -8.470
1.003_150        -4.605         1.172        -0.595        -0.146        -1.459        -5.634
1.003_200        -1.929         0.070        -0.129        -0.010        -0.412        -2.410
1.004_080       -34.699        62.938       -11.921        -8.342       -15.312        -7.336
1.004_085       -28.920        47.489        -8.865        -6.444       -13.065        -9.804
1.004_090       -24.204        35.818        -6.740        -4.900       -11.181       -11.207
1.004_095       -20.370        27.007        -5.225        -3.687        -9.594       -11.869
1.004_100       -17.260        20.364        -4.118        -2.756        -8.251       -12.020
1.004_105       -14.731        15.355        -3.291        -2.050        -7.110       -11.828
1.004_110       -12.667        11.582        -2.660        -1.522        -6.139       -11.406
1.004_125        -8.420         4.973        -1.478        -0.620        -3.991        -9.535
1.004_150        -4.823         1.206        -0.622        -0.144        -2.011        -6.392
1.004_200        -2.136         0.072        -0.150        -0.010        -0.594        -2.818
1.005_080       -35.697        65.683       -12.686        -9.119       -13.900        -5.720
1.005_085       -29.455        49.831        -9.332        -7.155       -11.837        -7.949
1.005_090       -24.357        37.768        -7.016        -5.510       -10.109        -9.225
1.005_095       -20.216        28.606        -5.377        -4.188        -8.656        -9.831
1.005_100       -16.856        21.655        -4.190        -3.155        -7.429        -9.974
1.005_105       -14.128        16.387        -3.310        -2.362        -6.389        -9.802
1.005_110       -11.913        12.396        -2.645        -1.761        -5.505        -9.427
1.005_125        -7.409         5.354        -1.418        -0.721        -3.557        -7.751
1.005_150        -3.800         1.318        -0.555        -0.163        -1.777        -4.978
1.005_200        -1.404         0.080        -0.109        -0.010        -0.510        -1.954
1.006_080       -28.995        53.439        -9.411        -7.260       -11.345        -3.572
1.006_085       -23.678        39.709        -6.891        -5.492        -9.546        -5.898
1.006_090       -19.433        29.485        -5.162        -4.092        -8.061        -7.262
1.006_095       -16.050        21.879        -3.943        -3.017        -6.827        -7.959
1.006_100       -13.352        16.230        -3.062        -2.210        -5.798        -8.192
1.006_105       -11.194        12.040        -2.410        -1.612        -4.937        -8.113
1.006_110        -9.460         8.932        -1.918        -1.172        -4.215        -7.833
1.006_125        -5.989         3.649        -1.014        -0.449        -2.660        -6.462
1.006_150        -3.209         0.824        -0.390        -0.093        -1.292        -4.160
1.006_200        -1.256         0.043        -0.078        -0.005        -0.367        -1.664
1.007_080       -23.219        43.836        -7.225        -5.736       -10.297        -2.641
1.007_085       -18.594        31.677        -5.272        -4.180        -8.574        -4.944
1.007_090       -14.983        22.842        -3.926        -3.009        -7.164        -6.241
1.007_095       -12.173        16.452        -2.972        -2.149        -6.005        -6.847
1.007_100        -9.978        11.829        -2.278        -1.527        -5.047        -7.001
1.007_105        -8.257         8.492        -1.763        -1.082        -4.253        -6.862
1.007_110        -6.896         6.090        -1.375        -0.765        -3.593        -6.539
1.007_125        -4.232         2.243        -0.679        -0.271        -2.205        -5.145
1.007_150        -2.172         0.424        -0.237        -0.050        -1.036        -3.071
1.007_200        -0.777         0.016        -0.043        -0.002        -0.287        -1.094
1.008_080       -45.620        78.205       -14.830       -10.258       -13.886        -6.388
1.008_085       -38.555        60.917       -11.124        -8.112       -11.916        -8.791
1.008_090       -32.616        47.448        -8.488        -6.307       -10.250       -10.212
1.008_095       -27.646        36.959        -6.571        -4.845        -8.833       -10.937
1.008_100       -23.499        28.791        -5.150        -3.689        -7.626       -11.174
1.008_105       -20.040        22.430        -4.077        -2.791        -6.593       -11.070
1.008_110       -17.144        17.465        -3.254        -2.100        -5.705       -10.739
1.008_125       -10.972         8.222        -1.714        -0.877        -3.720        -9.061
1.008_150        -5.648         2.312        -0.639        -0.199        -1.856        -6.030
1.008_200        -1.951         0.175        -0.115        -0.011        -0.512        -2.414
1.009_080       -34.506        62.613       -11.904        -9.295       -12.750        -5.843
1.009_085       -28.781        47.246        -8.872        -7.134       -10.793        -8.334
1.009_090       -24.092        35.618        -6.757        -5.396        -9.166        -9.792
1.009_095       -20.268        26.833        -5.243        -4.042        -7.806       -10.525
1.009_100       -17.154        20.208        -4.133        -3.007        -6.665       -10.752
1.009_105       -14.615        15.219        -3.300        -2.228        -5.706       -10.631
1.009_110       -12.539        11.463        -2.663        -1.647        -4.896       -10.283
1.009_125        -8.253         4.900        -1.464        -0.662        -3.132        -8.611
1.009_150        -4.621         1.186        -0.595        -0.149        -1.546        -5.725
1.009_200        -1.907         0.071        -0.126        -0.010        -0.445        -2.418
1.010_080       -20.753        39.896        -5.782        -4.851        -9.836        -1.327
1.010_085       -16.356        28.456        -4.204        -3.419        -8.113        -3.636
1.010_090       -13.023        20.270        -3.122        -2.387        -6.714        -4.976
1.010_095       -10.487        14.426        -2.359        -1.657        -5.574        -5.651
1.010_100        -8.548        10.262        -1.808        -1.146        -4.642        -5.882
1.010_105        -7.058         7.296        -1.401        -0.791        -3.877        -5.830
1.010_110        -5.903         5.181        -1.096        -0.546        -3.245        -5.609
1.010_125        -3.706         1.851        -0.550        -0.181        -1.936        -4.522
1.010_150        -2.057         0.335        -0.200        -0.031        -0.874        -2.826
1.010_200        -0.931         0.011        -0.041        -0.002        -0.228        -1.190
1.011_080       -25.619        48.297        -8.011        -6.352       -12.453        -4.137
1.011_085       -20.899        35.341        -5.926        -4.673       -10.441        -6.597
1.011_090       -17.189        25.845        -4.483        -3.399        -8.780        -8.006
