# Interaction energies and their componets, in kcal/mol
# Prefix "corr_" denotes the correlation enegy term only
# Suffixes "_os" and "_ss" denote the other-spin and same-spin components of the correlation energy
"name"	"HF/aDZ"	"HF/aTZ"	"HF/haTZ"	"HF/aQZ"	"HF/a5Z"	"corr_MP2/aDZ"	"corr_MP2/aTZ"	"corr_MP2/haTZ"	"corr_MP2/aQZ"	"corr_MP2/a5Z"	"corr_MP2/CBS(aTQZ)"	"corr_MP2/CBS(aQ5Z)"	"corr_MP2_os/aDZ"	"corr_MP2_ss/aDZ"	"corr_MP2_os/aTZ"	"corr_MP2_ss/aTZ"	"corr_MP2_os/haTZ"	"corr_MP2_ss/haTZ"	"corr_MP2_os/aQZ"	"corr_MP2_ss/aQZ"	"corr_MP2_os/a5Z"	"corr_MP2_ss/a5Z"	"corr_MP2_os/CBS(aTQZ)"	"corr_MP2_ss/CBS(aTQZ)"	"corr_MP2_os/CBS(aQ5Z)"	"corr_MP2_ss/CBS(aQ5Z)"	"corr_CCSD(T)/aDZ"	"corr_CCSD/aDZ"	"corr_CCSD_os/aDZ"	"corr_CCSD_ss/aDZ"	"corr_CCSD(T)/haTZ"	"corr_CCSD/haTZ"	"corr_CCSD_os/haTZ"	"corr_CCSD_ss/haTZ"	"BLYP/def2-QZVP"	"B3LYP/def2-QZVP"	"BHLYP/def2-QZVP"	"BP/def2-QZVP"	"PBE/def2-QZVP"	"PBE0/def2-QZVP"	"TPSS/def2-QZVP"
01.001_oxonium--methylcyanate_0.80	-7.615	-8.580	-8.573	-8.712	-8.742	-2.089	-3.685	-3.634	-4.353	-4.596	-4.840	-4.852	0.013	-2.103	-1.167	-2.518	-1.133	-2.501	-1.726	-2.627	-1.942	-2.655	-2.135	-2.706	-2.168	-2.684	-1.508	-1.378	0.817	-2.195	-3.335	-3.093	-0.487	-2.606	-9.412	-11.466	-13.422	-10.787	-11.838	-13.246	-10.550
01.001_oxonium--methylcyanate_0.85	-12.562	-13.470	~~~	-13.575	~~~	-2.487	-3.825	~~~	-4.392	~~~	-4.806	~~~	-0.405	-2.083	-1.391	-2.434	~~~	~~~	-1.866	-2.526	~~~	~~~	-2.212	-2.594	~~~	~~~	-1.920	-1.723	0.373	-2.096	~~~	~~~	~~~	~~~	-14.835	-16.538	-18.108	-15.998	-16.998	-18.051	-15.948
01.001_oxonium--methylcyanate_0.90	-15.510	-16.336	~~~	-16.426	~~~	-2.728	-3.853	~~~	-4.336	~~~	-4.688	~~~	-0.708	-2.020	-1.534	-2.319	~~~	~~~	-1.937	-2.398	~~~	~~~	-2.232	-2.456	~~~	~~~	-2.194	-1.946	0.028	-1.974	~~~	~~~	~~~	~~~	-18.102	-19.497	-20.745	-19.049	-20.002	-20.750	-19.166
01.001_oxonium--methylcyanate_0.95	-17.098	-17.824	~~~	-17.904	~~~	-2.839	-3.789	~~~	-4.201	~~~	-4.502	~~~	-0.914	-1.925	-1.607	-2.182	~~~	~~~	-1.952	-2.249	~~~	~~~	-2.203	-2.299	~~~	~~~	-2.350	-2.069	-0.233	-1.836	~~~	~~~	~~~	~~~	-19.863	-20.993	-21.976	-20.598	-21.510	-22.001	-20.851
01.001_oxonium--methylcyanate_1.00	-17.758	-18.376	-18.372	-18.448	-18.462	-2.848	-3.655	-3.617	-4.007	-4.129	-4.264	-4.258	-1.041	-1.808	-1.626	-2.029	-1.602	-2.015	-1.920	-2.087	-2.027	-2.102	-2.135	-2.129	-2.139	-2.119	-2.413	-2.113	-0.423	-1.690	-3.314	-2.922	-1.017	-1.906	-20.576	-21.478	-22.247	-21.110	-21.988	-22.267	-21.461
01.001_oxonium--methylcyanate_1.05	-17.784	-18.298	~~~	-18.365	~~~	-2.782	-3.470	~~~	-3.770	~~~	-3.990	~~~	-1.107	-1.676	-1.601	-1.868	~~~	~~~	-1.853	-1.918	~~~	~~~	-2.037	-1.954	~~~	~~~	-2.403	-2.098	-0.557	-1.541	~~~	~~~	~~~	~~~	-20.564	-21.276	-21.873	-20.913	-21.763	-21.870	-21.327
01.001_oxonium--methylcyanate_1.10	-17.384	-17.805	~~~	-17.868	~~~	-2.664	-3.251	~~~	-3.508	~~~	-3.696	~~~	-1.126	-1.538	-1.546	-1.705	~~~	~~~	-1.761	-1.747	~~~	~~~	-1.918	-1.778	~~~	~~~	-2.338	-2.038	-0.645	-1.393	~~~	~~~	~~~	~~~	-20.062	-20.615	-21.078	-20.243	-21.072	-21.043	-20.690
01.001_oxonium--methylcyanate_1.25	-14.919	-15.141	~~~	-15.204	~~~	-2.147	-2.522	~~~	-2.684	~~~	-2.802	~~~	-1.016	-1.131	-1.280	-1.243	~~~	~~~	-1.415	-1.269	~~~	~~~	-1.514	-1.289	~~~	~~~	-1.955	-1.711	-0.726	-0.985	~~~	~~~	~~~	~~~	-17.081	-17.315	-17.539	-16.875	-17.669	-17.400	-17.316
01.001_oxonium--methylcyanate_1.50	-10.299	-10.344	~~~	-10.384	~~~	-1.269	-1.465	~~~	-1.548	~~~	-1.610	~~~	-0.662	-0.607	-0.799	-0.666	~~~	~~~	-0.868	-0.680	~~~	~~~	-0.919	-0.691	~~~	~~~	-1.186	-1.071	-0.581	-0.490	~~~	~~~	~~~	~~~	-11.398	-11.435	-11.556	-10.896	-11.656	-11.337	-11.286
01.001_oxonium--methylcyanate_2.00	-4.703	-4.698	-4.703	-4.693	-4.699	-0.329	-0.406	-0.387	-0.446	-0.457	-0.475	-0.468	-0.196	-0.133	-0.252	-0.154	-0.242	-0.146	-0.285	-0.161	-0.295	-0.162	-0.309	-0.166	-0.305	-0.164	-0.285	-0.307	-0.239	-0.068	-0.336	-0.347	-0.262	-0.086	-4.583	-4.643	-4.804	-4.186	-4.701	-4.629	-4.624
