# SAPT(DFT) benchmark energies with the asymptotically corrected B3LYP potential for IHB100x10
# All energy units have been converted to kcal/mol
# The DFT-SAPT calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst         Exch          Ind         deltaHF         Disp           Total     
01.001_080       -23.944        89.480       -44.707       -20.971       -11.065       -11.207
01.001_085       -21.813        70.218       -36.337       -18.006        -9.309       -15.248
01.001_090       -19.473        54.907       -30.008       -15.158        -7.881       -17.613
01.001_095       -17.179        42.800       -25.134       -12.594        -6.697       -18.804
01.001_100       -15.056        33.271       -21.313       -10.371        -5.718       -19.188
01.001_105       -13.156        25.800       -18.266        -8.490        -4.901       -19.013
01.001_110       -11.488        19.962       -15.799        -6.924        -4.211       -18.461
01.001_125        -7.729         9.141       -10.669        -3.722        -2.703       -15.681
01.001_150        -4.277         2.413        -6.112        -1.338        -1.329       -10.643
01.001_200        -1.719         0.157        -2.509        -0.201        -0.363        -4.634
02.001_080       -45.602        78.751       -27.262       -14.453        -9.492       -18.058
02.001_085       -40.521        60.449       -21.604       -11.928        -7.870       -21.472
02.001_090       -36.116        46.272       -17.521        -9.652        -6.572       -23.589
02.001_095       -32.353        35.336       -14.502        -7.714        -5.517       -24.751
02.001_100       -29.160        26.932       -12.214        -6.119        -4.654       -25.215
02.001_105       -26.454        20.492       -10.437        -4.834        -3.943       -25.175
02.001_110       -24.155        15.570        -9.026        -3.813        -3.348       -24.771
02.001_125       -19.057         6.786        -6.155        -1.886        -2.073       -22.385
02.001_150       -14.025         1.678        -3.625        -0.634        -0.969       -17.574
02.001_200        -8.998         0.102        -1.557        -0.105        -0.245       -10.802
02.002_080       -59.253        97.081       -35.642       -18.734       -11.707       -28.254
02.002_085       -53.567        76.046       -28.342       -16.013        -9.822       -31.698
02.002_090       -48.468        59.405       -23.042       -13.374        -8.299       -33.777
02.002_095       -43.993        46.298       -19.112       -11.004        -7.053       -34.864
02.002_100       -40.111        36.012       -16.132        -8.966        -6.028       -35.225
02.002_105       -36.761        27.966       -13.824        -7.261        -5.164       -35.043
02.002_110       -33.873        21.689       -11.996        -5.860        -4.441       -34.481
02.002_125       -27.320        10.053        -8.293        -3.073        -2.864       -31.496
02.002_150       -20.653         2.752        -5.021        -1.101        -1.426       -25.449
02.002_200       -13.739         0.203        -2.267        -0.193        -0.400       -16.395
02.003_080       -48.643        93.759       -33.536       -18.286       -11.596       -18.301
02.003_085       -43.076        73.195       -26.489       -15.554        -9.726       -21.650
02.003_090       -38.124        56.979       -21.389       -12.924        -8.205       -23.663
02.003_095       -33.814        44.247       -17.619       -10.575        -6.967       -24.729
02.003_100       -30.110        34.288       -14.770        -8.566        -5.941       -25.099
02.003_105       -26.946        26.525       -12.570        -6.893        -5.089       -24.973
02.003_110       -24.249        20.489       -10.834        -5.524        -4.354       -24.472
02.003_125       -18.282         9.376        -7.343        -2.827        -2.781       -21.857
02.003_150       -12.576         2.504        -4.317        -0.961        -1.364       -16.714
02.003_200        -7.366         0.174        -1.862        -0.148        -0.369        -9.571
02.004_080       -40.676        64.924       -20.735       -10.694        -8.820       -16.001
02.004_085       -35.785        49.093       -16.574        -8.621        -7.383       -19.269
02.004_090       -31.745        37.053       -13.594        -6.837        -6.214       -21.336
02.004_095       -28.424        27.927       -11.395        -5.369        -5.251       -22.512
02.004_100       -25.693        21.028        -9.724        -4.195        -4.448       -23.032
02.004_105       -23.436        15.820        -8.420        -3.273        -3.778       -23.086
02.004_110       -21.556        11.895        -7.375        -2.555        -3.216       -22.807
02.004_125       -17.482         5.046        -5.201        -1.243        -2.005       -20.885
02.004_150       -13.492         1.206        -3.188        -0.423        -0.942       -16.839
02.004_200        -9.268         0.070        -1.421        -0.077        -0.241       -10.937
02.005_080       -37.490        62.166       -12.769        -7.891       -10.307        -6.291
02.005_085       -31.420        45.903       -10.266        -6.127        -8.673       -10.582
02.005_090       -26.628        33.781        -8.459        -4.693        -7.315       -13.314
02.005_095       -22.840        24.783        -7.108        -3.564        -6.181       -14.909
02.005_100       -19.834        18.126        -6.063        -2.693        -5.224       -15.688
02.005_105       -17.434        13.217        -5.232        -2.032        -4.417       -15.898
02.005_110       -15.504         9.610        -4.557        -1.533        -3.740       -15.723
02.005_125       -11.589         3.639        -3.134        -0.671        -2.282       -14.038
02.005_150        -8.220         0.693        -1.836        -0.194        -1.033       -10.590
02.005_200        -5.209         0.023        -0.772        -0.029        -0.258        -6.244
02.006_080       -40.595        68.516       -19.866       -12.098        -9.414       -13.456
02.006_085       -35.591        51.968       -15.541        -9.720        -7.889       -16.772
02.006_090       -31.377        39.335       -12.488        -7.676        -6.653       -18.859
02.006_095       -27.856        29.724       -10.272        -5.998        -5.654       -20.056
02.006_100       -24.923        22.435        -8.617        -4.659        -4.817       -20.581
02.006_105       -22.475        16.917        -7.347        -3.610        -4.123       -20.638
02.006_110       -20.422        12.745        -6.348        -2.797        -3.545       -20.367
02.006_125       -15.955         5.428        -4.335        -1.323        -2.282       -18.468
02.006_150       -11.663         1.300        -2.583        -0.427        -1.148       -14.520
02.006_200        -7.473         0.076        -1.154        -0.073        -0.345        -8.970
02.007_080       -52.985        89.330       -28.093       -17.110       -11.587       -20.446
02.007_085       -47.208        69.424       -21.964       -14.292        -9.777       -23.818
02.007_090       -42.144        53.836       -17.596       -11.691        -8.307       -25.902
02.007_095       -37.777        41.675       -14.411        -9.435        -7.103       -27.050
02.007_100       -34.041        32.219       -12.033        -7.549        -6.102       -27.507
02.007_105       -30.857        24.885       -10.215        -6.009        -5.272       -27.468
02.007_110       -28.140        19.206        -8.793        -4.772        -4.576       -27.075
02.007_125       -22.089         8.800        -5.963        -2.395        -3.030       -24.678
02.007_150       -16.152         2.380        -3.536        -0.814        -1.591       -19.712
02.007_200       -10.373         0.176        -1.575        -0.140        -0.501       -12.414
02.008_080       -31.100        60.935       -16.500        -9.772       -11.180        -7.616
02.008_085       -26.283        45.614       -13.091        -7.702        -9.493       -10.955
02.008_090       -22.386        34.084       -10.691        -5.979        -8.106       -13.079
02.008_095       -19.248        25.433        -8.946        -4.599        -6.943       -14.303
02.008_100       -16.721        18.957        -7.636        -3.523        -5.974       -14.896
02.008_105       -14.679        14.117        -6.621        -2.695        -5.153       -15.031
02.008_110       -13.019        10.502        -5.814        -2.065        -4.456       -14.852
02.008_125        -9.603         4.307        -4.150        -0.955        -2.919       -13.320
02.008_150        -6.627         0.969        -2.626        -0.310        -1.503       -10.097
02.008_200        -4.029         0.049        -1.270        -0.061        -0.474        -5.785
02.009_080       -37.484        59.234       -15.799        -9.380        -9.089       -12.519
02.009_085       -32.444        44.274       -12.400        -7.401        -7.620       -15.591
02.009_090       -28.347        33.032       -10.024        -5.742        -6.431       -17.512
02.009_095       -25.024        24.610        -8.305        -4.412        -5.456       -18.587
02.009_100       -22.324        18.322        -7.019        -3.375        -4.641       -19.038
02.009_105       -20.119        13.631        -6.026        -2.579        -3.961       -19.054
02.009_110       -18.302        10.135        -5.238        -1.975        -3.394       -18.774
02.009_125       -14.446         4.148        -3.622        -0.913        -2.167       -17.001
02.009_150       -10.824         0.924        -2.177        -0.294        -1.067       -13.438
02.009_200        -7.209         0.045        -0.977        -0.052        -0.309        -8.502
02.010_080       -50.747        78.180       -22.470       -13.252       -11.500       -19.790
02.010_085       -44.621        59.831       -17.620       -10.874        -9.729       -23.014
02.010_090       -39.474        45.707       -14.213        -8.737        -8.279       -24.997
02.010_095       -35.182        34.869       -11.749        -6.930        -7.090       -26.082
02.010_100       -31.609        26.574        -9.913        -5.455        -6.101       -26.503
02.010_105       -28.630        20.242        -8.504        -4.279        -5.271       -26.442
02.010_110       -26.135        15.414        -7.393        -3.354        -4.564       -26.032
02.010_125       -20.713         6.793        -5.137        -1.639        -3.006       -23.703
02.010_150       -15.502         1.721        -3.124        -0.555        -1.559       -19.019
02.010_200       -10.317         0.109        -1.426        -0.102        -0.485       -12.221
02.011_080       -38.577        63.438       -17.164       -10.196        -9.892       -12.391
02.011_085       -33.325        47.705       -13.470        -8.110        -8.325       -15.525
02.011_090       -29.020        35.809       -10.885        -6.336        -7.042       -17.475
02.011_095       -25.505        26.842        -9.017        -4.898        -6.000       -18.578
02.011_100       -22.634        20.103        -7.620        -3.765        -5.130       -19.047
02.011_105       -20.280        15.047        -6.544        -2.889        -4.398       -19.064
02.011_110       -18.335        11.256        -5.692        -2.219        -3.784       -18.775
02.011_125       -14.200         4.693        -3.948        -1.030        -2.443       -16.928
02.011_150       -10.343         1.079        -2.389        -0.329        -1.231       -13.213
02.011_200        -6.607         0.056        -1.086        -0.057        -0.370        -8.065
02.012_080       -31.923        53.811       -13.336        -7.932        -8.952        -8.333
02.012_085       -26.980        39.800       -10.459        -6.184        -7.527       -11.351
02.012_090       -23.081        29.386        -8.461        -4.742        -6.362       -13.260
02.012_095       -20.007        21.674        -7.020        -3.602        -5.403       -14.358
02.012_100       -17.573        15.973        -5.944        -2.724        -4.596       -14.864
02.012_105       -15.634        11.759        -5.112        -2.059        -3.919       -14.964
02.012_110       -14.075         8.650        -4.450        -1.559        -3.350       -14.784
02.012_125       -10.902         3.422        -3.087        -0.699        -2.115       -13.380
02.012_150        -8.110         0.718        -1.858        -0.214        -1.021       -10.485
02.012_200        -5.450         0.031        -0.830        -0.035        -0.286        -6.572
02.013_080       -47.348        60.162       -15.372        -7.154       -10.407       -20.120
02.013_085       -42.288        46.815       -12.866        -5.887        -9.032       -23.258
02.013_090       -38.113        36.597       -11.053        -4.830        -7.881       -25.280
02.013_095       -34.640        28.725        -9.677        -3.969        -6.898       -26.458
02.013_100       -31.724        22.621        -8.586        -3.272        -6.052       -27.013
02.013_105       -29.246        17.855        -7.690        -2.708        -5.319       -27.109
02.013_110       -27.120        14.112        -6.932        -2.248        -4.679       -26.866
02.013_125       -22.231         6.956        -5.194        -1.300        -3.194       -24.963
02.013_150       -16.986         2.045        -3.328        -0.535        -1.694       -20.497
02.013_200       -11.104         0.139        -1.484        -0.106        -0.497       -13.052
02.014_080       -24.914        42.358       -10.770        -3.944        -9.376        -6.647
02.014_085       -20.837        31.297        -9.094        -3.227        -7.902        -9.764
02.014_090       -17.601        22.947        -7.781        -2.578        -6.662       -11.676
02.014_095       -15.027        16.707        -6.728        -2.027        -5.622       -12.698
02.014_100       -12.968        12.085        -5.866        -1.579        -4.748       -13.077
02.014_105       -11.308         8.686        -5.149        -1.225        -3.997       -12.993
02.014_110        -9.964         6.207        -4.546        -0.949        -3.364       -12.616
02.014_125        -7.173         2.193        -3.212        -0.449        -2.032       -10.673
02.014_150        -4.714         0.357        -1.932        -0.147        -0.913        -7.349
02.014_200        -2.548         0.008        -0.842        -0.024        -0.234        -3.640
02.015_080       -39.821        64.523       -13.374        -8.336       -10.689        -7.697
02.015_085       -33.545        46.319       -10.446        -6.205        -8.846       -12.723
02.015_090       -28.688        33.209        -8.423        -4.570        -7.360       -15.834
02.015_095       -24.913        23.785        -6.967        -3.351        -6.138       -17.584
02.015_100       -21.953        17.019        -5.878        -2.457        -5.131       -18.401
02.015_105       -19.608        12.168        -5.036        -1.808        -4.298       -18.581
02.015_110       -17.725         8.695        -4.367        -1.338        -3.606       -18.341
02.015_125       -13.866         3.165        -2.994        -0.573        -2.162       -16.431
02.015_150       -10.350         0.587        -1.766        -0.176        -0.966       -12.672
02.015_200        -6.862         0.020        -0.752        -0.031        -0.245        -7.869
03.001_080       -27.785        54.606       -21.375        -9.156        -7.994       -11.704
03.001_085       -24.476        40.593       -17.275        -7.275        -6.484       -14.917
03.001_090       -21.689        30.056       -14.288        -5.678        -5.306       -16.904
03.001_095       -19.365        22.171       -12.044        -4.384        -4.364       -17.986
03.001_100       -17.434        16.298       -10.308        -3.367        -3.608       -18.419
03.001_105       -15.828        11.943        -8.930        -2.582        -2.998       -18.395
03.001_110       -14.484         8.725        -7.812        -1.983        -2.497       -18.050
03.001_125       -11.558         3.348        -5.458        -0.925        -1.472       -16.064
03.001_150        -8.692         0.650        -3.295        -0.303        -0.646       -12.286
03.001_200        -5.733         0.022        -1.474        -0.055        -0.154        -7.394
03.002_080       -50.354        79.740       -29.061       -14.349       -10.401       -24.426
03.002_085       -45.557        61.451       -23.071       -12.071        -8.527       -27.776
03.002_090       -41.298        47.190       -18.736        -9.912        -7.032       -29.789
03.002_095       -37.583        36.126       -15.524        -8.011        -5.843       -30.836
03.002_100       -34.370        27.578       -13.085        -6.410        -4.888       -31.176
03.002_105       -31.600        20.999       -11.188        -5.098        -4.097       -30.984
03.002_110       -29.210        15.952        -9.679        -4.041        -3.454       -30.433
03.002_125       -23.759         6.903        -6.599        -2.014        -2.107       -27.576
03.002_150       -18.125         1.651        -3.873        -0.676        -0.962       -21.985
03.002_200       -12.154         0.087        -1.657        -0.112        -0.233       -14.069
03.003_080       -39.099        61.125       -14.583        -9.358        -8.614       -10.530
03.003_085       -33.692        46.376       -11.213        -7.576        -7.146       -13.251
03.003_090       -29.233        35.122        -8.884        -6.011        -5.969       -14.975
03.003_095       -25.565        26.558        -7.227        -4.707        -5.013       -15.954
03.003_100       -22.545        20.057        -6.011        -3.656        -4.237       -16.392
03.003_105       -20.051        15.131        -5.089        -2.827        -3.593       -16.429
03.003_110       -17.978        11.403        -4.370        -2.183        -3.053       -16.182
03.003_125       -13.533         4.847        -2.930        -1.015        -1.899       -14.530
03.003_150        -9.393         1.141        -1.668        -0.316        -0.888       -11.125
03.003_200        -5.586         0.060        -0.658        -0.051        -0.224        -6.459
03.004_080       -32.542        55.840       -14.071        -6.927       -10.329        -8.029
03.004_085       -27.527        42.509       -11.237        -5.585        -8.785       -10.625
03.004_090       -23.487        32.401        -9.268        -4.432        -7.526       -12.311
03.004_095       -20.226        24.734        -7.852        -3.489        -6.476       -13.309
03.004_100       -17.582        18.913        -6.798        -2.739        -5.596       -13.802
03.004_105       -15.422        14.487        -5.985        -2.154        -4.850       -13.923
03.004_110       -13.642        11.118        -5.336        -1.700        -4.212       -13.773
03.004_125        -9.861         5.069        -3.972        -0.872        -2.785       -12.422
03.004_150        -6.369         1.398        -2.618        -0.341        -1.439        -9.369
03.004_200        -3.243         0.108        -1.245        -0.079        -0.427        -4.887
03.005_080       -38.601        61.225       -17.640       -10.226        -8.632       -13.874
03.005_085       -34.076        46.105       -13.734        -8.211        -7.092       -17.007
03.005_090       -30.265        34.620       -10.981        -6.463        -5.887       -18.976
03.005_095       -27.079        25.931        -8.985        -5.024        -4.920       -20.076
03.005_100       -24.420        19.382        -7.495        -3.876        -4.123       -20.533
03.005_105       -22.196        14.455        -6.352        -2.979        -3.478       -20.549
03.005_110       -20.325        10.758        -5.452        -2.288        -2.945       -20.252
03.005_125       -16.222         4.389        -3.644        -1.053        -1.822       -18.351
03.005_150       -12.198         0.957        -2.090        -0.326        -0.863       -14.520
03.005_200        -8.114         0.042        -0.878        -0.053        -0.233        -9.235
03.006_080       -40.037        76.975       -21.244       -13.423       -14.816       -12.544
03.006_085       -34.183        58.627       -16.770       -11.078       -12.594       -15.998
03.006_090       -29.357        44.548       -13.612        -8.964       -10.735       -18.120
03.006_095       -25.404        33.791       -11.321        -7.161        -9.208       -19.303
03.006_100       -22.170        25.589        -9.607        -5.675        -7.929       -19.793
03.006_105       -19.521        19.347        -8.288        -4.477        -6.855       -19.794
03.006_110       -17.343        14.609        -7.245        -3.525        -5.938       -19.442
03.006_125       -12.785         6.244        -5.108        -1.734        -3.900       -17.284
03.006_150        -8.757         1.484        -3.157        -0.581        -2.008       -13.019
03.006_200        -5.268         0.080        -1.443        -0.101        -0.616        -7.347
03.007_080       -41.075        61.600       -17.199        -9.285        -9.641       -15.599
03.007_085       -35.936        46.350       -13.440        -7.514        -8.010       -18.549
03.007_090       -31.701        34.792       -10.811        -5.942        -6.678       -20.341
03.007_095       -28.225        26.065        -8.913        -4.635        -5.614       -21.321
03.007_100       -25.369        19.493        -7.498        -3.586        -4.731       -21.691
03.007_105       -23.013        14.558        -6.409        -2.766        -4.011       -21.641
03.007_110       -21.055        10.857        -5.549        -2.132        -3.415       -21.294
03.007_125       -16.839         4.460        -3.798        -0.998        -2.135       -19.310
03.007_150       -12.795         0.984        -2.250        -0.323        -1.027       -15.411
03.007_200        -8.670         0.045        -0.988        -0.057        -0.284        -9.954
03.008_080       -47.200        75.180       -19.578       -11.723       -10.538       -13.858
03.008_085       -40.632        57.902       -15.037        -9.862        -8.832       -16.461
03.008_090       -35.156        44.510       -11.875        -8.083        -7.455       -18.059
03.008_095       -30.616        34.163        -9.618        -6.513        -6.301       -18.886
03.008_100       -26.859        26.192        -7.962        -5.191        -5.370       -19.190
03.008_105       -23.745        20.063        -6.709        -4.110        -4.586       -19.085
03.008_110       -21.155        15.357        -5.734        -3.241        -3.930       -18.703
03.008_125       -15.626         6.836        -3.796        -1.587        -2.506       -16.679
03.008_150       -10.596         1.731        -2.124        -0.516        -1.214       -12.719
03.008_200        -6.211         0.104        -0.823        -0.081        -0.320        -7.331
03.009_080       -57.097       102.037       -30.611       -16.739       -15.648       -18.058
03.009_085       -49.191        80.395       -23.641       -14.782       -13.322       -20.542
03.009_090       -42.449        63.237       -18.704       -12.644       -11.405       -21.966
03.009_095       -36.759        49.673       -15.147       -10.592        -9.806       -22.632
03.009_100       -31.985        38.978       -12.532        -8.751        -8.463       -22.753
03.009_105       -27.991        30.563       -10.567        -7.163        -7.341       -22.498
03.009_110       -24.650        23.955        -9.054        -5.828        -6.382       -21.959
03.009_125       -17.505        11.508        -6.105        -3.096        -4.267       -19.464
03.009_150       -11.145         3.362        -3.607        -1.110        -2.239       -14.738
03.009_200        -6.034         0.280        -1.557        -0.191        -0.685        -8.187
03.010_080       -40.493        75.979       -20.595       -11.399       -13.322        -9.830
03.010_085       -34.037        58.469       -16.125        -9.527       -11.284       -12.506
03.010_090       -28.740        44.955       -13.001        -7.776        -9.630       -14.192
03.010_095       -24.414        34.551       -10.760        -6.253        -8.261       -15.138
03.010_100       -20.884        26.550        -9.107        -4.984        -7.118       -15.544
03.010_105       -17.999        20.404        -7.849        -3.954        -6.151       -15.549
03.010_110       -15.634        15.686        -6.864        -3.131        -5.331       -15.273
03.010_125       -10.727         7.132        -4.869        -1.572        -3.517       -13.553
03.010_150        -6.522         1.921        -3.049        -0.553        -1.817       -10.020
03.010_200        -3.256         0.142        -1.411        -0.106        -0.549        -5.180
03.011_080       -53.172        89.375       -25.036       -14.308       -13.059       -16.201
03.011_085       -45.822        69.754       -19.275       -12.365       -11.035       -18.743
03.011_090       -39.619        54.348       -15.228       -10.379        -9.383       -20.261
03.011_095       -34.425        42.286       -12.328        -8.548        -8.017       -21.033
03.011_100       -30.093        32.867       -10.202        -6.953        -6.883       -21.264
03.011_105       -26.483        25.530        -8.601        -5.610        -5.931       -21.096
03.011_110       -23.470        19.818        -7.365        -4.504        -5.129       -20.650
03.011_125       -17.028         9.237        -4.934        -2.313        -3.364       -18.402
03.011_150       -11.226         2.550        -2.853        -0.798        -1.707       -14.034
03.011_200        -6.367         0.187        -1.176        -0.134        -0.491        -7.980
03.012_080       -30.343        61.025       -17.619       -10.327       -11.057        -8.323
03.012_085       -25.421        45.935       -13.785        -8.435        -9.248       -10.954
03.012_090       -21.420        34.494       -11.102        -6.736        -7.762       -12.526
03.012_095       -18.188        25.855        -9.164        -5.304        -6.574       -13.376
03.012_100       -15.583        19.347        -7.716        -4.142        -5.591       -13.686
03.012_105       -13.479        14.457        -6.600        -3.221        -4.762       -13.605
03.012_110       -11.773        10.784        -5.714        -2.502        -4.077       -13.282
03.012_125        -8.299         4.427        -3.902        -1.189        -2.595       -11.558
03.012_150        -5.396         0.974        -2.291        -0.384        -1.276        -8.374
03.012_200        -3.079         0.044        -0.987        -0.064        -0.365        -4.450
03.013_080       -59.223       112.967       -36.095       -18.952       -18.259       -19.562
03.013_085       -50.971        89.622       -27.963       -17.042       -15.628       -21.982
03.013_090       -43.869        70.976       -22.162       -14.803       -13.432       -23.290
03.013_095       -37.835        56.129       -17.962       -12.571       -11.638       -23.877
03.013_100       -32.749        44.338       -14.865       -10.514       -10.091       -23.881
03.013_105       -28.479        34.996       -12.535        -8.703        -8.778       -23.499
03.013_110       -24.900        27.609       -10.743        -7.155        -7.670       -22.859
03.013_125       -17.252        13.534        -7.271        -3.901        -5.205       -20.095
03.013_150       -10.528         4.100        -4.356        -1.438        -2.794       -15.016
03.013_200        -5.357         0.372        -1.947        -0.249        -0.892        -8.073
03.014_080       -39.247        50.812       -12.949        -4.888        -9.870       -16.142
03.014_085       -34.729        38.281       -10.749        -4.112        -8.230       -19.540
03.014_090       -31.024        28.647        -9.080        -3.365        -6.873       -21.694
03.014_095       -27.966        21.304        -7.780        -2.704        -5.748       -22.894
03.014_100       -25.427        15.754        -6.741        -2.150        -4.810       -23.374
03.014_105       -23.299        11.586        -5.892        -1.700        -4.031       -23.335
03.014_110       -21.499         8.477        -5.185        -1.341        -3.386       -22.933
03.014_125       -17.471         3.231        -3.634        -0.669        -2.018       -20.560
03.014_150       -13.297         0.601        -2.138        -0.236        -0.881       -15.951
03.014_200        -8.737         0.017        -0.878        -0.043        -0.209        -9.849
03.015_080       -49.660        74.833       -19.751        -7.187       -14.214       -15.980
03.015_085       -43.260        58.389       -16.208        -6.504       -12.122       -19.705
03.015_090       -37.894        45.354       -13.553        -5.663       -10.360       -22.116
03.015_095       -33.392        35.096       -11.530        -4.806        -8.851       -23.483
03.015_100       -29.605        27.071        -9.956        -4.010        -7.591       -24.090
03.015_105       -26.408        20.825        -8.704        -3.308        -6.520       -24.115
03.015_110       -23.696        15.977        -7.686        -2.710        -5.611       -23.726
03.015_125       -17.694         7.119        -5.518        -1.472        -3.594       -21.158
03.015_150       -11.888         1.790        -3.421        -0.561        -1.751       -15.831
03.015_200        -6.602         0.105        -1.500        -0.110        -0.473        -8.579
04.001_080       -46.797        74.400       -26.494       -13.105        -9.986       -21.982
04.001_085       -42.206        57.596       -20.989       -11.320        -8.154       -25.074
04.001_090       -38.127        44.436       -17.017        -9.503        -6.696       -26.907
04.001_095       -34.559        34.176       -14.086        -7.831        -5.537       -27.837
04.001_100       -31.463        26.211       -11.869        -6.374        -4.614       -28.110
04.001_105       -28.785        20.057       -10.151        -5.147        -3.863       -27.890
04.001_110       -26.468        15.313        -8.788        -4.138        -3.240       -27.320
04.001_125       -21.166         6.733        -6.002        -2.138        -1.943       -24.517
04.001_150       -15.709         1.655        -3.505        -0.752        -0.858       -19.169
04.001_200       -10.119         0.093        -1.443        -0.129        -0.196       -11.794
04.002_080       -38.231        60.410       -17.338       -10.031        -8.778       -13.968
04.002_085       -33.835        45.880       -13.476        -8.324        -7.193       -16.949
04.002_090       -30.089        34.735       -10.766        -6.731        -5.940       -18.792
04.002_095       -26.923        26.228        -8.812        -5.353        -4.947       -19.807
04.002_100       -24.253        19.753        -7.358        -4.211        -4.144       -20.214
04.002_105       -22.000        14.843        -6.246        -3.292        -3.488       -20.183
04.002_110       -20.091        11.131        -5.372        -2.564        -2.941       -19.837
04.002_125       -15.864         4.636        -3.609        -1.217        -1.804       -17.858
04.002_150       -11.705         1.041        -2.064        -0.385        -0.832       -13.946
04.002_200        -7.584         0.049        -0.841        -0.062        -0.214        -8.652
04.003_080       -41.187        61.677       -17.581        -8.646       -10.192       -15.929
04.003_085       -36.103        46.871       -13.691        -7.327        -8.428       -18.678
04.003_090       -31.864        35.522       -10.980        -6.009        -7.016       -20.348
04.003_095       -28.347        26.855        -9.032        -4.828        -5.871       -21.223
04.003_100       -25.430        20.268        -7.588        -3.830        -4.960       -21.540
04.003_105       -23.004        15.266        -6.482        -3.016        -4.181       -21.416
04.003_110       -20.974        11.473        -5.610        -2.367        -3.540       -21.019
04.003_125       -16.573         4.818        -3.838        -1.152        -2.199       -18.945
04.003_150       -12.352         1.097        -2.258        -0.385        -1.030       -14.929
04.003_200        -8.163         0.052        -0.961        -0.069        -0.271        -9.412
04.004_080       -33.436        44.425       -11.195        -3.570        -8.920       -12.695
04.004_085       -29.596        33.314        -9.119        -3.108        -7.352       -15.861
04.004_090       -26.425        24.830        -7.608        -2.596        -6.056       -17.856
04.004_095       -23.794        18.401        -6.472        -2.113        -5.018       -18.995
04.004_100       -21.594        13.561        -5.588        -1.693        -4.161       -19.475
04.004_105       -19.740         9.942        -4.877        -1.346        -3.459       -19.479
04.004_110       -18.163         7.254        -4.291        -1.066        -2.883       -19.150
04.004_125       -14.609         2.744        -3.008        -0.539        -1.674       -17.085
04.004_150       -10.915         0.508        -1.754        -0.195        -0.701       -13.057
04.004_200        -6.966         0.015        -0.693        -0.036        -0.154        -7.834
05.001_080       -74.084        97.893       -18.265       -10.340       -11.919       -16.715
05.001_085       -63.607        75.162       -14.460        -8.349       -10.370       -21.624
05.001_090       -55.039        57.762       -11.821        -6.603        -8.996       -24.698
05.001_095       -48.042        44.473        -9.939        -5.148        -7.810       -26.467
05.001_100       -42.314        34.334        -8.552        -3.975        -6.782       -27.289
05.001_105       -37.605        26.602        -7.495        -3.048        -5.883       -27.429
05.001_110       -33.710        20.695        -6.663        -2.325        -5.120       -27.124
