# SAPT(DFT) benchmark energies with the asymptotically corrected PBE0 potential for IHB100x10
# All energy units have been converted to kcal/mol
# The DFT-SAPT calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst         Exch          Ind         deltaHF         Disp           Total     
01.001_080       -22.934        86.884       -44.680       -20.971       -10.756       -12.457
01.001_085       -20.926        68.105       -36.334       -18.006        -9.034       -16.194
01.001_090       -18.691        53.215       -30.004       -15.158        -7.632       -18.271
01.001_095       -16.487        41.464       -25.120       -12.594        -6.480       -19.217
01.001_100       -14.443        32.227       -21.288       -10.371        -5.527       -19.401
01.001_105       -12.611        24.993       -18.232        -8.490        -4.731       -19.070
01.001_110       -11.004        19.346       -15.759        -6.924        -4.060       -18.401
01.001_125        -7.387         8.885       -10.635        -3.722        -2.599       -15.457
01.001_150        -4.076         2.372        -6.112        -1.338        -1.276       -10.430
01.001_200        -1.627         0.161        -2.525        -0.201        -0.350        -4.542
02.001_080       -44.910        76.286       -27.181       -14.453        -9.239       -19.496
02.001_085       -39.938        58.456       -21.556       -11.928        -7.651       -22.616
02.001_090       -35.624        44.680       -17.487        -9.652        -6.377       -24.460
02.001_095       -31.937        34.078       -14.472        -7.714        -5.346       -25.392
02.001_100       -28.807        25.945       -12.184        -6.119        -4.503       -25.669
02.001_105       -26.153        19.723       -10.406        -4.834        -3.810       -25.481
02.001_110       -23.899        14.973        -8.995        -3.813        -3.228       -24.962
02.001_125       -18.894         6.516        -6.129        -1.886        -1.993       -22.386
02.001_150       -13.937         1.612        -3.611        -0.634        -0.929       -17.499
02.001_200        -8.955         0.099        -1.552        -0.105        -0.234       -10.748
02.002_080       -58.472        94.047       -35.503       -18.734       -11.405       -30.067
02.002_085       -52.904        73.523       -28.266       -16.013        -9.554       -33.214
02.002_090       -47.904        57.331       -22.995       -13.374        -8.062       -35.004
02.002_095       -43.510        44.610       -19.075       -11.004        -6.842       -35.821
02.002_100       -39.696        34.649       -16.098        -8.966        -5.838       -35.949
02.002_105       -36.403        26.871       -13.787        -7.261        -4.993       -35.573
02.002_110       -33.561        20.812       -11.956        -5.860        -4.287       -34.852
02.002_125       -27.110         9.613        -8.250        -3.073        -2.756       -31.575
02.002_150       -20.530         2.620        -4.988        -1.101        -1.366       -25.364
02.002_200       -13.669         0.192        -2.249        -0.193        -0.382       -16.302
02.003_080       -47.713        90.598       -33.370       -18.286       -11.291       -20.062
02.003_085       -42.282        70.570       -26.390       -15.554        -9.450       -23.105
02.003_090       -37.444        54.824       -21.323       -12.924        -7.962       -24.829
02.003_095       -33.232        42.494       -17.567       -10.575        -6.749       -25.629
02.003_100       -29.610        32.874       -14.724        -8.566        -5.746       -25.772
02.003_105       -26.516        25.390       -12.524        -6.893        -4.918       -25.461
02.003_110       -23.877        19.582       -10.788        -5.524        -4.198       -24.806
02.003_125       -18.039         8.924        -7.300        -2.827        -2.672       -21.914
02.003_150       -12.442         2.371        -4.288        -0.961        -1.305       -16.625
02.003_200        -7.301         0.163        -1.850        -0.148        -0.352        -9.488
02.004_080       -40.212        62.784       -20.721       -10.694        -8.596       -17.439
02.004_085       -35.409        47.403       -16.572        -8.621        -7.184       -20.383
02.004_090       -31.440        35.733       -13.591        -6.837        -6.032       -22.167
02.004_095       -28.176        26.903       -11.387        -5.369        -5.089       -23.119
02.004_100       -25.491        20.237        -9.711        -4.195        -4.304       -23.464
02.004_105       -23.270        15.213        -8.402        -3.273        -3.649       -23.382
02.004_110       -21.420        11.431        -7.355        -2.555        -3.102       -23.001
02.004_125       -17.404         4.845        -5.181        -1.243        -1.928       -20.912
02.004_150       -13.452         1.160        -3.176        -0.423        -0.904       -16.796
02.004_200        -9.243         0.067        -1.415        -0.077        -0.232       -10.899
02.005_080       -36.987        59.955       -12.742        -7.891       -10.019        -7.684
02.005_085       -31.035        44.232       -10.246        -6.127        -8.414       -11.590
02.005_090       -26.335        32.528        -8.442        -4.693        -7.084       -14.027
02.005_095       -22.620        23.850        -7.092        -3.564        -5.974       -15.400
02.005_100       -19.670        17.438        -6.050        -2.693        -5.042       -16.017
02.005_105       -17.314        12.712        -5.222        -2.032        -4.258       -16.113
02.005_110       -15.417         9.243        -4.550        -1.533        -3.602       -15.858
02.005_125       -11.557         3.503        -3.135        -0.671        -2.193       -14.053
02.005_150        -8.211         0.668        -1.838        -0.194        -0.992       -10.566
02.005_200        -5.200         0.022        -0.772        -0.029        -0.248        -6.227
02.006_080       -39.937        66.079       -19.831       -12.098        -9.162       -14.949
02.006_085       -35.058        50.025       -15.534        -9.720        -7.663       -17.949
02.006_090       -30.944        37.805       -12.492        -7.676        -6.456       -19.762
02.006_095       -27.506        28.532       -10.278        -5.998        -5.473       -20.724
02.006_100       -24.639        21.512        -8.622        -4.659        -4.659       -21.067
02.006_105       -22.244        16.205        -7.349        -3.610        -3.984       -20.983
02.006_110       -20.234        12.199        -6.348        -2.797        -3.422       -20.602
02.006_125       -15.851         5.188        -4.335        -1.323        -2.197       -18.518
02.006_150       -11.616         1.244        -2.585        -0.427        -1.103       -14.487
02.006_200        -7.450         0.073        -1.155        -0.073        -0.333        -8.938
02.007_080       -52.238        86.247       -28.018       -17.110       -11.290       -22.409
02.007_085       -46.601        66.895       -21.944       -14.292        -9.509       -25.451
02.007_090       -41.652        51.788       -17.599       -11.691        -8.068       -27.222
02.007_095       -37.380        40.036       -14.420        -9.435        -6.891       -28.091
02.007_100       -33.721        30.919       -12.041        -7.549        -5.912       -28.305
02.007_105       -30.599        23.861       -10.219        -6.009        -5.101       -28.067
02.007_110       -27.933        18.402        -8.792        -4.772        -4.424       -27.518
02.007_125       -21.983         8.423        -5.955        -2.395        -2.919       -24.829
02.007_150       -16.116         2.283        -3.534        -0.814        -1.528       -19.709
02.007_200       -10.359         0.170        -1.577        -0.140        -0.482       -12.388
02.008_080       -30.715        58.665       -16.485        -9.772       -10.880        -9.188
02.008_085       -26.009        43.833       -13.095        -7.702        -9.227       -12.199
02.008_090       -22.200        32.701       -10.700        -5.979        -7.867       -14.044
02.008_095       -19.129        24.365        -8.955        -4.599        -6.728       -15.047
02.008_100       -16.655        18.136        -7.642        -3.523        -5.782       -15.466
02.008_105       -14.654        13.488        -6.625        -2.695        -4.983       -15.469
02.008_110       -13.026        10.022        -5.817        -2.065        -4.305       -15.190
02.008_125        -9.662         4.099        -4.152        -0.955        -2.815       -13.485
02.008_150        -6.705         0.918        -2.628        -0.310        -1.448       -10.172
02.008_200        -4.089         0.046        -1.270        -0.061        -0.457        -5.831
02.009_080       -36.481        56.665       -15.601        -9.380        -8.841       -13.637
02.009_085       -31.606        42.189       -12.258        -7.401        -7.402       -16.478
02.009_090       -27.648        31.349        -9.916        -5.742        -6.238       -18.195
02.009_095       -24.441        23.259        -8.218        -4.412        -5.281       -19.093
02.009_100       -21.838        17.235        -6.945        -3.375        -4.483       -19.405
02.009_105       -19.713        12.757        -5.961        -2.579        -3.822       -19.317
02.009_110       -17.964         9.434        -5.180        -1.975        -3.269       -18.953
02.009_125       -14.245         3.795        -3.583        -0.913        -2.079       -17.024
02.009_150       -10.725         0.823        -2.156        -0.294        -1.018       -13.371
02.009_200        -7.163         0.038        -0.969        -0.052        -0.295        -8.441
02.010_080       -49.528        74.799       -22.145       -13.252       -11.209       -21.335
02.010_085       -43.590        57.000       -17.392       -10.874        -9.459       -24.315
02.010_090       -38.604        43.349       -14.043        -8.737        -8.039       -26.075
02.010_095       -34.448        32.913       -11.615        -6.930        -6.870       -26.950
02.010_100       -30.991        24.957        -9.801        -5.455        -5.901       -27.190
02.010_105       -28.110        18.905        -8.405        -4.279        -5.091       -26.979
02.010_110       -25.697        14.308        -7.303        -3.354        -4.397       -26.444
02.010_125       -20.452         6.174        -5.064        -1.639        -2.881       -23.862
02.010_150       -15.382         1.503        -3.071        -0.555        -1.483       -18.988
02.010_200       -10.270         0.088        -1.400        -0.102        -0.458       -12.143
02.011_080       -37.597        60.702       -16.943       -10.196        -9.626       -13.660
02.011_085       -32.513        45.472       -13.312        -8.110        -8.080       -16.544
02.011_090       -28.350        33.997       -10.765        -6.336        -6.830       -18.284
02.011_095       -24.954        25.380        -8.920        -4.898        -5.808       -19.198
02.011_100       -22.181        18.923        -7.538        -3.765        -4.959       -19.519
02.011_105       -19.908        14.094        -6.473        -2.889        -4.243       -19.418
02.011_110       -18.031        10.489        -5.628        -2.219        -3.643       -19.032
02.011_125       -14.035         4.300        -3.903        -1.030        -2.344       -17.012
02.011_150       -10.278         0.962        -2.365        -0.329        -1.175       -13.185
02.011_200        -6.587         0.047        -1.077        -0.057        -0.353        -8.027
02.012_080       -31.091        51.453       -13.212        -7.932        -8.718        -9.499
02.012_085       -26.293        37.906       -10.373        -6.184        -7.322       -12.266
02.012_090       -22.515        27.873        -8.395        -4.742        -6.177       -13.956
02.012_095       -19.541        20.466        -6.966        -3.602        -5.239       -14.883
02.012_100       -17.190        15.004        -5.897        -2.724        -4.445       -15.253
02.012_105       -15.320        10.987        -5.070        -2.059        -3.784       -15.247
02.012_110       -13.818         8.036        -4.413        -1.559        -3.227       -14.982
02.012_125       -10.758         3.125        -3.062        -0.699        -2.029       -13.423
02.012_150        -8.043         0.638        -1.844        -0.214        -0.975       -10.438
02.012_200        -5.416         0.026        -0.825        -0.035        -0.273        -6.523
02.013_080       -46.608        57.604       -15.209        -7.154       -10.111       -21.479
02.013_085       -41.672        44.705       -12.744        -5.887        -8.757       -24.355
02.013_090       -37.600        34.865       -10.957        -4.830        -7.628       -26.151
02.013_095       -34.213        27.309        -9.600        -3.969        -6.667       -27.140
02.013_100       -31.367        21.465        -8.522        -3.272        -5.841       -27.538
02.013_105       -28.948        16.910        -7.636        -2.708        -5.127       -27.509
02.013_110       -26.870        13.341        -6.885        -2.248        -4.503       -27.165
02.013_125       -22.080         6.537        -5.159        -1.300        -3.064       -25.067
02.013_150       -16.912         1.898        -3.301        -0.535        -1.619       -20.468
02.013_200       -11.075         0.125        -1.469        -0.106        -0.474       -12.999
02.014_080       -24.135        40.484       -10.640        -3.944        -9.089        -7.324
02.014_085       -20.198        29.857        -9.001        -3.227        -7.646       -10.214
02.014_090       -17.075        21.861        -7.713        -2.578        -6.439       -11.944
02.014_095       -14.591        15.896        -6.678        -2.027        -5.426       -12.826
02.014_100       -12.601        11.483        -5.828        -1.579        -4.571       -13.097
02.014_105       -10.997         8.242        -5.120        -1.225        -3.845       -12.943
02.014_110        -9.696         5.882        -4.522        -0.949        -3.235       -12.520
02.014_125        -6.988         2.070        -3.199        -0.449        -1.950       -10.518
02.014_150        -4.584         0.334        -1.926        -0.147        -0.876        -7.198
02.014_200        -2.463         0.007        -0.839        -0.024        -0.225        -3.545
02.015_080       -39.151        62.036       -13.320        -8.336       -10.380        -9.152
02.015_085       -33.037        44.484       -10.410        -6.205        -8.577       -13.745
02.015_090       -28.305        31.863        -8.395        -4.570        -7.121       -16.529
02.015_095       -24.625        22.805        -6.944        -3.351        -5.927       -18.043
02.015_100       -21.737        16.309        -5.860        -2.457        -4.948       -18.693
02.015_105       -19.445        11.656        -5.022        -1.808        -4.138       -18.757
02.015_110       -17.603         8.329        -4.356        -1.338        -3.469       -18.438
02.015_125       -13.811         3.033        -2.991        -0.573        -2.075       -16.418
02.015_150       -10.327         0.563        -1.764        -0.176        -0.927       -12.631
02.015_200        -6.847         0.020        -0.751        -0.031        -0.235        -7.846
03.001_080       -27.085        53.004       -21.368        -9.156        -7.763       -12.369
03.001_085       -23.867        39.339       -17.274        -7.275        -6.289       -15.367
03.001_090       -21.156        29.083       -14.286        -5.678        -5.142       -17.177
03.001_095       -18.896        21.424       -12.038        -4.384        -4.224       -18.118
03.001_100       -17.020        15.729       -10.299        -3.367        -3.488       -18.445
03.001_105       -15.459        11.513        -8.919        -2.582        -2.895       -18.343
03.001_110       -14.154         8.402        -7.801        -1.983        -2.408       -17.944
03.001_125       -11.310         3.217        -5.449        -0.925        -1.416       -15.883
03.001_150        -8.517         0.622        -3.289        -0.303        -0.620       -12.106
03.001_200        -5.624         0.021        -1.471        -0.055        -0.148        -7.278
03.002_080       -49.789        77.727       -29.108       -14.349       -10.115       -25.634
03.002_085       -45.090        59.870       -23.118       -12.071        -8.280       -28.690
03.002_090       -40.909        45.973       -18.769        -9.912        -6.824       -30.441
03.002_095       -37.257        35.205       -15.539        -8.011        -5.663       -31.265
03.002_100       -34.096        26.894       -13.085        -6.410        -4.734       -31.431
03.002_105       -31.369        20.499       -11.177        -5.098        -3.963       -31.107
03.002_110       -29.015        15.594        -9.663        -4.041        -3.338       -30.463
03.002_125       -23.643         6.798        -6.588        -2.014        -2.032       -27.479
03.002_150       -18.071         1.661        -3.883        -0.676        -0.928       -21.896
03.002_200       -12.130         0.093        -1.669        -0.112        -0.226       -14.044
03.003_080       -38.895        59.117       -14.683        -9.358        -8.365       -12.184
03.003_085       -33.557        44.798       -11.311        -7.576        -6.937       -14.584
03.003_090       -29.149        33.901        -8.965        -6.011        -5.785       -16.010
03.003_095       -25.520        25.624        -7.288        -4.707        -4.850       -16.741
03.003_100       -22.529        19.347        -6.053        -3.656        -4.092       -16.982
