# SQM interaction energies (kcal/mol)
"name"	AM1	RM1	PM3	PM6	PM6-D3H4'	PM6-D3H4	PM6-D3H4X	PM7	DFTB3	DFTB3-D3H4	DFTB3-D3H4X	GFN2-xTB
001.03_1.00_dihydrogen--dihydrogen	1.162	0.426	-1.193	0.193	0.144	3.654	3.654	1.123	0.594	1.018	1.018	1.700
001.03_1.05_dihydrogen--dihydrogen	0.517	0.199	-1.553	0.136	0.084	2.625	2.625	0.821	0.151	0.510	0.510	1.148
001.03_1.10_dihydrogen--dihydrogen	0.082	0.184	-1.507	0.115	0.056	1.876	1.876	0.587	-0.125	0.186	0.186	0.763
001.03_1.15_dihydrogen--dihydrogen	-0.188	0.259	-1.244	0.107	0.036	1.326	1.326	0.405	-0.281	-0.010	-0.010	0.499
001.03_1.25_dihydrogen--dihydrogen	-0.408	0.332	-0.715	0.085	-0.012	0.615	0.615	0.157	-0.366	-0.179	-0.179	0.208
001.05_1.00_ethyne_H--dihydrogen	1.395	-0.083	-1.990	-0.486	-0.614	3.024	3.024	0.459	0.999	1.146	1.146	2.394
001.05_1.05_ethyne_H--dihydrogen	0.710	-0.254	-2.305	-0.420	-0.545	2.114	2.114	0.276	0.506	0.632	0.632	1.787
001.05_1.10_ethyne_H--dihydrogen	0.240	-0.207	-2.211	-0.328	-0.455	1.468	1.468	0.143	0.179	0.301	0.301	1.345
001.05_1.15_ethyne_H--dihydrogen	-0.061	-0.061	-1.880	-0.238	-0.373	1.003	1.003	0.043	-0.026	0.093	0.093	1.023
001.05_1.25_ethyne_H--dihydrogen	-0.331	0.159	-1.169	-0.113	-0.270	0.412	0.412	-0.087	-0.199	-0.108	-0.108	0.624
001.06_1.00_ethyne_H--ethyne_H	1.356	0.105	-1.992	0.006	-0.220	2.148	2.148	0.547	1.058	0.927	0.927	2.718
001.06_1.05_ethyne_H--ethyne_H	0.851	0.224	-1.756	0.082	-0.149	1.529	1.529	0.408	0.738	0.638	0.638	2.217
001.06_1.10_ethyne_H--ethyne_H	0.520	0.395	-1.348	0.153	-0.087	1.087	1.087	0.301	0.529	0.454	0.454	1.838
001.06_1.15_ethyne_H--ethyne_H	0.312	0.517	-0.955	0.203	-0.048	0.764	0.764	0.216	0.399	0.334	0.334	1.548
001.06_1.25_ethyne_H--ethyne_H	0.115	0.482	-0.519	0.233	-0.026	0.349	0.349	0.097	0.279	0.175	0.175	1.152
001.08_1.00_hydrogen_fluoride--dihydrogen	3.743	2.261	0.531	-1.096	-1.178	6.218	6.218	0.256	1.064	1.370	1.370	0.369
001.08_1.05_hydrogen_fluoride--dihydrogen	2.494	1.050	-0.857	-1.106	-1.193	4.343	4.343	0.030	0.504	0.794	0.794	-0.000
001.08_1.10_hydrogen_fluoride--dihydrogen	1.513	0.255	-1.899	-1.021	-1.118	3.133	3.133	-0.102	0.110	0.374	0.374	-0.207
001.08_1.15_hydrogen_fluoride--dihydrogen	0.773	-0.170	-2.505	-0.890	-0.999	2.238	2.238	-0.178	-0.154	0.082	0.082	-0.303
001.08_1.25_hydrogen_fluoride--dihydrogen	-0.115	-0.269	-2.542	-0.603	-0.733	1.097	1.097	-0.247	-0.410	-0.232	-0.232	-0.305
001.09_1.00_hydrogen_fluoride--ethyne_H	0.965	1.167	-0.925	0.657	0.454	1.587	1.587	0.799	1.058	1.050	1.050	1.641
001.09_1.05_hydrogen_fluoride--ethyne_H	0.730	1.200	-0.528	0.653	0.453	1.206	1.206	0.666	0.974	0.973	0.973	1.537
001.09_1.10_hydrogen_fluoride--ethyne_H	0.591	1.128	-0.269	0.630	0.437	0.930	0.930	0.562	0.918	0.912	0.912	1.449
001.09_1.15_hydrogen_fluoride--ethyne_H	0.511	0.972	-0.148	0.591	0.410	0.728	0.728	0.482	0.878	0.847	0.847	1.370
001.09_1.25_hydrogen_fluoride--ethyne_H	0.437	0.628	-0.085	0.498	0.346	0.473	0.473	0.373	0.813	0.709	0.709	1.222
001.10_1.00_hydrogen_fluoride--hydrogen_fluoride	1.358	1.553	0.583	1.060	0.974	1.006	1.006	1.175	2.406	2.333	2.333	3.005
001.10_1.05_hydrogen_fluoride--hydrogen_fluoride	1.273	1.418	0.589	0.960	0.872	0.888	0.888	1.068	2.204	2.121	2.121	2.745
001.10_1.10_hydrogen_fluoride--hydrogen_fluoride	1.191	1.307	0.587	0.876	0.791	0.798	0.798	0.977	2.016	1.923	1.923	2.511
001.10_1.15_hydrogen_fluoride--hydrogen_fluoride	1.111	1.207	0.576	0.803	0.728	0.731	0.731	0.899	1.842	1.750	1.750	2.300
001.10_1.25_hydrogen_fluoride--hydrogen_fluoride	0.958	1.028	0.532	0.679	0.627	0.628	0.628	0.769	1.538	1.472	1.472	1.938
001.12_1.00_methane_H--dihydrogen	1.663	0.174	-1.507	-0.428	-0.615	3.131	3.131	0.552	1.273	1.368	1.368	2.181
001.12_1.05_methane_H--dihydrogen	0.931	-0.055	-1.928	-0.373	-0.550	2.194	2.194	0.352	0.682	0.767	0.767	1.499
001.12_1.10_methane_H--dihydrogen	0.418	-0.053	-1.923	-0.290	-0.461	1.528	1.528	0.205	0.285	0.370	0.370	1.008
001.12_1.15_methane_H--dihydrogen	0.079	0.061	-1.659	-0.208	-0.377	1.050	1.050	0.092	0.031	0.119	0.119	0.658
001.12_1.25_methane_H--dihydrogen	-0.248	0.249	-1.018	-0.091	-0.268	0.443	0.443	-0.060	-0.196	-0.126	-0.126	0.246
001.13_1.00_methane_H--ethyne_H	2.497	0.096	-1.657	-0.532	-0.842	3.592	3.592	0.386	1.879	1.635	1.635	3.209
001.13_1.05_methane_H--ethyne_H	1.617	-0.240	-2.242	-0.505	-0.801	2.518	2.518	0.190	1.201	0.974	0.974	2.379
001.13_1.10_methane_H--ethyne_H	0.969	-0.294	-2.392	-0.413	-0.699	1.760	1.760	0.059	0.719	0.528	0.528	1.757
001.13_1.15_methane_H--ethyne_H	0.513	-0.179	-2.206	-0.301	-0.581	1.223	1.223	-0.032	0.389	0.236	0.236	1.294
001.13_1.25_methane_H--ethyne_H	0.011	0.154	-1.451	-0.113	-0.390	0.552	0.552	-0.147	0.035	-0.063	-0.063	0.700
001.14_1.00_methane_H--hydrogen_fluoride	6.623	4.561	2.586	0.301	0.036	11.513	11.513	1.816	2.567	2.413	2.413	3.202
001.14_1.05_methane_H--hydrogen_fluoride	4.978	2.862	1.061	-0.138	-0.397	7.665	7.665	1.227	1.745	1.581	1.581	2.348
001.14_1.10_methane_H--hydrogen_fluoride	3.634	1.579	-0.302	-0.350	-0.603	5.341	5.341	0.839	1.122	0.967	0.967	1.726
001.14_1.15_methane_H--hydrogen_fluoride	2.555	0.702	-1.382	-0.416	-0.666	3.994	3.994	0.581	0.662	0.525	0.525	1.282
001.14_1.25_methane_H--hydrogen_fluoride	1.064	-0.050	-2.443	-0.330	-0.579	2.239	2.239	0.282	0.104	0.018	0.018	0.749
001.15_1.00_methane_H--methane_H	2.233	0.017	-1.654	-0.719	-1.101	2.903	2.903	0.110	1.956	1.637	1.637	2.895
001.15_1.05_methane_H--methane_H	1.411	-0.226	-2.130	-0.632	-0.990	1.981	1.981	-0.038	1.226	0.949	0.949	2.039
001.15_1.10_methane_H--methane_H	0.816	-0.217	-2.178	-0.504	-0.841	1.339	1.339	-0.136	0.712	0.486	0.486	1.406
001.15_1.15_methane_H--methane_H	0.404	-0.075	-1.932	-0.373	-0.695	0.888	0.888	-0.204	0.361	0.182	0.182	0.941
001.15_1.25_methane_H--methane_H	-0.040	0.214	-1.212	-0.173	-0.477	0.332	0.332	-0.291	-0.006	-0.128	-0.128	0.365
002.02_1.00_dihydrogen--benzene	1.132	2.751	2.039	1.974	1.339	1.433	1.433	1.555	1.114	0.215	0.215	0.763
002.02_1.05_dihydrogen--benzene	0.484	1.571	1.104	1.048	0.423	0.478	0.478	0.582	0.416	-0.512	-0.512	0.079
002.02_1.10_dihydrogen--benzene	0.173	0.814	0.525	0.489	-0.121	-0.089	-0.089	0.034	0.042	-0.864	-0.864	-0.337
002.02_1.15_dihydrogen--benzene	0.068	0.386	0.217	0.175	-0.418	-0.400	-0.400	-0.254	-0.129	-1.005	-1.005	-0.573
002.02_1.25_dihydrogen--benzene	0.096	0.084	0.019	-0.054	-0.608	-0.603	-0.603	-0.458	-0.180	-0.966	-0.966	-0.735
002.04_1.00_ethene--dihydrogen	0.236	1.759	0.979	1.305	0.993	1.131	1.131	1.069	0.462	0.091	0.091	0.303
002.04_1.05_ethene--dihydrogen	-0.124	0.867	0.334	0.638	0.316	0.396	0.396	0.398	0.035	-0.384	-0.384	-0.142
002.04_1.10_ethene--dihydrogen	-0.230	0.354	0.003	0.253	-0.080	-0.035	-0.035	0.044	-0.158	-0.613	-0.613	-0.390
002.04_1.15_ethene--dihydrogen	-0.203	0.100	-0.125	0.051	-0.287	-0.264	-0.264	-0.128	-0.217	-0.707	-0.707	-0.512
002.04_1.25_ethene--dihydrogen	-0.049	-0.030	-0.137	-0.071	-0.397	-0.391	-0.391	-0.231	-0.171	-0.637	-0.637	-0.557
002.06_1.00_ethyne_C--dihydrogen	0.575	1.976	1.296	1.520	1.314	1.389	1.389	1.302	0.862	0.585	0.585	0.491
002.06_1.05_ethyne_C--dihydrogen	0.096	1.030	0.576	0.780	0.557	0.600	0.600	0.556	0.299	-0.038	-0.038	-0.017
002.06_1.10_ethyne_C--dihydrogen	-0.093	0.461	0.182	0.345	0.110	0.134	0.134	0.157	0.010	-0.371	-0.371	-0.309
002.06_1.15_ethyne_C--dihydrogen	-0.120	0.163	0.006	0.110	-0.132	-0.120	-0.120	-0.041	-0.115	-0.528	-0.528	-0.461
002.06_1.25_ethyne_C--dihydrogen	-0.022	-0.013	-0.062	-0.048	-0.294	-0.292	-0.292	-0.167	-0.138	-0.522	-0.522	-0.540
002.07_1.00_ethyne_H--benzene	4.171	4.442	2.193	3.895	2.890	3.143	3.143	3.254	3.159	1.808	1.808	1.012
002.07_1.05_ethyne_H--benzene	2.377	2.947	1.033	2.097	1.109	1.277	1.277	1.115	1.621	0.206	0.206	-0.151
002.07_1.10_ethyne_H--benzene	1.164	1.731	0.148	0.907	-0.057	0.053	0.053	-0.244	0.634	-0.811	-0.811	-0.901
002.07_1.15_ethyne_H--benzene	0.405	0.805	-0.465	0.154	-0.787	-0.715	-0.715	-1.044	0.036	-1.387	-1.387	-1.359
002.07_1.25_ethyne_H--benzene	-0.207	-0.195	-0.945	-0.530	-1.432	-1.402	-1.402	-1.652	-0.456	-1.756	-1.756	-1.730
002.08_1.00_ethyne_H--ethene	2.104	3.136	0.853	2.518	2.019	2.393	2.393	2.356	1.883	1.358	1.358	0.407
