# DFT-SAPT benchmark energies with the asymptotically corrected B3LYP potential for R739x5
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (reference)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
001.01_100      -1.940       7.585      -0.304      -0.732      -2.656       1.953
001.01_105      -1.481       5.804      -0.213      -0.561      -2.240       1.308
001.01_110      -1.126       4.426      -0.150      -0.425      -1.892       0.833
001.01_115      -0.852       3.369      -0.107      -0.320      -1.602       0.489
001.01_125      -0.483       1.939      -0.055      -0.178      -1.154       0.070
001.02_100      -1.731       7.665      -0.497      -0.955      -2.449       2.034
001.02_105      -1.353       5.888      -0.360      -0.728      -2.059       1.388
001.02_110      -1.052       4.506      -0.261      -0.552      -1.733       0.908
001.02_115      -0.816       3.440      -0.190      -0.416      -1.462       0.557
001.02_125      -0.490       1.993      -0.102      -0.233      -1.045       0.124
001.03_100      -0.824       6.312      -0.529      -0.886      -2.013       2.060
001.03_105      -0.605       4.798      -0.384      -0.663      -1.679       1.467
001.03_110      -0.435       3.636      -0.279      -0.494      -1.403       1.025
001.03_115      -0.304       2.748      -0.203      -0.367      -1.174       0.700
001.03_125      -0.132       1.558      -0.108      -0.200      -0.827       0.292
001.04_100      -1.980       9.853      -0.961      -1.148      -3.029       2.735
001.04_105      -1.622       7.701      -0.744      -0.896      -2.598       1.842
001.04_110      -1.327       6.004      -0.580      -0.693      -2.231       1.172
001.04_115      -1.085       4.670      -0.456      -0.533      -1.920       0.675
001.04_125      -0.730       2.807      -0.288      -0.311      -1.429       0.048
001.05_100       0.161       5.591      -0.656      -0.660      -1.961       2.475
001.05_105       0.224       4.229      -0.498      -0.489      -1.653       1.812
001.05_110       0.266       3.191      -0.381      -0.361      -1.396       1.319
001.05_115       0.292       2.399      -0.293      -0.264      -1.181       0.953
001.05_125       0.306       1.349      -0.177      -0.141      -0.850       0.487
001.06_100       2.105       3.104      -0.555      -0.247      -1.607       2.800
001.06_105       1.917       2.275      -0.432      -0.171      -1.358       2.232
001.06_110       1.746       1.663      -0.339      -0.118      -1.151       1.802
001.06_115       1.590       1.214      -0.268      -0.080      -0.978       1.477
001.06_125       1.319       0.642      -0.172      -0.036      -0.713       1.040
001.07_100      -1.521      16.961      -4.705      -2.523      -4.142       4.070
001.07_105      -1.523      13.899      -3.931      -2.104      -3.634       2.706
001.07_110      -1.468      11.361      -3.300      -1.742      -3.189       1.661
001.07_115      -1.381       9.270      -2.782      -1.435      -2.801       0.871
001.07_125      -1.173       6.147      -2.002      -0.963      -2.165      -0.156
001.08_100       2.026       6.278      -2.065      -0.971      -2.052       3.216
001.08_105       1.783       4.857      -1.678      -0.749      -1.747       2.466
001.08_110       1.586       3.745      -1.367      -0.576      -1.487       1.901
001.08_115       1.423       2.882      -1.118      -0.441      -1.267       1.477
001.08_125       1.162       1.696      -0.756      -0.258      -0.924       0.920
001.09_100       3.499       0.848      -0.589      -0.078      -0.734       2.946
001.09_105       3.112       0.586      -0.470      -0.051      -0.607       2.570
001.09_110       2.777       0.405      -0.379      -0.034      -0.503       2.266
001.09_115       2.487       0.279      -0.307      -0.022      -0.419       2.017
001.09_125       2.012       0.131      -0.207      -0.009      -0.294       1.633
001.10_100       2.996       0.020      -0.116      -0.001      -0.113       2.786
001.10_105       2.651       0.011      -0.091       0.000      -0.090       2.481
001.10_110       2.357       0.007      -0.072       0.000      -0.072       2.219
001.10_115       2.105       0.004      -0.058       0.000      -0.059       1.993
001.10_125       1.699       0.001      -0.038       0.000      -0.039       1.623
001.11_100      -2.046       8.395      -0.472      -0.819      -2.893       2.165
001.11_105      -1.600       6.488      -0.341      -0.634      -2.462       1.452
001.11_110      -1.246       5.003      -0.247      -0.486      -2.100       0.924
001.11_115      -0.968       3.846      -0.180      -0.369      -1.793       0.537
001.11_125      -0.581       2.262      -0.096      -0.210      -1.314       0.060
001.12_100      -1.120       7.213      -0.560      -0.869      -2.405       2.258
001.12_105      -0.849       5.537      -0.409      -0.660      -2.032       1.587
001.12_110      -0.635       4.239      -0.299      -0.498      -1.719       1.087
001.12_115      -0.467       3.237      -0.220      -0.374      -1.456       0.719
001.12_125      -0.241       1.875      -0.119      -0.209      -1.051       0.256
001.13_100      -0.244       7.303      -0.824      -0.793      -2.618       2.823
001.13_105      -0.120       5.627      -0.635      -0.603      -2.243       2.025
001.13_110      -0.023       4.319      -0.493      -0.455      -1.923       1.425
001.13_115       0.048       3.311      -0.386      -0.341      -1.653       0.979
001.13_125       0.131       1.939      -0.241      -0.190      -1.229       0.409
001.14_100       1.834       9.181      -2.930      -1.332      -2.860       3.893
001.14_105       1.583       7.272      -2.421      -1.059      -2.478       2.896
001.14_110       1.386       5.748      -2.008      -0.839      -2.148       2.139
001.14_115       1.231       4.535      -1.673      -0.662      -1.864       1.567
001.14_125       0.996       2.809      -1.174      -0.410      -1.407       0.814
001.15_100      -1.494       8.212      -0.580      -0.798      -2.927       2.413
001.15_105      -1.151       6.362      -0.425      -0.616      -2.505       1.664
001.15_110      -0.878       4.914      -0.312      -0.472      -2.147       1.106
001.15_115      -0.664       3.788      -0.230      -0.359      -1.843       0.693
001.15_125      -0.369       2.240      -0.126      -0.205      -1.365       0.175
002.01_100      -3.704      11.455      -0.320      -0.867      -5.008       1.555
002.01_105      -2.604       8.277      -0.201      -0.687      -4.170       0.614
002.01_110      -1.815       5.956      -0.134      -0.524      -3.482       0.001
002.01_115      -1.251       4.266      -0.094      -0.389      -2.912      -0.380
002.01_125      -0.570       2.170      -0.053      -0.204      -2.050      -0.708
002.02_100      -3.284      10.584      -0.520      -1.316      -4.141       1.323
002.02_105      -2.401       7.640      -0.350      -1.002      -3.423       0.465
002.02_110      -1.757       5.488      -0.241      -0.747      -2.835      -0.092
002.02_115      -1.292       3.927      -0.170      -0.548      -2.353      -0.436
002.02_125      -0.712       1.991      -0.090      -0.287      -1.628      -0.726
002.03_100      -2.341       7.979      -0.195      -0.687      -3.255       1.502
002.03_105      -1.598       5.673      -0.128      -0.515      -2.647       0.784
002.03_110      -1.079       4.018      -0.088      -0.377      -2.158       0.315
002.03_115      -0.718       2.837      -0.064      -0.271      -1.764       0.020
002.03_125      -0.298       1.403      -0.036      -0.136      -1.187      -0.254
002.04_100      -2.862       9.041      -0.440      -1.209      -3.143       1.386
002.04_105      -2.110       6.508      -0.301      -0.908      -2.552       0.637
002.04_110      -1.561       4.663      -0.209      -0.671      -2.074       0.146
002.04_115      -1.162       3.330      -0.148      -0.491      -1.690      -0.160
002.04_125      -0.659       1.686      -0.078      -0.256      -1.128      -0.435
002.05_100      -2.370       7.883      -0.219      -0.602      -3.113       1.579
002.05_105      -1.617       5.570      -0.146      -0.446      -2.526       0.836
002.05_110      -1.091       3.918      -0.101      -0.322      -2.054       0.351
002.05_115      -0.727       2.748      -0.073      -0.228      -1.674       0.045
002.05_125      -0.306       1.340      -0.041      -0.111      -1.120      -0.239
002.06_100      -2.799       8.704      -0.444      -1.015      -2.979       1.467
002.06_105      -2.050       6.208      -0.303      -0.751      -2.410       0.694
002.06_110      -1.506       4.404      -0.210      -0.547      -1.952       0.189
002.06_115      -1.114       3.117      -0.149      -0.393      -1.586      -0.125
002.06_125      -0.627       1.547      -0.077      -0.198      -1.051      -0.406
002.07_100      -5.888      18.153      -1.502      -2.171      -6.566       2.026
002.07_105      -4.631      13.585      -1.097      -1.756      -5.556       0.545
002.07_110      -3.668      10.128      -0.822      -1.384      -4.714      -0.460
002.07_115      -2.932       7.527      -0.630      -1.070      -4.011      -1.115
002.07_125      -1.935       4.120      -0.390      -0.617      -2.920      -1.742
002.08_100      -5.507      15.191      -1.147      -1.854      -4.748       1.935
002.08_105      -4.381      11.319      -0.837      -1.475      -3.953       0.673
002.08_110      -3.511       8.406      -0.626      -1.148      -3.301      -0.179
002.08_115      -2.837       6.224      -0.478      -0.879      -2.763      -0.732
002.08_125      -1.903       3.383      -0.293      -0.499      -1.948      -1.258
002.09_100      -5.371      14.718      -1.163      -1.668      -4.500       2.016
002.09_105      -4.253      10.877      -0.848      -1.304      -3.735       0.737
002.09_110      -3.394       8.010      -0.634      -0.997      -3.108      -0.123
002.09_115      -2.733       5.878      -0.482      -0.751      -2.593      -0.681
002.09_125      -1.826       3.136      -0.291      -0.412      -1.815      -1.209
002.10_100      -8.835      29.849      -6.966      -3.646      -7.923       2.479
002.10_105      -7.578      23.282      -5.576      -3.108      -6.816       0.204
002.10_110      -6.509      18.106      -4.518      -2.591      -5.873      -1.385
002.10_115      -5.610      14.046      -3.698      -2.127      -5.067      -2.455
002.10_125      -4.233       8.405      -2.536      -1.391      -3.786      -3.541
002.11_100     -10.361      30.576      -6.765      -3.742      -7.053       2.656
002.11_105      -9.020      24.033      -5.379      -3.215      -6.026       0.393
002.11_110      -7.844      18.826      -4.330      -2.700      -5.152      -1.201
002.11_115      -6.831      14.723      -3.528      -2.234      -4.413      -2.282
002.11_125      -5.214       8.943      -2.401      -1.479      -3.245      -3.397
002.12_100      -9.919      28.696      -6.259      -3.413      -6.508       2.597
002.12_105      -8.575      22.333      -4.958      -2.880      -5.536       0.383
002.12_110      -7.416      17.330      -3.978      -2.378      -4.716      -1.158
002.12_115      -6.427      13.415      -3.226      -1.934      -4.021      -2.193
002.12_125      -4.876       7.989      -2.174      -1.241      -2.931      -3.233
002.13_100      -2.312       7.657      -0.137      -0.435      -3.179       1.594
002.13_105      -1.644       5.538      -0.084      -0.325      -2.623       0.862
002.13_110      -1.163       3.988      -0.053      -0.238      -2.166       0.368
002.13_115      -0.819       2.864      -0.034      -0.171      -1.793       0.047
002.13_125      -0.400       1.464      -0.016      -0.085      -1.235      -0.271
002.14_100      -2.184       7.340      -0.293      -0.542      -2.826       1.496
002.14_105      -1.591       5.305      -0.198      -0.399      -2.322       0.796
002.14_110      -1.158       3.816      -0.135      -0.289      -1.909       0.325
002.14_115      -0.844       2.737      -0.093      -0.207      -1.573       0.020
002.14_125      -0.452       1.395      -0.046      -0.103      -1.072      -0.278
002.15_100      -3.191      10.841      -0.829      -0.842      -3.971       2.009
