# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for R739x5
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
001.01_100      -1.860       7.364      -0.308      -0.729      -2.616       1.850
001.01_105      -1.423       5.637      -0.217      -0.559      -2.207       1.232
001.01_110      -1.084       4.301      -0.154      -0.424      -1.864       0.776
001.01_115      -0.822       3.275      -0.109      -0.319      -1.578       0.447
001.01_125      -0.469       1.886      -0.056      -0.178      -1.137       0.047
001.02_100      -1.646       7.540      -0.491      -0.954      -2.420       2.030
001.02_105      -1.286       5.798      -0.357      -0.728      -2.034       1.394
001.02_110      -1.000       4.443      -0.260      -0.551      -1.712       0.920
001.02_115      -0.775       3.396      -0.190      -0.415      -1.444       0.572
001.02_125      -0.464       1.972      -0.102      -0.233      -1.032       0.140
001.03_100      -0.780       6.307      -0.525      -0.886      -1.997       2.120
001.03_105      -0.572       4.803      -0.382      -0.663      -1.666       1.521
001.03_110      -0.409       3.647      -0.278      -0.494      -1.392       1.074
001.03_115      -0.285       2.763      -0.203      -0.367      -1.165       0.743
001.03_125      -0.120       1.573      -0.109      -0.200      -0.820       0.324
001.04_100      -1.792       9.562      -0.963      -1.144      -2.976       2.687
001.04_105      -1.466       7.473      -0.746      -0.893      -2.552       1.817
001.04_110      -1.197       5.826      -0.583      -0.691      -2.191       1.165
001.04_115      -0.976       4.533      -0.459      -0.532      -1.885       0.680
001.04_125      -0.655       2.725      -0.291      -0.310      -1.402       0.067
001.05_100       0.241       5.507      -0.656      -0.659      -1.932       2.502
001.05_105       0.289       4.170      -0.500      -0.488      -1.628       1.842
001.05_110       0.319       3.149      -0.384      -0.360      -1.375       1.350
001.05_115       0.335       2.371      -0.296      -0.264      -1.163       0.983
001.05_125       0.335       1.336      -0.180      -0.141      -0.837       0.514
001.06_100       2.229       3.007      -0.559      -0.246      -1.572       2.859
001.06_105       2.023       2.204      -0.436      -0.170      -1.328       2.292
001.06_110       1.836       1.611      -0.342      -0.117      -1.125       1.862
001.06_115       1.668       1.175      -0.271      -0.080      -0.956       1.536
001.06_125       1.378       0.621      -0.174      -0.036      -0.697       1.092
001.07_100      -1.084      16.448      -4.657      -2.510      -4.053       4.144
001.07_105      -1.138      13.474      -3.888      -2.094      -3.554       2.800
001.07_110      -1.128      11.011      -3.261      -1.735      -3.118       1.770
001.07_115      -1.081       8.983      -2.748      -1.429      -2.737       0.988
001.07_125      -0.939       5.956      -1.976      -0.960      -2.115      -0.034
001.08_100       2.146       6.158      -2.042      -0.969      -2.011       3.282
001.08_105       1.883       4.769      -1.660      -0.748      -1.711       2.532
001.08_110       1.669       3.682      -1.355      -0.575      -1.457       1.965
001.08_115       1.492       2.836      -1.110      -0.440      -1.242       1.536
001.08_125       1.211       1.674      -0.753      -0.258      -0.905       0.969
001.09_100       3.590       0.820      -0.584      -0.078      -0.714       3.034
001.09_105       3.190       0.567      -0.466      -0.051      -0.590       2.650
001.09_110       2.845       0.392      -0.376      -0.033      -0.489       2.338
001.09_115       2.546       0.270      -0.305      -0.022      -0.407       2.081
001.09_125       2.058       0.127      -0.206      -0.009      -0.286       1.684
001.10_100       3.016       0.019      -0.114      -0.000      -0.110       2.811
001.10_105       2.668       0.011      -0.090       0.000      -0.087       2.502
001.10_110       2.372       0.006      -0.071       0.000      -0.070       2.237
001.10_115       2.118       0.004      -0.057       0.000      -0.057       2.008
001.10_125       1.709       0.001      -0.038       0.000      -0.038       1.635
001.11_100      -1.908       8.097      -0.472      -0.817      -2.838       2.062
001.11_105      -1.492       6.259      -0.343      -0.632      -2.415       1.378
001.11_110      -1.162       4.827      -0.250      -0.484      -2.059       0.872
001.11_115      -0.902       3.712      -0.183      -0.368      -1.758       0.501
001.11_125      -0.542       2.184      -0.099      -0.210      -1.288       0.045
001.12_100      -1.014       7.048      -0.554      -0.868      -2.365       2.247
001.12_105      -0.764       5.415      -0.406      -0.659      -1.997       1.588
001.12_110      -0.567       4.148      -0.298      -0.498      -1.689       1.095
001.12_115      -0.414       3.171      -0.220      -0.374      -1.431       0.732
001.12_125      -0.207       1.841      -0.120      -0.209      -1.033       0.273
001.13_100      -0.056       7.035      -0.822      -0.790      -2.560       2.806
001.13_105       0.036       5.420      -0.636      -0.601      -2.193       2.026
001.13_110       0.106       4.159      -0.495      -0.453      -1.879       1.438
001.13_115       0.155       3.189      -0.388      -0.340      -1.615       1.000
001.13_125       0.206       1.867      -0.243      -0.190      -1.200       0.439
001.14_100       2.166       8.830      -2.877      -1.327      -2.783       4.010
001.14_105       1.869       6.992      -2.377      -1.056      -2.410       3.019
001.14_110       1.634       5.525      -1.972      -0.836      -2.089       2.263
001.14_115       1.446       4.358      -1.643      -0.660      -1.812       1.689
001.14_125       1.157       2.700      -1.154      -0.409      -1.367       0.927
001.15_100      -1.310       7.867      -0.577      -0.795      -2.858       2.327
001.15_105      -1.004       6.093      -0.424      -0.614      -2.445       1.606
001.15_110      -0.760       4.707      -0.313      -0.470      -2.096       1.068
001.15_115      -0.569       3.628      -0.232      -0.358      -1.799       0.671
001.15_125      -0.309       2.145      -0.128      -0.204      -1.332       0.173
002.01_100      -3.551      10.993      -0.329      -0.858      -4.906       1.349
002.01_105      -2.490       7.930      -0.211      -0.681      -4.084       0.463
002.01_110      -1.732       5.697      -0.143      -0.520      -3.409      -0.107
002.01_115      -1.191       4.074      -0.103      -0.386      -2.850      -0.456
002.01_125      -0.540       2.065      -0.060      -0.203      -2.005      -0.742
002.02_100      -3.231      10.285      -0.517      -1.310      -4.068       1.159
002.02_105      -2.362       7.415      -0.349      -0.998      -3.361       0.345
002.02_110      -1.731       5.321      -0.242      -0.744      -2.783      -0.179
002.02_115      -1.275       3.805      -0.172      -0.547      -2.309      -0.498
002.02_125      -0.708       1.926      -0.092      -0.286      -1.597      -0.758
002.03_100      -2.260       7.663      -0.202      -0.682      -3.184       1.336
002.03_105      -1.543       5.442      -0.135      -0.511      -2.589       0.665
002.03_110      -1.043       3.851      -0.094      -0.374      -2.110       0.230
002.03_115      -0.696       2.716      -0.068      -0.270      -1.723      -0.041
002.03_125      -0.291       1.340      -0.039      -0.135      -1.159      -0.284
002.04_100      -2.821       8.799      -0.435      -1.205      -3.086       1.252
002.04_105      -2.081       6.329      -0.297      -0.906      -2.504       0.542
002.04_110      -1.541       4.533      -0.208      -0.669      -2.035       0.080
002.04_115      -1.149       3.237      -0.148      -0.489      -1.657      -0.206
