# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
1.1.01_080	12.305	12.171	12.173	12.083	12.01	-9.083	-10.719	-10.674	-11.204	-11.383	-11.558	-11.571	-4.525	-4.558	-5.564	-5.154	-5.538	-5.137	-5.905	-5.298	-6.043	-5.34	-6.154	-5.404	-6.187	-5.384	-6.999	-5.916	-8.505	-7.132
1.1.01_085	6.985	6.99	~~~	6.931	~~~	-7.098	-8.281	~~~	-8.628	~~~	-8.881	~~~	-3.525	-3.573	-4.272	-4.009	~~~	~~~	-4.513	-4.116	~~~	~~~	-4.688	-4.194	~~~	~~~	-5.526	-4.672	~~~	~~~
1.1.01_090	3.758	3.838	~~~	3.799	~~~	-5.539	-6.4	~~~	-6.647	~~~	-6.827	~~~	-2.74	-2.8	-3.28	-3.119	~~~	~~~	-3.449	-3.198	~~~	~~~	-3.572	-3.256	~~~	~~~	-4.35	-3.675	~~~	~~~
1.1.01_095	1.843	1.956	~~~	1.931	~~~	-4.321	-4.952	~~~	-5.127	~~~	-5.254	~~~	-2.126	-2.194	-2.521	-2.43	~~~	~~~	-2.638	-2.488	~~~	~~~	-2.724	-2.53	~~~	~~~	-3.415	-2.882	~~~	~~~
1.1.01_100	0.736	0.856	0.857	0.84	0.822	-3.371	-3.839	-3.816	-3.962	-4.003	-4.052	-4.046	-1.649	-1.721	-1.942	-1.897	-1.928	-1.887	-2.023	-1.94	-2.053	-1.951	-2.082	-1.971	-2.084	-1.962	-2.676	-2.256	-3.08	-2.566
1.1.01_105	0.118	0.23	~~~	0.22	~~~	-2.632	-2.985	~~~	-3.072	~~~	-3.135	~~~	-1.28	-1.353	-1.5	-1.485	~~~	~~~	-1.555	-1.516	~~~	~~~	-1.596	-1.539	~~~	~~~	-2.095	-1.764	~~~	~~~
1.1.01_110	-0.21	-0.113	~~~	-0.117	~~~	-2.059	-2.329	~~~	-2.39	~~~	-2.434	~~~	-0.994	-1.065	-1.162	-1.166	~~~	~~~	-1.201	-1.189	~~~	~~~	-1.229	-1.206	~~~	~~~	-1.641	-1.38	~~~	~~~
1.1.01_125	-0.443	-0.391	~~~	-0.39	~~~	-1.005	-1.136	~~~	-1.158	~~~	-1.175	~~~	-0.473	-0.532	-0.556	-0.58	~~~	~~~	-0.569	-0.59	~~~	~~~	-0.578	-0.597	~~~	~~~	-0.799	-0.669	~~~	~~~
1.1.01_150	-0.299	-0.278	~~~	-0.279	~~~	-0.335	-0.382	~~~	-0.387	~~~	-0.391	~~~	-0.15	-0.185	-0.181	-0.201	~~~	~~~	-0.183	-0.204	~~~	~~~	-0.185	-0.206	~~~	~~~	-0.261	-0.218	~~~	~~~
1.1.01_200	-0.108	-0.102	~~~	-0.102	~~~	-0.051	-0.062	~~~	-0.063	~~~	-0.063	~~~	-0.019	-0.032	-0.027	-0.035	~~~	~~~	-0.027	-0.036	~~~	~~~	-0.027	-0.036	~~~	~~~	-0.038	-0.031	~~~	~~~
1.1.02_080	17.649	17.49	17.493	17.408	17.309	-13.321	-15.765	-15.71	-16.568	-16.885	-17.155	-17.218	-6.274	-7.047	-7.806	-7.959	-7.772	-7.937	-8.388	-8.18	-8.633	-8.252	-8.814	-8.341	-8.889	-8.328	-9.117	-7.27	-11.417	-9.108
1.1.02_085	10.817	10.816	~~~	10.754	~~~	-10.61	-12.428	~~~	-13.018	~~~	-13.448	~~~	-5.036	-5.574	-6.17	-6.258	~~~	~~~	-6.593	-6.425	~~~	~~~	-6.901	-6.547	~~~	~~~	-7.384	-5.937	~~~	~~~
1.1.02_090	6.384	6.485	~~~	6.44	~~~	-8.424	-9.777	~~~	-10.211	~~~	-10.528	~~~	-4.022	-4.402	-4.861	-4.916	~~~	~~~	-5.168	-5.043	~~~	~~~	-5.392	-5.136	~~~	~~~	-5.951	-4.817	~~~	~~~
1.1.02_095	3.567	3.729	~~~	3.696	~~~	-6.681	-7.691	~~~	-8.01	~~~	-8.243	~~~	-3.204	-3.478	-3.826	-3.866	~~~	~~~	-4.048	-3.962	~~~	~~~	-4.211	-4.032	~~~	~~~	-4.78	-3.889	~~~	~~~
1.1.02_100	1.818	2.009	2.011	1.986	1.971	-5.3	-6.058	-6.026	-6.292	-6.374	-6.463	-6.459	-2.548	-2.752	-3.012	-3.046	-2.994	-3.032	-3.173	-3.119	-3.234	-3.14	-3.291	-3.172	-3.298	-3.161	-3.83	-3.129	-4.514	-3.645
1.1.02_105	0.761	0.958	~~~	0.944	~~~	-4.209	-4.782	~~~	-4.954	~~~	-5.08	~~~	-2.026	-2.183	-2.375	-2.407	~~~	~~~	-2.492	-2.463	~~~	~~~	-2.577	-2.503	~~~	~~~	-3.065	-2.512	~~~	~~~
1.1.02_110	0.144	0.334	~~~	0.325	~~~	-3.349	-3.787	~~~	-3.912	~~~	-4.004	~~~	-1.612	-1.737	-1.877	-1.91	~~~	~~~	-1.961	-1.952	~~~	~~~	-2.022	-1.982	~~~	~~~	-2.452	-2.013	~~~	~~~
1.1.02_125	-0.448	-0.316	~~~	-0.313	~~~	-1.717	-1.926	~~~	-1.976	~~~	-2.013	~~~	-0.82	-0.897	-0.946	-0.98	~~~	~~~	-0.978	-0.998	~~~	~~~	-1.002	-1.011	~~~	~~~	-1.26	-1.039	~~~	~~~
1.1.02_150	-0.348	-0.291	~~~	-0.288	~~~	-0.622	-0.692	~~~	-0.705	~~~	-0.715	~~~	-0.29	-0.331	-0.333	-0.359	~~~	~~~	-0.341	-0.364	~~~	~~~	-0.347	-0.368	~~~	~~~	-0.447	-0.369	~~~	~~~
1.1.02_200	-0.121	-0.1	~~~	-0.1	~~~	-0.119	-0.134	~~~	-0.136	~~~	-0.137	~~~	-0.053	-0.066	-0.062	-0.072	~~~	~~~	-0.063	-0.072	~~~	~~~	-0.064	-0.073	~~~	~~~	-0.08	-0.065	~~~	~~~
1.2.01_080	11.711	11.429	11.431	11.286	11.146	-7.368	-9.075	-9.073	-9.7	-9.935	-10.157	-10.182	-3.198	-4.17	-4.286	-4.788	-4.286	-4.787	-4.756	-4.945	-4.945	-4.99	-5.098	-5.059	-5.144	-5.038	-4.981	-3.815	-6.738	-5.29
1.2.01_085	6.066	6.073	~~~	5.97	~~~	-5.682	-6.955	~~~	-7.4	~~~	-7.726	~~~	-2.486	-3.196	-3.293	-3.661	~~~	~~~	-3.623	-3.777	~~~	~~~	-3.864	-3.862	~~~	~~~	-3.937	-3.049	~~~	~~~
1.2.01_090	2.505	2.681	~~~	2.608	~~~	-4.389	-5.322	~~~	-5.643	~~~	-5.878	~~~	-1.935	-2.454	-2.523	-2.799	~~~	~~~	-2.756	-2.887	~~~	~~~	-2.927	-2.951	~~~	~~~	-3.111	-2.433	~~~	~~~
1.2.01_095	0.374	0.633	~~~	0.585	~~~	-3.407	-4.084	~~~	-4.319	~~~	-4.49	~~~	-1.515	-1.892	-1.937	-2.147	~~~	~~~	-2.104	-2.214	~~~	~~~	-2.226	-2.264	~~~	~~~	-2.466	-1.946	~~~	~~~
