# DFT-SAPT benchmark energies with the asymptotically corrected B3LYP potential for SH250x10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (reference)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
1.1.01_080      -9.892      25.200      -0.681      -2.904     -10.214       1.508
1.1.01_085      -6.068      15.212      -0.414      -1.868      -7.839      -0.978
1.1.01_090      -3.781       9.106      -0.275      -1.154      -6.037      -2.141
1.1.01_095      -2.412       5.415      -0.194      -0.696      -4.662      -2.549
1.1.01_100      -1.590       3.202      -0.143      -0.413      -3.611      -2.555
1.1.01_105      -1.091       1.883      -0.108      -0.243      -2.806      -2.364
1.1.01_110      -0.785       1.102      -0.082      -0.143      -2.189      -2.097
1.1.01_125      -0.382       0.215      -0.039      -0.029      -1.074      -1.309
1.1.01_150      -0.191       0.013      -0.013      -0.003      -0.373      -0.566
1.1.01_200      -0.070       0.000      -0.002      -0.000      -0.070      -0.142
1.1.02_080     -21.013      49.346      -2.377      -9.476     -14.102       2.378
1.1.02_085     -13.453      31.584      -1.348      -6.611     -10.920      -0.748
1.1.02_090      -8.650      20.033      -0.813      -4.448      -8.507      -2.385
1.1.02_095      -5.610      12.611      -0.521      -2.920      -6.657      -3.097
1.1.02_100      -3.684       7.888      -0.351      -1.884      -5.229      -3.260
1.1.02_105      -2.462       4.909      -0.246      -1.201      -4.120      -3.120
1.1.02_110      -1.682       3.043      -0.178      -0.760      -3.256      -2.833
1.1.02_125      -0.640       0.710      -0.075      -0.187      -1.646      -1.838
1.1.02_150      -0.231       0.060      -0.022      -0.018      -0.584      -0.796
1.1.02_200      -0.072       0.000      -0.003      -0.000      -0.111      -0.186
1.2.01_080     -26.090      51.468      -4.055      -8.168     -10.388       2.768
1.2.01_085     -17.264      32.818      -2.563      -5.342      -7.812      -0.163
1.2.01_090     -11.609      20.714      -1.725      -3.381      -5.939      -1.940
1.2.01_095      -7.969      12.968      -1.226      -2.094      -4.554      -2.875
1.2.01_100      -5.609       8.067      -0.907      -1.279      -3.515      -3.243
1.2.01_105      -4.060       4.993      -0.692      -0.774      -2.729      -3.261
1.2.01_110      -3.028       3.078      -0.539      -0.466      -2.129      -3.084
1.2.01_125      -1.491       0.706      -0.276      -0.101      -1.040      -2.202
1.2.01_150      -0.680       0.058      -0.107      -0.009      -0.352      -1.090
1.2.01_200      -0.241       0.000      -0.024      -0.000      -0.066      -0.331
1.2.02_080     -22.004      41.313      -1.972      -4.604      -9.470       3.263
1.2.02_085     -14.369      26.000      -1.188      -3.071      -7.206       0.165
1.2.02_090      -9.532      16.249      -0.780      -1.955      -5.531      -1.550
1.2.02_095      -6.449      10.099      -0.548      -1.209      -4.275      -2.382
1.2.02_100      -4.465       6.252      -0.402      -0.734      -3.323      -2.672
1.2.02_105      -3.172       3.861      -0.303      -0.441      -2.596      -2.652
1.2.02_110      -2.316       2.379      -0.232      -0.264      -2.038      -2.470
1.2.02_125      -1.059       0.551      -0.107      -0.056      -1.014      -1.686
1.2.02_150      -0.429       0.047      -0.033      -0.005      -0.359      -0.778
1.2.02_200      -0.131       0.000      -0.005      -0.000      -0.072      -0.207
1.2.03_080      -9.536      22.285      -0.790      -1.842      -7.606       2.510
1.2.03_085      -5.703      13.349      -0.526      -1.124      -5.762       0.233
1.2.03_090      -3.404       7.946      -0.370      -0.661      -4.383      -0.873
1.2.03_095      -2.024       4.704      -0.268      -0.380      -3.346      -1.314
1.2.03_100      -1.193       2.771      -0.197      -0.215      -2.565      -1.398
1.2.03_105      -0.690       1.625      -0.147      -0.120      -1.974      -1.306
1.2.03_110      -0.385       0.948      -0.110      -0.066      -1.526      -1.139
1.2.03_125      -0.016       0.184      -0.049      -0.010      -0.732      -0.623
1.2.03_150       0.079       0.011      -0.016      -0.000      -0.249      -0.175
1.2.03_200       0.057       0.000      -0.003       0.000      -0.048       0.006
1.2.04_080     -11.766      26.000      -0.885      -2.225      -8.337       2.787
1.2.04_085      -7.230      15.801      -0.574      -1.380      -6.371       0.245
1.2.04_090      -4.471       9.552      -0.399      -0.823      -4.896      -1.037
1.2.04_095      -2.784       5.751      -0.289      -0.478      -3.781      -1.582
1.2.04_100      -1.748       3.451      -0.214      -0.274      -2.934      -1.719
1.2.04_105      -1.107       2.063      -0.160      -0.155      -2.287      -1.645
1.2.04_110      -0.706       1.229      -0.120      -0.087      -1.792      -1.475
1.2.04_125      -0.186       0.256      -0.053      -0.015      -0.893      -0.891
1.2.04_150      -0.004       0.018      -0.016      -0.000      -0.323      -0.325
1.2.04_200       0.027       0.000      -0.003       0.000      -0.069      -0.045
1.2.05_080     -71.782     126.520     -12.017     -20.985     -20.365       1.372
1.2.05_085     -49.816      88.211      -7.154     -16.410     -15.805      -0.974
1.2.05_090     -34.713      60.834      -4.375     -12.065     -12.387      -2.707
1.2.05_095     -24.343      41.595      -2.782      -8.533      -9.794      -3.857
1.2.05_100     -17.216      28.254      -1.852      -5.879      -7.801      -4.494
1.2.05_105     -12.305      19.097      -1.289      -3.978      -6.253      -4.728
1.2.05_110      -8.907      12.856      -0.932      -2.657      -5.036      -4.676
1.2.05_125      -3.703       3.860      -0.407      -0.759      -2.692      -3.700
1.2.05_150      -1.199       0.506      -0.126      -0.090      -1.011      -1.919
1.2.05_200      -0.288       0.008      -0.017      -0.002      -0.197      -0.496
1.2.06_080     -18.785      37.731      -1.009      -3.959     -10.597       3.381
1.2.06_085     -11.601      23.564      -0.597      -2.629      -8.165       0.571
1.2.06_090      -7.134      14.625      -0.404      -1.663      -6.321      -0.896
1.2.06_095      -4.358       9.034      -0.300      -1.020      -4.911      -1.556
1.2.06_100      -2.633       5.560      -0.233      -0.613      -3.829      -1.748
1.2.06_105      -1.560       3.414      -0.185      -0.363      -2.995      -1.689
1.2.06_110      -0.892       2.093      -0.148      -0.213      -2.351      -1.511
1.2.06_125      -0.058       0.479      -0.076      -0.041      -1.170      -0.866
1.2.06_150       0.160       0.040      -0.026      -0.002      -0.410      -0.237
1.2.06_200       0.113       0.000      -0.005       0.000      -0.077       0.031
1.2.07_080     -22.792      43.655      -1.229      -4.786     -11.300       3.548
1.2.07_085     -14.439      27.726      -0.695      -3.269      -8.758       0.565
1.2.07_090      -9.156      17.512      -0.455      -2.120      -6.830      -1.050
1.2.07_095      -5.813      11.017      -0.335      -1.332      -5.354      -1.817
1.2.07_100      -3.693       6.908      -0.262      -0.819      -4.215      -2.081
1.2.07_105      -2.344       4.323      -0.211      -0.497      -3.332      -2.060
1.2.07_110      -1.482       2.702      -0.171      -0.298      -2.644      -1.893
1.2.07_125      -0.342       0.657      -0.090      -0.062      -1.359      -1.196
