# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for SH250x10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (reference)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
1.1.01_080      -9.553      24.105      -0.658      -2.904     -10.014       0.975
1.1.01_085      -5.866      14.495      -0.406      -1.868      -7.667      -1.312
1.1.01_090      -3.667       8.646      -0.274      -1.154      -5.892      -2.341
1.1.01_095      -2.353       5.122      -0.197      -0.696      -4.542      -2.665
1.1.01_100      -1.563       3.015      -0.146      -0.413      -3.513      -2.620
1.1.01_105      -1.084       1.765      -0.111      -0.243      -2.727      -2.399
1.1.01_110      -0.788       1.028      -0.085      -0.143      -2.126      -2.114
1.1.01_125      -0.394       0.198      -0.041      -0.029      -1.042      -1.308
1.1.01_150      -0.199       0.012      -0.014      -0.003      -0.362      -0.565
1.1.01_200      -0.073       0.000      -0.002      -0.000      -0.068      -0.142
1.1.02_080     -20.228      47.423      -2.298      -9.476     -13.868       1.553
1.1.02_085     -12.927      30.211      -1.306      -6.611     -10.706      -1.339
1.1.02_090      -8.312      19.080      -0.791      -4.448      -8.317      -2.789
1.1.02_095      -5.398      11.964      -0.511      -2.920      -6.494      -3.359
1.1.02_100      -3.557       7.457      -0.348      -1.884      -5.090      -3.421
1.1.02_105      -2.390       4.625      -0.246      -1.201      -4.003      -3.216
1.1.02_110      -1.646       2.855      -0.180      -0.760      -3.160      -2.889
1.1.02_125      -0.646       0.657      -0.077      -0.187      -1.592      -1.846
1.1.02_150      -0.244       0.054      -0.023      -0.018      -0.565      -0.796
1.1.02_200      -0.078       0.000      -0.003      -0.000      -0.107      -0.188
1.2.01_080     -25.413      50.015      -3.920      -8.168     -10.231       2.283
1.2.01_085     -16.802      31.789      -2.474      -5.342      -7.674      -0.503
1.2.01_090     -11.299      20.013      -1.666      -3.381      -5.821      -2.154
1.2.01_095      -7.765      12.504      -1.186      -2.094      -4.454      -2.995
1.2.01_100      -5.475       7.764      -0.880      -1.279      -3.433      -3.302
1.2.01_105      -3.974       4.797      -0.672      -0.774      -2.661      -3.283
1.2.01_110      -2.973       2.951      -0.524      -0.466      -2.074      -3.085
