# This file contains the metadata for categorization of the systems in the data set.
# The second column is the name of the group the complex belongs to
# The third column provides additional tags, including element combinations the system represents, assignment of the systems into the smaller subsets obtained by clustering etc.
system	group	tags
1.1.01_080	Cl	Cl-C,scaling=0.80,cluster020,cluster100,cluster200
1.1.01_085	Cl	Cl-C,scaling=0.85,cluster020,cluster100,cluster200
1.1.01_090	Cl	Cl-C,scaling=0.90,cluster020,cluster100,cluster200
1.1.01_095	Cl	Cl-C,scaling=0.95,cluster020,cluster100,cluster200
1.1.01_100	Cl	Cl-C,scaling=1.00,equilibrium,cluster020,cluster100,cluster200
1.1.01_105	Cl	Cl-C,scaling=1.05,cluster020,cluster100,cluster200
1.1.01_110	Cl	Cl-C,scaling=1.10,cluster020,cluster100,cluster200
1.1.01_125	Cl	Cl-C,scaling=1.25,cluster020,cluster100,cluster200
1.1.01_150	Cl	Cl-C,scaling=1.50,cluster020,cluster100,cluster200
1.1.01_200	Cl	Cl-C,scaling=2.00,cluster020,cluster100,cluster200
1.1.02_080	Cl	Cl-C,scaling=0.80,cluster100,cluster200
1.1.02_085	Cl	Cl-C,scaling=0.85,cluster100,cluster200
1.1.02_090	Cl	Cl-C,scaling=0.90,cluster100,cluster200
1.1.02_095	Cl	Cl-C,scaling=0.95,cluster100,cluster200
1.1.02_100	Cl	Cl-C,scaling=1.00,equilibrium,cluster100,cluster200
1.1.02_105	Cl	Cl-C,scaling=1.05,cluster100,cluster200
1.1.02_110	Cl	Cl-C,scaling=1.10,cluster100,cluster200
1.1.02_125	Cl	Cl-C,scaling=1.25,cluster100,cluster200
1.1.02_150	Cl	Cl-C,scaling=1.50,cluster100,cluster200
1.1.02_200	Cl	Cl-C,scaling=2.00,cluster100,cluster200
1.2.01_080	Cl	Cl-N,scaling=0.80,cluster200
1.2.01_085	Cl	Cl-N,scaling=0.85,cluster200
1.2.01_090	Cl	Cl-N,scaling=0.90,cluster200
1.2.01_095	Cl	Cl-N,scaling=0.95,cluster200
1.2.01_100	Cl	Cl-N,scaling=1.00,equilibrium,cluster200
1.2.01_105	Cl	Cl-N,scaling=1.05,cluster200
1.2.01_110	Cl	Cl-N,scaling=1.10,cluster200
1.2.01_125	Cl	Cl-N,scaling=1.25,cluster200
1.2.01_150	Cl	Cl-N,scaling=1.50,cluster200
1.2.01_200	Cl	Cl-N,scaling=2.00,cluster200
1.2.02_080	Cl	Cl-N,scaling=0.80,cluster020,cluster200
1.2.02_085	Cl	Cl-N,scaling=0.85,cluster020,cluster200
1.2.02_090	Cl	Cl-N,scaling=0.90,cluster020,cluster200
1.2.02_095	Cl	Cl-N,scaling=0.95,cluster020,cluster200
1.2.02_100	Cl	Cl-N,scaling=1.00,equilibrium,cluster020,cluster200
1.2.02_105	Cl	Cl-N,scaling=1.05,cluster020,cluster200
1.2.02_110	Cl	Cl-N,scaling=1.10,cluster020,cluster200
1.2.02_125	Cl	Cl-N,scaling=1.25,cluster020,cluster200
1.2.02_150	Cl	Cl-N,scaling=1.50,cluster020,cluster200
1.2.02_200	Cl	Cl-N,scaling=2.00,cluster020,cluster200
1.2.03_080	Cl	Cl-N,scaling=0.80,cluster100,cluster200
1.2.03_085	Cl	Cl-N,scaling=0.85,cluster100,cluster200
1.2.03_090	Cl	Cl-N,scaling=0.90,cluster100,cluster200
1.2.03_095	Cl	Cl-N,scaling=0.95,cluster100,cluster200
1.2.03_100	Cl	Cl-N,scaling=1.00,equilibrium,cluster100,cluster200
1.2.03_105	Cl	Cl-N,scaling=1.05,cluster100,cluster200
1.2.03_110	Cl	Cl-N,scaling=1.10,cluster100,cluster200
1.2.03_125	Cl	Cl-N,scaling=1.25,cluster100,cluster200
